scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-02,20:00:00,2020-08-02,,89,Guinea,13160021,7317,9.0,46,,6480,22.0,791,24,556,3.0,14407,1095,5
2020-08-08,20:00:00,2020-08-08,,89,Guinea,13165882,7777,,50,,6800,,927,24,591,4.0,14407,1094,5
2020-08-12,20:00:00,2020-08-12,,89,Guinea,13169789,8018,,50,,7020,,948,24,609,4.0,14407,1094,5
2020-08-16,20:00:00,2020-08-16,,89,Guinea,13173696,8343,,50,,7210,,1083,24,633,4.0,14407,1094,5
2020-08-17,20:00:00,2020-08-17,,89,Guinea,13174673,8482,,51,,7364,,1067,24,644,4.0,14407,1094,5
2020-08-18,20:00:00,2020-08-18,,89,Guinea,13175650,8620,,51,,7472,,1097,24,654,4.0,14407,1093,5
2020-08-19,20:00:00,2020-08-19,,89,Guinea,13176627,8715,,52,,7532,,1131,24,661,4.0,15667,1189,5
2020-08-20,17:53:00,2020-08-20,,89,Guinea,13177603,8792,,53,,7574,,1165,24,667,4.0,16975,1288,5
2020-08-23,21:09:00,2020-08-23,,89,Guinea,13180534,8967,35.0,53,,7708,60.0,1206,24,680,4.0,19232,1459,5
2020-08-24,17:10:00,2020-08-24,,89,Guinea,13181511,9013,46.0,54,1.0,7823,115.0,1136,24,684,4.0,20701,1570,5
2020-08-25,23:00:00,2020-08-25,,89,Guinea,13182488,9076,,55,,7928,,1093,24,688,4.0,21504,1631,5
2020-08-26,22:59:00,2020-08-26,,89,Guinea,13183464,9167,39.0,57,,8150,110.0,960,24,695,4.0,22486,1706,5
2020-08-27,23:00:00,2020-08-27,,89,Guinea,13184441,9167,,57,,8150,,960,24,695,4.0,23588,1789,5
2020-08-28,23:01:00,2020-08-28,,89,Guinea,13185418,9213,,58,,8180,,975,24,699,4.0,23588,1789,5
2020-08-29,12:29:00,2020-08-29,,89,Guinea,13186395,9251,,59,,8282,,910,24,702,4.0,23588,1789,5
2020-08-30,23:00:00,2020-08-30,,89,Guinea,13187372,9309,58.0,59,,8333,51.0,917,24,706,4.0,23588,1789,5
2020-08-31,18:58:00,2020-08-31,,89,Guinea,13188348,9371,,59,,8387,,925,24,711,4.0,24530,1860,5
2020-09-01,23:00:00,2020-09-01,,89,Guinea,13189325,9479,70.0,59,,8527,80.0,893,24,719,4.0,24530,1860,5
2020-09-02,23:01:00,2020-09-02,,89,Guinea,13190302,9479,,59,,8527,,893,24,719,4.0,24530,1860,5
2020-09-03,23:01:00,2020-09-03,,89,Guinea,13191279,9579,53.0,61,1.0,8726,152.0,792,24,726,5.0,24530,1860,5
2020-09-04,07:01:00,2020-09-04,,89,Guinea,13192256,9579,,61,,8726,,792,24,726,5.0,24530,1859,5
2020-09-05,23:31:00,2020-09-05,,89,Guinea,13193233,9649,,61,,8832,,756,24,731,5.0,24530,1859,5
2020-09-06,18:30:00,2020-09-06,,89,Guinea,13194209,9722,73.0,61,,8886,54.0,775,24,737,5.0,25469,1930,5
2020-09-07,23:39:00,2020-09-07,,89,Guinea,13195186,9798,,61,,8928,,809,24,743,5.0,25469,1930,5
2020-09-08,22:10:00,2020-09-08,,89,Guinea,13196163,9816,,62,,8956,,798,24,744,5.0,25469,1930,5
2020-09-09,22:01:00,2020-09-09,,89,Guinea,13197140,9848,,63,,9009,,776,24,746,5.0,26775,2029,5
2020-09-10,22:01:00,2020-09-10,,89,Guinea,13198117,9885,,63,,9068,,754,24,749,5.0,26775,2029,5
2020-09-11,22:00:00,2020-09-11,,89,Guinea,13199093,9946,,63,,9100,,783,24,754,5.0,26775,2029,5
2020-09-12,22:22:00,2020-09-12,,89,Guinea,13200070,9979,,63,,9189,,727,24,756,5.0,28140,2132,5
2020-09-13,22:01:00,2020-09-13,,89,Guinea,13201047,10020,,63,,9251,,706,24,759,5.0,28140,2132,5
2020-09-14,22:04:00,2020-09-14,,89,Guinea,13202024,10045,,63,,9292,,690,24,761,5.0,28140,2131,5
2020-09-15,21:00:00,2020-09-15,,89,Guinea,13203001,10061,,63,,9352,,646,24,762,5.0,28140,2131,5
2020-09-16,21:01:00,2020-09-16,,89,Guinea,13203978,10111,,63,,9444,,604,24,766,5.0,28140,2131,5
2020-09-18,20:01:00,2020-09-18,,89,Guinea,13205931,10183,29.0,63,,9642,30.0,478,24,771,5.0,29552,2238,5
2020-09-19,21:00:00,2020-09-19,,89,Guinea,13206908,10231,,63,,9660,,508,24,775,5.0,30764,2329,5
2020-09-20,22:31:00,2020-09-20,,89,Guinea,13207885,10286,,63,,9681,,542,24,779,5.0,31652,2396,5
2020-09-21,21:01:00,2020-09-21,,89,Guinea,13208862,10325,,64,,9692,,569,24,782,5.0,32458,2457,5
2020-09-22,21:01:00,2020-09-22,,89,Guinea,13209838,10344,,65,,9757,,522,24,783,5.0,32458,2457,5
2020-09-23,19:58:00,2020-09-23,,89,Guinea,13210815,10387,,65,,9780,,542,24,786,5.0,32458,2457,5
2020-09-24,21:00:00,2020-09-24,,89,Guinea,13211792,10434,,65,,9801,,568,24,790,5.0,32458,2457,5
2020-09-25,21:00:00,2020-09-25,,89,Guinea,13212769,10434,,65,,9801,,568,24,790,5.0,32458,2457,5
2020-09-26,21:00:00,2020-09-26,,89,Guinea,13213746,10478,,65,,9816,,597,24,793,5.0,32458,2456,5
2020-09-27,22:45:00,2020-09-27,,89,Guinea,13214723,10548,36.0,66,1.0,9865,29.0,617,24,798,5.0,32458,2456,5
2020-09-28,22:00:00,2020-09-28,,89,Guinea,13215699,10580,,66,,9892,,622,24,801,5.0,32458,2456,5
2020-09-29,21:35:00,2020-09-29,,89,Guinea,13216676,10598,,66,,9940,,592,24,802,5.0,32458,2456,5
2020-09-30,22:00:00,2020-09-30,,89,Guinea,13217653,10634,,66,,9960,,608,24,805,5.0,32458,2456,5
2020-10-01,21:31:00,2020-10-01,,89,Guinea,13218630,10652,,66,,9996,,590,24,806,5.0,33375,2525,5
2020-10-02,22:36:00,2020-10-02,,89,Guinea,13219607,10700,48.0,66,,10039,43.0,595,24,809,5.0,33375,2525,5
2020-10-03,22:24:00,2020-10-03,,89,Guinea,13220584,10735,,66,,10066,,603,24,812,5.0,33375,2524,5
2020-10-04,21:01:00,2020-10-04,,89,Guinea,13221560,10754,19.0,66,,10098,32.0,590,24,813,5.0,33676,2547,5
2020-10-05,22:13:00,2020-10-05,,89,Guinea,13222537,10754,,66,,10098,,590,24,813,5.0,33676,2547,5
2020-10-06,23:01:00,2020-10-06,,89,Guinea,13223514,10800,,67,,10161,,572,24,817,5.0,33676,2547,5
2020-10-07,23:01:00,2020-10-07,,89,Guinea,13224491,10863,,68,,10176,,619,24,821,5.0,33676,2546,5
2020-10-08,23:59:00,2020-10-08,,89,Guinea,13225468,10863,,68,,10176,,619,24,821,5.0,33676,2546,5
2020-10-09,23:00:00,2020-10-09,,89,Guinea,13226444,10954,53.0,68,,10265,33.0,621,24,828,5.0,33676,2546,5
2020-10-10,23:00:00,2020-10-10,,89,Guinea,13227421,10996,42.0,69,1.0,10304,39.0,623,24,831,5.0,33676,2546,5
2020-10-12,23:10:00,2020-10-12,,89,Guinea,13229375,11022,,69,,10324,,629,24,833,5.0,34308,2593,5
2020-10-13,23:01:00,2020-10-13,,89,Guinea,13230352,11134,72.0,70,,10347,10.0,717,24,842,5.0,35204,2661,5
2020-10-14,23:01:00,2020-10-14,,89,Guinea,13231329,11188,54.0,70,,10352,5.0,766,24,846,5.0,35204,2661,5
2020-10-15,14:09:00,2020-10-15,11:06:00,89,Guinea,13232305,11255,67.0,70,,10360,8.0,825,24,851,5.0,36914,2790,5
2020-10-16,22:08:00,2020-10-16,19:06:00,89,Guinea,13233282,11327,72.0,70,,10380,20.0,877,24,856,5.0,38182,2885,5
2020-10-17,23:01:00,2020-10-17,19:58:00,89,Guinea,13234259,11362,,70,,10420,,872,24,859,5.0,39166,2959,5
