Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00,,2020-08-02,89,Guinea,13160021,7317,,46,,6480,,791,24,556,3.0,14407,1095
2020-08-08 20:00,,2020-08-08,89,Guinea,13165882,7777,460.0,50,4.0,6800,320.0,927,24,591,4.0,14407,1094
2020-08-12 20:00,,2020-08-12,89,Guinea,13169789,8018,241.0,50,0.0,7020,220.0,948,24,609,4.0,14407,1094
2020-08-16 20:00,,2020-08-16,89,Guinea,13173696,8343,325.0,50,0.0,7210,190.0,1083,24,633,4.0,14407,1094
2020-08-17 20:00,,2020-08-17,89,Guinea,13174673,8482,139.0,51,1.0,7364,154.0,1067,24,644,4.0,14407,1094
2020-08-18 20:00,,2020-08-18,89,Guinea,13175650,8620,138.0,51,0.0,7472,108.0,1097,24,654,4.0,14407,1093
2020-08-19 20:00,,2020-08-19,89,Guinea,13176627,8715,95.0,52,1.0,7532,60.0,1131,24,661,4.0,15667,1189
2020-08-20 17:53,,2020-08-20,89,Guinea,13177603,8792,77.0,53,1.0,7574,42.0,1165,24,667,4.0,16975,1288
2020-08-23 21:09,,2020-08-23,89,Guinea,13180534,8967,175.0,53,0.0,7708,134.0,1206,24,680,4.0,19232,1459
2020-08-24 17:10,,2020-08-24,89,Guinea,13181511,9013,46.0,54,1.0,7823,115.0,1136,24,684,4.0,20701,1570
2020-08-25 23:00,,2020-08-25,89,Guinea,13182488,9076,63.0,55,1.0,7928,105.0,1093,24,688,4.0,21504,1631
2020-08-26 22:59,,2020-08-26,89,Guinea,13183464,9167,91.0,57,2.0,8150,222.0,960,24,695,4.0,22486,1706
2020-08-27 23:00,,2020-08-27,89,Guinea,13184441,9167,0.0,57,0.0,8150,0.0,960,24,695,4.0,23588,1789
2020-08-28 23:01,,2020-08-28,89,Guinea,13185418,9213,46.0,58,1.0,8180,30.0,975,24,699,4.0,23588,1789
2020-08-29 12:29,,2020-08-29,89,Guinea,13186395,9251,38.0,59,1.0,8282,102.0,910,24,702,4.0,23588,1789
2020-08-30 23:00,,2020-08-30,89,Guinea,13187372,9309,58.0,59,0.0,8333,51.0,917,24,706,4.0,23588,1789
2020-08-31 18:58,,2020-08-31,89,Guinea,13188348,9371,62.0,59,0.0,8387,54.0,925,24,711,4.0,24530,1860
2020-09-01 23:00,,2020-09-01,89,Guinea,13189325,9479,108.0,59,0.0,8527,140.0,893,24,719,4.0,24530,1860
2020-09-02 23:01,,2020-09-02,89,Guinea,13190302,9479,0.0,59,0.0,8527,0.0,893,24,719,4.0,24530,1860
2020-09-03 23:01,,2020-09-03,89,Guinea,13191279,9579,100.0,61,2.0,8726,199.0,792,24,726,5.0,24530,1860
2020-09-04 7:01,,2020-09-04,89,Guinea,13192256,9579,0.0,61,0.0,8726,0.0,792,24,726,5.0,24530,1859
2020-09-05 23:31,,2020-09-05,89,Guinea,13193233,9649,70.0,61,0.0,8832,106.0,756,24,731,5.0,24530,1859
2020-09-06 18:30,,2020-09-06,89,Guinea,13194209,9722,73.0,61,0.0,8886,54.0,775,24,737,5.0,25469,1930
2020-09-07 23:39,,2020-09-07,89,Guinea,13195186,9798,76.0,61,0.0,8928,42.0,809,24,743,5.0,25469,1930
2020-09-08 22:10,,2020-09-08,89,Guinea,13196163,9816,18.0,62,1.0,8956,28.0,798,24,744,5.0,25469,1930
2020-09-09 22:01,,2020-09-09,89,Guinea,13197140,9848,32.0,63,1.0,9009,53.0,776,24,746,5.0,26775,2029
2020-09-10 22:01,,2020-09-10,89,Guinea,13198117,9885,37.0,63,0.0,9068,59.0,754,24,749,5.0,26775,2029
2020-09-11 22:00,,2020-09-11,89,Guinea,13199093,9946,61.0,63,0.0,9100,32.0,783,24,754,5.0,26775,2029
2020-09-12 22:22,,2020-09-12,89,Guinea,13200070,9979,33.0,63,0.0,9189,89.0,727,24,756,5.0,28140,2132
2020-09-13 22:01,,2020-09-13,89,Guinea,13201047,10020,41.0,63,0.0,9251,62.0,706,24,759,5.0,28140,2132
2020-09-14 22:04,,2020-09-14,89,Guinea,13202024,10045,25.0,63,0.0,9292,41.0,690,24,761,5.0,28140,2131
2020-09-15 21:00,,2020-09-15,89,Guinea,13203001,10061,16.0,63,0.0,9352,60.0,646,24,762,5.0,28140,2131
2020-09-16 21:01,,2020-09-16,89,Guinea,13203978,10111,50.0,63,0.0,9444,92.0,604,24,766,5.0,28140,2131
2020-09-18 20:01,,2020-09-18,89,Guinea,13205931,10183,72.0,63,0.0,9642,198.0,478,24,771,5.0,29552,2238
2020-09-19 21:00,,2020-09-19,89,Guinea,13206908,10231,48.0,63,0.0,9660,18.0,508,24,775,5.0,30764,2329
2020-09-20 22:31,,2020-09-20,89,Guinea,13207885,10286,55.0,63,0.0,9681,21.0,542,24,779,5.0,31652,2396
2020-09-21 21:01,,2020-09-21,89,Guinea,13208862,10325,39.0,64,1.0,9692,11.0,569,24,782,5.0,32458,2457
2020-09-22 21:01,,2020-09-22,89,Guinea,13209838,10344,19.0,65,1.0,9757,65.0,522,24,783,5.0,32458,2457
2020-09-23 19:58,,2020-09-23,89,Guinea,13210815,10387,43.0,65,0.0,9780,23.0,542,24,786,5.0,32458,2457
2020-09-24 21:00,,2020-09-24,89,Guinea,13211792,10434,47.0,65,0.0,9801,21.0,568,24,790,5.0,32458,2457
2020-09-25 21:00,,2020-09-25,89,Guinea,13212769,10434,0.0,65,0.0,9801,0.0,568,24,790,5.0,32458,2457
2020-09-26 21:00,,2020-09-26,89,Guinea,13213746,10478,44.0,65,0.0,9816,15.0,597,24,793,5.0,32458,2456
2020-09-27 22:45,,2020-09-27,89,Guinea,13214723,10548,70.0,66,1.0,9865,49.0,617,24,798,5.0,32458,2456
2020-09-28 22:00,,2020-09-28,89,Guinea,13215699,10580,32.0,66,0.0,9892,27.0,622,24,801,5.0,32458,2456
2020-09-29 21:35,,2020-09-29,89,Guinea,13216676,10598,18.0,66,0.0,9940,48.0,592,24,802,5.0,32458,2456
2020-09-30 22:00,,2020-09-30,89,Guinea,13217653,10634,36.0,66,0.0,9960,20.0,608,24,805,5.0,32458,2456
2020-10-01 21:31,,2020-10-01,89,Guinea,13218630,10652,18.0,66,0.0,9996,36.0,590,24,806,5.0,33375,2525
2020-10-02 22:36,,2020-10-02,89,Guinea,13219607,10700,48.0,66,0.0,10039,43.0,595,24,809,5.0,33375,2525
2020-10-03 22:24,,2020-10-03,89,Guinea,13220584,10735,35.0,66,0.0,10066,27.0,603,24,812,5.0,33375,2524
2020-10-04 21:01,,2020-10-04,89,Guinea,13221560,10754,19.0,66,0.0,10098,32.0,590,24,813,5.0,33676,2547
2020-10-05 22:13,,2020-10-05,89,Guinea,13222537,10754,0.0,66,0.0,10098,0.0,590,24,813,5.0,33676,2547
2020-10-06 23:01,,2020-10-06,89,Guinea,13223514,10800,46.0,67,1.0,10161,63.0,572,24,817,5.0,33676,2547
2020-10-07 23:01,,2020-10-07,89,Guinea,13224491,10863,63.0,68,1.0,10176,15.0,619,24,821,5.0,33676,2546
2020-10-08 23:59,,2020-10-08,89,Guinea,13225468,10863,0.0,68,0.0,10176,0.0,619,24,821,5.0,33676,2546
2020-10-09 23:00,,2020-10-09,89,Guinea,13226444,10954,91.0,68,0.0,10265,89.0,621,24,828,5.0,33676,2546
2020-10-10 23:00,,2020-10-10,89,Guinea,13227421,10996,42.0,69,1.0,10304,39.0,623,24,831,5.0,33676,2546
2020-10-12 23:10,,2020-10-12,89,Guinea,13229375,11022,26.0,69,0.0,10324,20.0,629,24,833,5.0,34308,2593
2020-10-13 23:01,,2020-10-13,89,Guinea,13230352,11134,112.0,70,1.0,10347,23.0,717,24,842,5.0,35204,2661
2020-10-14 23:01,,2020-10-14,89,Guinea,13231329,11188,54.0,70,0.0,10352,5.0,766,24,846,5.0,35204,2661
2020-10-15 14:09,11:06:00,2020-10-15,89,Guinea,13232305,11255,67.0,70,0.0,10360,8.0,825,24,851,5.0,36914,2790
2020-10-16 22:08,19:06:00,2020-10-16,89,Guinea,13233282,11327,72.0,70,0.0,10380,20.0,877,24,856,5.0,38182,2885
2020-10-17 23:01,19:58:00,2020-10-17,89,Guinea,13234259,11362,35.0,70,0.0,10420,40.0,872,24,859,5.0,39166,2959
2020-10-18 22:05,19:03:00,2020-10-18,89,Guinea,13235236,11518,156.0,70,0.0,10427,7.0,1021,24,870,5.0,39166,2959
2020-10-19 22:05,18:59:00,2020-10-19,89,Guinea,13236213,11518,0.0,70,0.0,10427,0.0,1021,24,870,5.0,39602,2992
2020-10-20 22:05,19:04:00,2020-10-20,89,Guinea,13237189,11538,20.0,70,0.0,10447,20.0,1021,24,872,5.0,40008,3022
2020-10-21 22:05,19:03:00,2020-10-21,89,Guinea,13238166,11599,61.0,70,0.0,10461,14.0,1068,24,876,5.0,40723,3076
2020-10-22 22:05,19:04:00,2020-10-22,89,Guinea,13239143,11635,36.0,71,1.0,10474,13.0,1090,24,879,5.0,40998,3097
2020-10-23 22:05,19:02:00,2020-10-23,89,Guinea,13240120,11635,0.0,71,0.0,10474,0.0,1090,24,879,5.0,40998,3096
2020-10-24 23:41,20:40:00,2020-10-24,89,Guinea,13241097,11635,0.0,71,0.0,10474,0.0,1090,24,879,5.0,40998,3096
2020-10-25 23:00,20:58:00,2020-10-25,89,Guinea,13242074,11635,0.0,71,0.0,10474,0.0,1090,24,879,5.0,40998,3096
2020-10-26 23:00,20:56:00,2020-10-26,89,Guinea,13243050,11635,0.0,71,0.0,10474,0.0,1090,24,879,5.0,40998,3096
2020-10-27 23:00,20:58:00,2020-10-27,89,Guinea,13244027,11635,0.0,71,0.0,10474,0.0,1090,24,879,5.0,40998,3096
2020-10-28 23:00,20:58:00,2020-10-28,89,Guinea,13245004,11819,184.0,71,0.0,10505,31.0,1243,24,892,5.0,40998,3095
2020-10-29 23:00,20:57:00,2020-10-29,89,Guinea,13245981,12020,201.0,71,0.0,10550,45.0,1399,24,907,5.0,41696,3148
2020-10-30 23:00,20:58:00,2020-10-30,89,Guinea,13246958,12072,52.0,72,1.0,10550,0.0,1450,24,911,5.0,41696,3148
2020-10-31 23:00,20:59:00,2020-10-31,89,Guinea,13247935,12072,0.0,72,0.0,10550,0.0,1450,24,911,5.0,42137,3181
2020-11-01 23:00,20:59:00,2020-11-01,89,Guinea,13248911,12150,78.0,73,1.0,10578,28.0,1499,24,917,6.0,42899,3238
2020-11-02 23:00,20:57:00,2020-11-02,89,Guinea,13249888,12195,45.0,73,0.0,10589,11.0,1533,24,920,6.0,43598,3290
2020-11-03 23:00,20:59:00,2020-11-03,89,Guinea,13250865,12213,18.0,73,0.0,10600,11.0,1540,24,922,6.0,43932,3315
2020-11-04 23:00,20:57:00,2020-11-04,89,Guinea,13251842,12260,47.0,73,0.0,10648,48.0,1539,24,925,6.0,44843,3384
2020-11-05 23:00,20:59:00,2020-11-05,89,Guinea,13252819,12363,103.0,73,0.0,10751,103.0,1539,24,933,6.0,45747,3452
2020-11-06 23:00,20:58:00,2020-11-06,89,Guinea,13253795,12363,0.0,73,0.0,10751,0.0,1539,24,933,6.0,45747,3452
2020-11-07 23:00,20:57:00,2020-11-07,89,Guinea,13254772,12363,0.0,73,0.0,10751,0.0,1539,24,933,6.0,45747,3451
2020-11-08 23:00,20:49:00,2020-11-08,89,Guinea,13255749,12414,51.0,74,1.0,10817,66.0,1523,24,936,6.0,47175,3559
2020-11-09 23:00,20:59:00,2020-11-09,89,Guinea,13256726,12426,12.0,74,0.0,10829,12.0,1523,24,937,6.0,47405,3576
2020-11-10 23:00,20:59:00,2020-11-10,89,Guinea,13257703,12459,33.0,74,0.0,10847,18.0,1538,24,940,6.0,47405,3576
2020-11-11 23:00,20:56:00,2020-11-11,89,Guinea,13258680,12516,57.0,74,0.0,10879,32.0,1563,24,944,6.0,48765,3678
2020-11-12 23:00,20:59:00,2020-11-12,89,Guinea,13259656,12537,21.0,74,0.0,10899,20.0,1564,24,945,6.0,48765,3678
2020-11-13 23:00,20:58:00,2020-11-13,89,Guinea,13260633,12537,0.0,74,0.0,10899,0.0,1564,24,945,6.0,48765,3677
2020-11-14 23:00,20:57:00,2020-11-14,89,Guinea,13261610,12585,48.0,74,0.0,11041,142.0,1470,24,949,6.0,50318,3794
2020-11-15 23:00,20:53:00,2020-11-15,89,Guinea,13262587,12585,0.0,74,0.0,11041,0.0,1470,24,949,6.0,50318,3794
2020-11-16 23:00,20:59:00,2020-11-16,89,Guinea,13263564,12624,39.0,75,1.0,11270,229.0,1279,24,952,6.0,51216,3861
2020-11-17 23:00,20:58:00,2020-11-17,89,Guinea,13264540,12654,30.0,75,0.0,11386,116.0,1193,24,954,6.0,52538,3961
2020-11-18 23:00,20:57:00,2020-11-18,89,Guinea,13265517,12713,59.0,75,0.0,11689,303.0,949,24,958,6.0,54240,4089
2020-11-19 23:00,20:59:00,2020-11-19,89,Guinea,13266494,12713,0.0,75,0.0,11689,0.0,949,24,958,6.0,54240,4088
2020-11-20 23:00,20:59:00,2020-11-20,89,Guinea,13267471,12743,30.0,75,0.0,11789,100.0,879,24,960,6.0,57020,4298
2020-11-21 23:00,20:58:00,2020-11-21,89,Guinea,13268448,12798,55.0,75,0.0,11821,32.0,902,24,965,6.0,60369,4550
2020-11-22 23:00,20:59:00,2020-11-22,89,Guinea,13269425,12826,28.0,75,0.0,11838,17.0,913,24,967,6.0,62646,4721
2020-11-23 23:00,20:58:00,2020-11-23,89,Guinea,13270401,12841,15.0,75,0.0,11853,15.0,913,24,968,6.0,62899,4740
2020-11-24 23:00,20:57:00,2020-11-24,89,Guinea,13271378,12863,22.0,75,0.0,11877,24.0,911,24,969,6.0,65115,4906
2020-11-25 23:00,20:58:00,2020-11-25,89,Guinea,13272355,12929,66.0,76,1.0,11902,25.0,951,24,974,6.0,67576,5091
2020-11-26 23:00,20:47:00,2020-11-26,89,Guinea,13273332,12949,20.0,76,0.0,11922,20.0,951,24,976,6.0,68809,5184
2020-11-27 23:00,20:59:00,2020-11-27,89,Guinea,13274309,13039,90.0,76,0.0,11982,60.0,981,24,982,6.0,71821,5411
2020-11-28 23:00,20:46:00,2020-11-28,89,Guinea,13275285,13039,0.0,76,0.0,11982,0.0,981,24,982,6.0,71821,5410
2020-11-29 23:00,20:51:00,2020-11-29,89,Guinea,13276262,13039,0.0,76,0.0,11982,0.0,981,24,982,6.0,71821,5410
2020-11-30 23:00,20:57:00,2020-11-30,89,Guinea,13277239,13097,58.0,76,0.0,12004,22.0,1017,24,986,6.0,72015,5424
2020-12-01 23:00,20:55:00,2020-12-01,89,Guinea,13278216,13119,22.0,76,0.0,12045,41.0,998,24,988,6.0,73155,5509
2020-12-02 23:00,20:58:00,2020-12-02,89,Guinea,13279193,13143,24.0,76,0.0,12154,109.0,913,24,990,6.0,74560,5615
2020-12-03 23:00,20:59:00,2020-12-03,89,Guinea,13280170,13167,24.0,76,0.0,12204,50.0,887,24,991,6.0,76906,5791
2020-12-04 23:00,20:57:00,2020-12-04,89,Guinea,13281146,13186,19.0,76,0.0,12270,66.0,840,24,993,6.0,78418,5904
2020-12-05 23:00,20:58:00,2020-12-05,89,Guinea,13282123,13207,21.0,76,0.0,12311,41.0,820,24,994,6.0,79810,6009
2020-12-06 23:00,20:51:00,2020-12-06,89,Guinea,13283100,13233,26.0,76,0.0,12355,44.0,802,24,996,6.0,79810,6008
2020-12-07 23:00,20:57:00,2020-12-07,89,Guinea,13284077,13264,31.0,79,3.0,12465,110.0,720,24,998,6.0,79810,6008
2020-12-08 23:00,20:59:00,2020-12-08,89,Guinea,13285054,13264,0.0,79,0.0,12465,0.0,720,24,998,6.0,79810,6008
2020-12-09 23:00,20:59:00,2020-12-09,89,Guinea,13286031,13283,19.0,79,0.0,12515,50.0,689,24,1000,6.0,82528,6212
2020-12-10 23:00,20:59:00,2020-12-10,89,Guinea,13287007,13325,42.0,79,0.0,12548,33.0,698,24,1003,6.0,82528,6211
2020-12-11 23:00,20:59:00,2020-12-11,89,Guinea,13287984,13398,73.0,79,0.0,12626,78.0,693,24,1008,6.0,84951,6393
2020-12-12 23:00,20:58:00,2020-12-12,89,Guinea,13288961,13420,22.0,79,0.0,12657,31.0,684,24,1010,6.0,84951,6393
2020-12-13 23:00,20:59:00,2020-12-13,89,Guinea,13289938,13420,0.0,79,0.0,12657,0.0,684,24,1010,6.0,84951,6392
2020-12-14 23:35,21:34:00,2020-12-14,89,Guinea,13290915,13457,37.0,80,1.0,12713,56.0,664,24,1012,6.0,85157,6407
2020-12-15 23:00,20:59:00,2020-12-15,89,Guinea,13291891,13457,0.0,80,0.0,12713,0.0,664,24,1012,6.0,85157,6407
2020-12-16 23:00,20:58:00,2020-12-16,89,Guinea,13292868,13474,17.0,80,0.0,12727,14.0,667,24,1014,6.0,86012,6471
2020-12-17 23:00,20:56:00,2020-12-17,89,Guinea,13293845,13485,11.0,80,0.0,12773,46.0,632,24,1014,6.0,88122,6629
2020-12-18 23:00,20:57:00,2020-12-18,89,Guinea,13294822,13511,26.0,80,0.0,12859,86.0,572,24,1016,6.0,91011,6846
2020-12-19 23:59,22:11:00,2020-12-19,89,Guinea,13295799,13532,21.0,80,0.0,12905,46.0,547,24,1018,6.0,93906,7063
2020-12-20 23:00,20:54:00,2020-12-20,89,Guinea,13296776,13545,13.0,80,0.0,12955,50.0,510,24,1019,6.0,95906,7213
2020-12-21 23:00,20:59:00,2020-12-21,89,Guinea,13297752,13578,33.0,80,0.0,13001,46.0,497,24,1021,6.0,96143,7230
2020-12-22 23:00,20:59:00,2020-12-22,89,Guinea,13298729,13578,0.0,80,0.0,13001,0.0,497,24,1021,6.0,96143,7229
2020-12-23 23:00,20:58:00,2020-12-23,89,Guinea,13299706,13598,20.0,80,0.0,13015,14.0,503,24,1022,6.0,99032,7446
2020-12-24 23:00,20:55:00,2020-12-24,89,Guinea,13300683,13630,32.0,80,0.0,13039,24.0,511,24,1025,6.0,102601,7714
2020-12-25 23:00,20:59:00,2020-12-25,89,Guinea,13301660,13646,16.0,80,0.0,13049,10.0,517,24,1026,6.0,104277,7839
2020-12-26 23:00,20:59:00,2020-12-26,89,Guinea,13302636,13646,0.0,80,0.0,13049,0.0,517,24,1026,6.0,104277,7839
2020-12-27 23:00,20:56:00,2020-12-27,89,Guinea,13303613,13674,28.0,80,0.0,13067,18.0,527,24,1028,6.0,105582,7936
2020-12-28 23:00,20:58:00,2020-12-28,89,Guinea,13304590,13688,14.0,80,0.0,13082,15.0,526,24,1029,6.0,105582,7936
2020-12-29 23:00,20:54:00,2020-12-29,89,Guinea,13305567,13688,0.0,80,0.0,13082,0.0,526,24,1029,6.0,105582,7935
2020-12-30 23:00,20:54:00,2020-12-30,89,Guinea,13306544,13707,19.0,80,0.0,13117,35.0,510,24,1030,6.0,105582,7935
2020-12-31 23:00,20:44:00,2020-12-31,89,Guinea,13307521,13722,15.0,81,1.0,13141,24.0,500,24,1031,6.0,106404,7996
2021-01-01 23:00,20:54:00,2021-01-01,89,Guinea,13308497,13738,16.0,81,0.0,13153,12.0,504,24,1032,6.0,107266,8060
2021-01-02 23:00,20:56:00,2021-01-02,89,Guinea,13309474,13784,46.0,81,0.0,13153,0.0,550,24,1036,6.0,107266,8059
2021-01-03 23:00,20:59:00,2021-01-03,89,Guinea,13310451,13784,0.0,81,0.0,13153,0.0,550,24,1036,6.0,107266,8059
2021-01-04 23:00,20:57:00,2021-01-04,89,Guinea,13311428,13799,15.0,81,0.0,13186,33.0,532,24,1037,6.0,108129,8123
2021-01-05 23:00,20:51:00,2021-01-05,89,Guinea,13312405,13845,46.0,81,0.0,13199,13.0,565,24,1040,6.0,108411,8144
2021-01-06 23:00,20:59:00,2021-01-06,89,Guinea,13313381,13845,0.0,81,0.0,13199,0.0,565,24,1040,6.0,108411,8143
2021-01-07 23:00,20:59:00,2021-01-07,89,Guinea,13314358,13862,17.0,81,0.0,13215,16.0,566,24,1041,6.0,109123,8196
2021-01-08 23:00,20:59:00,2021-01-08,89,Guinea,13315335,13904,42.0,81,0.0,13222,7.0,601,24,1044,6.0,110040,8264
2021-01-09 23:00,20:55:00,2021-01-09,89,Guinea,13316312,13942,38.0,81,0.0,13223,1.0,638,24,1047,6.0,110512,8299
2021-01-10 23:32,21:29:00,2021-01-10,89,Guinea,13317289,13942,0.0,81,0.0,13223,0.0,638,24,1047,6.0,110512,8298
