Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,47,Honduras,9917550,42685,,1368,,5694,,35623,43,4304,138.0,105820,10670.0
2020-08-08 20:00:00,,2020-08-08,47,Honduras,9920134,46365,3680.0,1465,97.0,6355,661.0,38545,45,4674,148.0,112370,11327.0
2020-08-12 20:00:00,,2020-08-12,47,Honduras,9921857,48403,2038.0,1515,50.0,6805,450.0,40083,44,4878,153.0,118409,11934.0
2020-08-16 20:00:00,,2020-08-16,47,Honduras,9923580,49979,1576.0,1567,52.0,7255,450.0,41157,37,5036,158.0,122434,12338.0
2020-08-17 20:00:00,,2020-08-17,47,Honduras,9924011,50502,523.0,1575,8.0,7339,84.0,41588,37,5089,159.0,123539,12448.0
2020-08-18 20:00:00,,2020-08-18,47,Honduras,9924442,50995,493.0,1583,8.0,7450,111.0,41962,37,5138,160.0,123539,12448.0
2020-08-19 20:00:00,,2020-08-19,47,Honduras,9924872,51670,675.0,1593,10.0,7661,211.0,42416,45,5206,161.0,126374,12733.0
2020-08-20 17:53:00,,2020-08-20,47,Honduras,9925303,52298,628.0,1608,15.0,7867,206.0,42823,43,5269,162.0,127946,12891.0
2020-08-23 21:09:00,,2020-08-23,47,Honduras,9926595,53983,1685.0,1643,35.0,8449,582.0,43891,46,5438,166.0,132242,13322.0
2020-08-24 17:10:00,,2020-08-24,47,Honduras,9927026,54511,528.0,1654,11.0,8532,83.0,44325,46,5491,167.0,132242,13321.0
2020-08-25 23:00:00,,2020-08-25,47,Honduras,9927457,55479,968.0,1683,29.0,8556,24.0,45240,47,5588,170.0,135216,13620.0
2020-08-26 22:59:00,,2020-08-26,47,Honduras,9927888,55877,398.0,1703,20.0,9124,568.0,45050,47,5628,172.0,135216,13620.0
2020-08-27 23:00:00,,2020-08-27,47,Honduras,9928318,56649,772.0,1747,44.0,9169,45.0,45733,47,5706,176.0,135216,13619.0
2020-08-28 23:01:00,,2020-08-28,47,Honduras,9928749,57669,1020.0,1803,56.0,9586,417.0,46280,39,5808,182.0,137618,13861.0
2020-08-29 12:29:00,,2020-08-29,47,Honduras,9929180,58810,1141.0,1827,24.0,10076,490.0,46907,45,5923,184.0,141114,14212.0
2020-08-30 23:00:00,,2020-08-30,47,Honduras,9929610,59645,835.0,1842,15.0,10156,80.0,47647,44,6007,186.0,142638,14365.0
2020-08-31 18:58:00,,2020-08-31,47,Honduras,9930041,60174,529.0,1858,16.0,10242,86.0,48074,43,6060,187.0,143807,14482.0
2020-09-01 23:00:00,,2020-09-01,47,Honduras,9930472,61014,840.0,1873,15.0,10396,154.0,48745,43,6144,189.0,143807,14481.0
2020-09-02 23:01:00,,2020-09-02,47,Honduras,9930903,61769,755.0,1888,15.0,10430,34.0,49451,40,6220,190.0,145519,14653.0
2020-09-03 23:01:00,,2020-09-03,47,Honduras,9931333,62526,757.0,1924,36.0,11147,717.0,49455,39,6296,194.0,148824,14985.0
2020-09-04 07:01:00,,2020-09-04,47,Honduras,9931764,63158,632.0,1954,30.0,11618,471.0,49586,34,6359,197.0,150142,15117.0
2020-09-05 23:31:00,,2020-09-05,47,Honduras,9932195,63798,640.0,1984,30.0,12347,729.0,49467,31,6423,200.0,151844,15288.0
2020-09-06 18:30:00,,2020-09-06,47,Honduras,9932626,64352,554.0,2006,22.0,13115,768.0,49231,32,6479,202.0,153065,15410.0
2020-09-07 23:39:00,,2020-09-07,47,Honduras,9933056,64764,412.0,2007,1.0,13418,303.0,49339,32,6520,202.0,153065,15410.0
