scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,135,Iceland,341435,1907,14.0,10,,1825,,72,,5585.0,29.0,138984,407058.0
2020-08-08,20:00:00,,135,Iceland,341471,1955,3.0,10,,1833,,112,1.0,5725.0,29.0,155718,456021.0
2020-08-12,20:00:00,,135,Iceland,341496,1968,,10,,1844,,114,1.0,5763.0,29.0,164928,482957.0
2020-08-16,20:00:00,,135,Iceland,341520,1999,,10,,1870,,119,1.0,5853.0,29.0,177586,519987.0
2020-08-17,20:00:00,,135,Iceland,341526,2014,3.0,10,,1888,8.0,116,1.0,5897.0,29.0,183283,536659.0
2020-08-18,20:00:00,,135,Iceland,341532,2027,13.0,10,,1895,7.0,122,1.0,5935.0,29.0,183283,536650.0
2020-08-19,20:00:00,,135,Iceland,341538,2027,,10,,1895,,122,1.0,5935.0,29.0,185978,544531.0
2020-08-20,17:53:00,,135,Iceland,341544,2040,5.0,10,,1913,10.0,117,1.0,5973.0,29.0,191690,561245.0
2020-08-23,21:09:00,,135,Iceland,341562,2064,6.0,10,,1939,3.0,115,,6043.0,29.0,194963,570798.0
2020-08-24,17:10:00,,135,Iceland,341568,2073,9.0,10,,1946,7.0,117,,6069.0,29.0,200733,587681.0
2020-08-25,23:00:00,,135,Iceland,341574,2077,4.0,10,,1953,7.0,114,,6081.0,29.0,203085,594556.0
2020-08-26,22:59:00,,135,Iceland,341580,2082,5.0,10,,1957,4.0,115,,6095.0,29.0,205935,602890.0
2020-08-27,23:00:00,,135,Iceland,341586,2087,5.0,10,,1964,7.0,113,,6110.0,29.0,208384,610048.0
2020-08-28,23:01:00,,135,Iceland,341592,2092,5.0,10,,1964,,118,,6124.0,29.0,210223,615421.0
2020-08-29,12:29:00,,135,Iceland,341598,2092,,10,,1964,,118,,6124.0,29.0,210223,615411.0
2020-08-30,23:00:00,,135,Iceland,341604,2105,5.0,10,,1990,11.0,105,,6162.0,29.0,213608,625309.0
2020-08-31,18:58:00,,135,Iceland,341610,2107,2.0,10,,1997,7.0,100,,6168.0,29.0,215302,630257.0
2020-09-01,23:00:00,,135,Iceland,341616,2116,9.0,10,,2007,10.0,99,,6194.0,29.0,217282,636042.0
