scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-02,20:00:00,2020-08-02,,11,Iran,84082937,309437,2685.0,17190,208.0,268102,2272.0,24145,4089,3680,204.0,2508418,29833,3
2020-08-08,20:00:00,2020-08-08,,11,Iran,84100560,324692,2125.0,18264,132.0,282122,2398.0,24306,4148,3861,217.0,2637575,31362,3
2020-08-12,20:00:00,2020-08-12,,11,Iran,84112309,331189,,18800,,288620,,23769,3983,3937,224.0,2736514,32534,3
2020-08-16,20:00:00,2020-08-16,,11,Iran,84124058,343203,2133.0,19639,147.0,297486,1856.0,26078,3881,4080,233.0,2861825,34019,3
2020-08-17,20:00:00,2020-08-17,,11,Iran,84126996,345450,2247.0,19804,165.0,299157,1671.0,26489,3773,4106,235.0,2887938,34328,3
2020-08-18,20:00:00,2020-08-18,,11,Iran,84129933,347835,2385.0,19972,168.0,300881,1724.0,26982,3882,4134,237.0,2914049,34637,3
2020-08-19,20:00:00,2020-08-19,,11,Iran,84132870,347835,,19972,,300881,,26982,3882,4134,237.0,2914049,34636,3
2020-08-20,17:53:00,2020-08-20,,11,Iran,84135807,352558,2279.0,20264,139.0,304236,1708.0,28058,3869,4190,241.0,2939840,34942,3
2020-08-23,21:09:00,2020-08-23,,11,Iran,84144619,358905,2113.0,20643,141.0,309464,1762.0,28798,3841,4265,245.0,3036711,36089,3
2020-08-24,17:10:00,2020-08-24,,11,Iran,84147556,361150,2245.0,20776,133.0,311365,1901.0,29009,3848,4292,247.0,3062422,36393,3
2020-08-25,23:00:00,2020-08-25,,11,Iran,84150494,363363,2213.0,20901,125.0,313058,1693.0,29404,3839,4318,248.0,3883313,46147,3
2020-08-26,22:59:00,2020-08-26,,11,Iran,84153431,365606,2243.0,21020,119.0,314870,1812.0,29716,3831,4345,250.0,3113806,37002,3
2020-08-27,23:00:00,2020-08-27,,11,Iran,84156368,367796,2190.0,21137,117.0,316638,1768.0,30021,3822,4370,251.0,3138782,37297,3
2020-08-28,23:01:00,2020-08-28,,11,Iran,84159305,369911,2115.0,21249,112.0,318270,1632.0,30392,3811,4395,252.0,3161894,37570,3
2020-08-29,12:29:00,2020-08-29,,11,Iran,84162243,369911,,21249,,318270,,30392,3811,4395,252.0,3161894,37569,3
2020-08-30,23:00:00,2020-08-30,,11,Iran,84165180,373570,1754.0,21462,103.0,321421,1574.0,30687,3759,4439,255.0,3184857,37841,3
2020-08-31,18:58:00,2020-08-31,,11,Iran,84168117,375212,1642.0,21571,109.0,323233,1812.0,30408,3729,4458,256.0,3231110,38389,3
2020-09-01,23:00:00,2020-09-01,,11,Iran,84171055,376894,1682.0,21672,101.0,325124,1891.0,30098,3709,4478,257.0,3256122,38685,3
2020-09-02,23:01:00,2020-09-02,,11,Iran,84173992,378752,1858.0,21797,125.0,326801,1677.0,30154,3693,4500,259.0,3281961,38990,3
2020-09-03,23:01:00,2020-09-03,,11,Iran,84176929,380746,1994.0,21926,129.0,328595,1794.0,30225,3702,4523,260.0,3307383,39291,3
2020-09-04,07:01:00,2020-09-04,,11,Iran,84179866,380746,,21926,,328595,,30225,3702,4523,260.0,3307383,39289,3
2020-09-05,23:31:00,2020-09-05,,11,Iran,84182804,384666,1894.0,22154,110.0,332131,1823.0,30381,3708,4569,263.0,3355152,39856,3
2020-09-06,18:30:00,2020-09-06,,11,Iran,84185741,386658,1992.0,22293,139.0,333900,1769.0,30465,3722,4593,265.0,3380264,40152,3
2020-09-07,23:39:00,2020-09-07,,11,Iran,84188678,388810,2152.0,22410,117.0,335572,1672.0,30828,3733,4618,266.0,3406055,40457,3
2020-09-08,22:10:00,2020-09-08,,11,Iran,84191615,391112,2302.0,22542,132.0,337414,1842.0,31156,3713,4645,268.0,3431646,40760,3
2020-09-09,22:01:00,2020-09-09,,11,Iran,84194553,393425,2313.0,22669,127.0,339111,1697.0,31645,3735,4673,269.0,3431646,40759,3
2020-09-10,22:01:00,2020-09-10,,11,Iran,84197490,395488,2063.0,22798,129.0,340842,1731.0,31848,3728,4697,271.0,3483727,41376,3
2020-09-11,22:00:00,2020-09-11,,11,Iran,84200427,397801,2313.0,22913,115.0,342539,1697.0,32349,3753,4724,272.0,3507938,41662,3
2020-09-12,22:22:00,2020-09-12,,11,Iran,84203364,399940,2139.0,23029,116.0,344516,1977.0,32395,3768,4750,273.0,3532873,41956,3
