scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,21,Iraq,40293665,129151,2447.0,4868,63.0,91886,2611.0,32397,498.0,3205.0,121.0,1029159,25541.0
2020-08-08,20:00:00,,21,Iraq,40308497,147389,3325.0,5310,74.0,105504,2307.0,36575,577.0,3657.0,132.0,1127383,27969.0
2020-08-12,20:00:00,,21,Iraq,40318386,156995,,5531,,112102,,39362,545.0,3894.0,137.0,1183950,29365.0
2020-08-16,20:00:00,,21,Iraq,40328274,172583,,5785,,122700,,44098,590.0,4279.0,143.0,1263650,31334.0
2020-08-17,20:00:00,,21,Iraq,40330746,180133,3202.0,5954,94.0,128945,3571.0,45234,605.0,4466.0,148.0,1304331,32341.0
2020-08-18,20:00:00,,21,Iraq,40333218,184709,4576.0,6036,82.0,131840,2895.0,46833,574.0,4580.0,150.0,1304331,32339.0
2020-08-19,20:00:00,,21,Iraq,40335690,184709,,6036,,131840,,46833,574.0,4579.0,150.0,1304331,32337.0
2020-08-20,17:53:00,,21,Iraq,40338162,192797,3995.0,6208,87.0,137200,2831.0,49389,614.0,4780.0,154.0,1368727,33931.0
2020-08-23,21:09:00,,21,Iraq,40345578,204341,3291.0,6428,75.0,146409,3016.0,51504,661.0,5065.0,159.0,1433626,35534.0
2020-08-24,17:10:00,,21,Iraq,40348050,204341,,6428,,146409,,51504,661.0,5064.0,159.0,1433626,35531.0
2020-08-25,23:00:00,,21,Iraq,40350522,211947,3962.0,6596,77.0,153761,3372.0,51590,574.0,5253.0,163.0,1482187,36733.0
2020-08-26,22:59:00,,21,Iraq,40352994,215784,3837.0,6668,72.0,157215,3454.0,51901,595.0,5347.0,165.0,1502546,37235.0
2020-08-27,23:00:00,,21,Iraq,40355467,219435,3651.0,6740,72.0,161009,3794.0,51686,566.0,5438.0,167.0,1524864,37786.0
2020-08-28,23:01:00,,21,Iraq,40357939,223612,4177.0,6814,74.0,164874,3865.0,51924,582.0,5541.0,169.0,1547498,38344.0
2020-08-29,12:29:00,,21,Iraq,40360411,223612,,6814,,164874,,51924,582.0,5540.0,169.0,1547498,38342.0
2020-08-30,23:00:00,,21,Iraq,40362883,231177,3731.0,6959,68.0,172880,3860.0,51338,542.0,5727.0,172.0,1587326,39326.0
2020-08-31,18:58:00,,21,Iraq,40365355,231177,,6959,,172880,,51338,542.0,5727.0,172.0,1587326,39324.0
2020-09-01,23:00:00,,21,Iraq,40367827,238338,3404.0,7123,81.0,180473,3871.0,50742,521.0,5904.0,176.0,1624331,40238.0
2020-09-02,23:01:00,,21,Iraq,40370299,242284,3946.0,7201,78.0,184205,3732.0,50878,527.0,6002.0,178.0,1647454,40809.0
2020-09-03,23:01:00,,21,Iraq,40372771,247039,4755.0,7275,74.0,187757,3552.0,52007,496.0,6119.0,180.0,1670483,41376.0
2020-09-04,07:01:00,,21,Iraq,40375243,247039,,7275,,187757,,52007,496.0,6119.0,180.0,1670483,41374.0
2020-09-05,23:31:00,,21,Iraq,40377715,256719,4644.0,7422,63.0,195259,3891.0,54038,523.0,6358.0,184.0,1718157,42552.0
2020-09-06,18:30:00,,21,Iraq,40380187,256719,,7422,,195259,,54038,523.0,6358.0,184.0,1718157,42550.0
2020-09-07,23:39:00,,21,Iraq,40382659,260370,,7512,,198560,,54298,507.0,6448.0,186.0,1718157,42547.0
2020-09-08,22:10:00,,21,Iraq,40385131,269578,4894.0,7657,68.0,206324,3465.0,55597,505.0,6675.0,190.0,1718157,42544.0
