scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-02,20:00:00,2020-08-02,,30,Israel,9197590,72315,97.0,531,5.0,45631,529.0,26153,340,7862,58.0,1781967,193743,3
2020-08-08,20:00:00,2020-08-08,,30,Israel,9197590,82279,1288.0,592,11.0,57068,1755.0,24619,389,8946,64.0,1872453,203581,3
2020-08-12,20:00:00,2020-08-12,,30,Israel,9197590,87173,580.0,633,11.0,61577,1497.0,24963,379,9478,69.0,1996966,217118,3
2020-08-16,20:00:00,2020-08-16,,30,Israel,9197590,92404,171.0,679,5.0,68400,450.0,23325,396,10047,74.0,2071380,225209,3
2020-08-17,20:00:00,2020-08-17,,30,Israel,9197590,94277,1597.0,692,7.0,70267,1757.0,23318,399,10250,75.0,2079941,226140,3
2020-08-18,20:00:00,2020-08-18,,30,Israel,9197590,96093,1342.0,705,13.0,71971,1680.0,23417,404,10448,77.0,2079941,226140,3
2020-08-19,20:00:00,2020-08-19,,30,Israel,9197590,96996,587.0,719,11.0,72498,508.0,23779,401,10546,78.0,2079941,226140,3
2020-08-20,17:53:00,2020-08-20,,30,Israel,9197590,98550,581.0,789,8.0,73848,756.0,23913,403,10715,86.0,2180096,237029,3
2020-08-23,21:09:00,2020-08-23,,30,Israel,9197590,102380,447.0,834,15.0,79501,850.0,22045,398,11131,91.0,2180096,237029,3
2020-08-24,17:10:00,2020-08-24,,30,Israel,9197590,103274,611.0,839,5.0,80521,1007.0,21914,411,11228,91.0,2180096,237029,3
2020-08-25,23:00:00,2020-08-25,,30,Israel,9197590,106245,1773.0,858,11.0,83810,2168.0,21577,427,11551,93.0,2180096,237029,3
2020-08-26,22:59:00,2020-08-26,,30,Israel,9197590,108054,1594.0,875,16.0,86450,2628.0,20729,404,11748,95.0,2180096,237029,3
2020-08-27,23:00:00,2020-08-27,,30,Israel,9197590,110186,1783.0,883,8.0,87714,1248.0,21589,410,11980,96.0,2217857,241135,3
2020-08-28,23:01:00,2020-08-28,,30,Israel,9197590,112000,1597.0,894,10.0,91051,3325.0,20055,414,12177,97.0,2217857,241135,3
2020-08-29,12:29:00,2020-08-29,,30,Israel,9197590,112000,,894,,91051,,20055,414,12177,97.0,2217857,241135,3
2020-08-30,23:00:00,2020-08-30,,30,Israel,9197590,114020,555.0,919,13.0,92796,692.0,20305,444,12397,100.0,2279487,247835,3
2020-08-31,18:58:00,2020-08-31,,30,Israel,9197590,115057,1037.0,922,3.0,93801,1005.0,20334,453,12509,100.0,2295951,249625,3
2020-09-01,23:00:00,2020-09-01,,30,Israel,9197590,118122,1526.0,956,17.0,96206,1197.0,20960,415,12843,104.0,2323830,252656,3
