Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,17,Italy,60453777,248070,,35154,,200460,,12456,42,4103,582.0,6873496,113698
2020-08-08 20:00:00,,2020-08-08,17,Italy,60452326,250103,2033.0,35203,49.0,201947,1487.0,12953,43,4137,582.0,7212207,119304
2020-08-12 20:00:00,,2020-08-12,17,Italy,60451358,251237,1134.0,35215,12.0,202461,514.0,13561,49,4156,583.0,7316918,121038
2020-08-16 20:00:00,,2020-08-16,17,Italy,60450390,253438,2201.0,35392,177.0,203640,1179.0,14406,55,4192,585.0,7520610,124410
2020-08-17 20:00:00,,2020-08-17,17,Italy,60450148,254235,797.0,35400,8.0,203968,328.0,14867,58,4206,586.0,7588083,125526
2020-08-18 20:00:00,,2020-08-18,17,Italy,60449906,254636,401.0,35405,5.0,204142,174.0,15089,58,4212,586.0,7642059,126420
2020-08-19 20:00:00,,2020-08-19,17,Italy,60449664,254636,0.0,35405,0.0,204142,0.0,15089,58,4212,586.0,7642059,126420
2020-08-20 17:53:00,,2020-08-20,17,Italy,60449422,255278,642.0,35412,7.0,204506,364.0,15360,66,4223,586.0,7713154,127597
2020-08-23 21:09:00,,2020-08-23,17,Italy,60448696,259345,4067.0,35437,25.0,205470,964.0,18438,69,4290,586.0,8007637,132470
2020-08-24 17:10:00,,2020-08-24,17,Italy,60448454,259345,0.0,35437,0.0,205470,0.0,18438,69,4290,586.0,8007637,132471
2020-08-25 23:00:00,,2020-08-25,17,Italy,60448212,261174,1829.0,35445,8.0,206015,545.0,19714,66,4321,586.0,8125892,134427
2020-08-26 22:59:00,,2020-08-26,17,Italy,60447970,262540,1366.0,35458,13.0,206329,314.0,20753,69,4343,587.0,8219421,135975
2020-08-27 23:00:00,,2020-08-27,17,Italy,60447728,263949,1409.0,35463,5.0,206554,225.0,21932,67,4367,587.0,8313445,137531
2020-08-28 23:01:00,,2020-08-28,17,Italy,60447487,265409,1460.0,35472,9.0,206902,348.0,23035,74,4391,587.0,8410510,139137
2020-08-29 12:29:00,,2020-08-29,17,Italy,60447245,265409,0.0,35472,0.0,206902,0.0,23035,74,4391,587.0,8410510,139138
2020-08-30 23:00:00,,2020-08-30,17,Italy,60447003,268218,2809.0,35477,5.0,208536,1634.0,24205,86,4437,587.0,8591341,142130
2020-08-31 18:58:00,,2020-08-31,17,Italy,60446761,268218,0.0,35477,0.0,208536,0.0,24205,86,4437,587.0,8591341,142131
2020-09-01 23:00:00,,2020-09-01,17,Italy,60446519,270189,1971.0,35491,14.0,207944,-592.0,26754,107,4470,587.0,8725909,144358
2020-09-02 23:01:00,,2020-09-02,17,Italy,60446277,271515,1326.0,35497,6.0,208201,257.0,27817,109,4492,587.0,8828868,146061
2020-09-03 23:01:00,,2020-09-03,17,Italy,60446035,272912,1397.0,35507,10.0,208490,289.0,28915,120,4515,587.0,8921658,147597
2020-09-04 07:01:00,,2020-09-04,17,Italy,60445793,272912,0.0,35507,0.0,208490,0.0,28915,120,4515,587.0,8921658,147598
2020-09-05 23:31:00,,2020-09-05,17,Italy,60445551,276338,3426.0,35534,27.0,209610,1120.0,31194,121,4572,588.0,9142401,151250
2020-09-06 18:30:00,,2020-09-06,17,Italy,60445309,277634,1296.0,35541,7.0,210015,405.0,32078,133,4593,588.0,9219257,152522
2020-09-07 23:39:00,,2020-09-07,17,Italy,60445067,278784,1150.0,35553,12.0,210238,223.0,32993,142,4612,588.0,9271810,153392
2020-09-08 22:10:00,,2020-09-08,17,Italy,60444825,280153,1369.0,35563,10.0,210801,563.0,33789,143,4635,588.0,9364213,154922
2020-09-09 22:01:00,,2020-09-09,17,Italy,60444583,281583,1430.0,35577,14.0,211272,471.0,34734,150,4659,589.0,9460203,156510
2020-09-10 22:01:00,,2020-09-10,17,Italy,60444341,283180,1597.0,35587,10.0,211885,613.0,35708,164,4685,589.0,9554389,158069
2020-09-11 22:00:00,,2020-09-11,17,Italy,60444099,284796,1616.0,35597,10.0,212432,547.0,36767,175,4712,589.0,9653269,159706
2020-09-12 22:22:00,,2020-09-12,17,Italy,60443857,286297,1501.0,35603,6.0,213191,759.0,37503,182,4737,589.0,9745975,161240
2020-09-13 22:01:00,,2020-09-13,17,Italy,60443615,287753,1456.0,35610,7.0,213634,443.0,38509,187,4761,589.0,9818118,162434
2020-09-14 22:04:00,,2020-09-14,17,Italy,60443373,288761,1008.0,35624,14.0,213950,316.0,39187,197,4777,589.0,9863427,163185
2020-09-15 21:00:00,,2020-09-15,17,Italy,60443131,289990,1229.0,35633,9.0,214645,695.0,39712,201,4798,590.0,9943944,164517
2020-09-16 21:01:00,,2020-09-16,17,Italy,60442889,291442,1452.0,35645,12.0,215265,620.0,40532,207,4822,590.0,10044551,166183
2020-09-18 20:01:00,,2020-09-18,17,Italy,60442405,294932,3490.0,35668,23.0,216807,1542.0,42457,208,4880,590.0,10246163,169519
2020-09-19 21:00:00,,2020-09-19,17,Italy,60442164,296569,1637.0,35692,24.0,217716,909.0,43161,215,4907,591.0,10349386,171228
2020-09-20 22:31:00,,2020-09-20,17,Italy,60441922,298156,1587.0,35707,15.0,218351,635.0,44098,222,4933,591.0,10432814,172609
2020-09-21 21:01:00,,2020-09-21,17,Italy,60441680,299506,1350.0,35724,17.0,218703,352.0,45079,232,4955,591.0,10488676,173534
