Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,145,Jamaica,2962302,883,,10,,743,,130,,298,3.0,39053,13183.0
2020-08-08 20:00:00,,2020-08-08,145,Jamaica,2962513,987,104.0,13,3.0,745,2.0,229,,333,4.0,42447,14328.0
2020-08-12 20:00:00,,2020-08-12,145,Jamaica,2962654,1047,60.0,14,1.0,753,8.0,280,,353,5.0,44371,14977.0
2020-08-16 20:00:00,,2020-08-16,145,Jamaica,2962795,1106,59.0,14,0.0,761,8.0,331,2.0,373,5.0,46227,15602.0
2020-08-17 20:00:00,,2020-08-17,145,Jamaica,2962830,1113,7.0,14,0.0,764,3.0,335,2.0,376,5.0,46517,15700.0
2020-08-18 20:00:00,,2020-08-18,145,Jamaica,2962865,1129,16.0,14,0.0,764,0.0,351,1.0,381,5.0,46924,15837.0
2020-08-19 20:00:00,,2020-08-19,145,Jamaica,2962901,1146,17.0,14,0.0,770,6.0,362,1.0,387,5.0,47865,16155.0
2020-08-20 17:53:00,,2020-08-20,145,Jamaica,2962936,1192,46.0,14,0.0,772,2.0,406,1.0,402,5.0,49215,16610.0
2020-08-23 21:09:00,,2020-08-23,145,Jamaica,2963042,1413,221.0,16,2.0,817,45.0,580,4.0,477,5.0,52502,17719.0
2020-08-24 17:10:00,,2020-08-24,145,Jamaica,2963077,1529,116.0,16,0.0,819,2.0,694,4.0,516,5.0,53390,18018.0
2020-08-25 23:00:00,,2020-08-25,145,Jamaica,2963112,1612,83.0,16,0.0,819,0.0,777,3.0,544,5.0,54055,18243.0
2020-08-26 22:59:00,,2020-08-26,145,Jamaica,2963147,1732,120.0,19,3.0,840,21.0,873,3.0,585,6.0,54658,18446.0
2020-08-27 23:00:00,,2020-08-27,145,Jamaica,2963182,1804,72.0,19,0.0,846,6.0,939,4.0,609,6.0,55099,18595.0
2020-08-28 23:01:00,,2020-08-28,145,Jamaica,2963218,1870,66.0,19,0.0,846,0.0,1005,4.0,631,6.0,55605,18765.0
2020-08-29 12:29:00,,2020-08-29,145,Jamaica,2963253,2011,141.0,19,0.0,888,42.0,1104,4.0,679,6.0,56494,19065.0
