scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,44,Japan,126441125,35836,,1011,,25506,,9319,80,283,8.0,824748,6523
2020-08-08,20:00:00,,44,Japan,126434806,43815,7979.0,1033,22.0,30153,4647.0,12629,131,347,8.0,961915,7608
2020-08-12,20:00:00,,44,Japan,126430593,48928,5113.0,1052,19.0,33975,3822.0,13901,171,387,8.0,1024235,8101
2020-08-16,20:00:00,,44,Japan,126426380,53577,4649.0,1085,33.0,38945,4970.0,13547,229,424,9.0,1164029,9207
2020-08-17,20:00:00,,44,Japan,126425327,54714,1137.0,1088,3.0,40080,1135.0,13546,232,433,9.0,1177313,9312
2020-08-18,20:00:00,,44,Japan,126424274,55667,953.0,1099,11.0,41196,1116.0,13372,243,440,9.0,1186468,9385
2020-08-19,20:00:00,,44,Japan,126423220,56685,1018.0,1115,16.0,42284,1088.0,13286,243,448,9.0,1214145,9604
2020-08-20,17:53:00,,44,Japan,126422167,57550,865.0,1128,13.0,43835,1551.0,12587,239,455,9.0,1236180,9778
2020-08-23,21:09:00,,44,Japan,126419008,60733,3183.0,1169,41.0,47622,3787.0,11942,243,480,9.0,1306128,10332
2020-08-24,17:10:00,,44,Japan,126417954,61747,1014.0,1176,7.0,48550,928.0,12021,254,488,9.0,1321079,10450
2020-08-25,23:00:00,,44,Japan,126416901,62507,760.0,1181,5.0,49340,790.0,11986,259,494,9.0,1333884,10551
2020-08-26,22:59:00,,44,Japan,126415848,63121,614.0,1196,15.0,50431,1091.0,11494,252,499,9.0,1357628,10739
2020-08-27,23:00:00,,44,Japan,126414795,63822,701.0,1209,13.0,51688,1257.0,10925,246,505,10.0,1376783,10891
2020-08-28,23:01:00,,44,Japan,126413742,64668,846.0,1226,17.0,52823,1135.0,10619,238,512,10.0,1397400,11054
2020-08-29,12:29:00,,44,Japan,126412688,65573,905.0,1238,12.0,53995,1172.0,10340,227,519,10.0,1420589,11238
2020-08-30,23:00:00,,44,Japan,126411635,66423,850.0,1255,17.0,55341,1346.0,9827,230,525,10.0,1440826,11398
2020-08-31,18:58:00,,44,Japan,126410582,67264,841.0,1264,9.0,56164,823.0,9836,234,532,10.0,1455610,11515
2020-09-01,23:00:00,,44,Japan,126409529,67865,601.0,1279,15.0,56802,638.0,9784,236,537,10.0,1467132,11606
2020-09-02,23:01:00,,44,Japan,126408476,68392,527.0,1296,17.0,57823,1021.0,9273,234,541,10.0,1490975,11795
2020-09-03,23:01:00,,44,Japan,126407422,69001,609.0,1307,11.0,58428,605.0,9266,225,546,10.0,1510462,11949
2020-09-04,07:01:00,,44,Japan,126406369,69599,598.0,1319,12.0,59524,1096.0,8756,218,551,10.0,1536221,12153
2020-09-05,23:31:00,,44,Japan,126405316,70268,669.0,1330,11.0,60417,893.0,8521,214,556,11.0,1560505,12345
2020-09-06,18:30:00,,44,Japan,126404263,70876,608.0,1349,19.0,61445,1028.0,8082,210,561,11.0,1577444,12479
2020-09-07,23:39:00,,44,Japan,126403210,71419,543.0,1357,8.0,62076,631.0,7986,211,565,11.0,1590895,12586
2020-09-08,22:10:00,,44,Japan,126402156,71856,437.0,1363,6.0,62536,460.0,7957,209,568,11.0,1596561,12631
2020-09-09,22:01:00,,44,Japan,126401103,72234,378.0,1377,14.0,63282,746.0,7575,202,571,11.0,1622149,12833
2020-09-10,22:01:00,,44,Japan,126400050,72726,492.0,1393,16.0,64100,818.0,7233,202,575,11.0,1637723,12957
2020-09-11,22:00:00,,44,Japan,126398997,73221,495.0,1406,13.0,64835,735.0,6980,198,579,11.0,1662091,13150
2020-09-12,22:22:00,,44,Japan,126397943,73901,680.0,1412,6.0,65590,755.0,6899,191,585,11.0,1685711,13337
2020-09-13,22:01:00,,44,Japan,126396890,74544,643.0,1423,11.0,66280,690.0,6841,190,590,11.0,1703734,13479
2020-09-14,22:04:00,,44,Japan,126395837,75218,674.0,1439,16.0,66899,619.0,6880,180,595,11.0,1715960,13576
2020-09-15,21:00:00,,44,Japan,126394784,75657,439.0,1442,3.0,67242,343.0,6973,185,599,11.0,1718055,13593
2020-09-16,21:01:00,,44,Japan,126393731,75958,301.0,1451,9.0,67831,589.0,6676,174,601,11.0,1745311,13809
2020-09-18,20:01:00,,44,Japan,126391624,77009,1051.0,1473,22.0,69253,1422.0,6283,167,609,12.0,1786342,14133
2020-09-19,21:00:00,,44,Japan,126390571,77494,485.0,1482,9.0,69899,646.0,6113,170,613,12.0,1811516,14333
2020-09-20,22:31:00,,44,Japan,126389518,78073,579.0,1495,13.0,70495,596.0,6083,161,618,12.0,1831246,14489
2020-09-21,21:01:00,,44,Japan,126388465,78657,584.0,1500,5.0,71030,535.0,6127,159,622,12.0,1842506,14578
2020-09-22,21:01:00,,44,Japan,126387411,79140,483.0,1500,0.0,71404,374.0,6236,163,626,12.0,1850661,14643
