Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,141,Jordan,10211755,1208,,11,,1094,,103,3,118,1.0,603237,59073.0
2020-08-08 20:00:00,,2020-08-08,141,Jordan,10213414,1246,38.0,11,0.0,1178,84.0,57,3,122,1.0,640548,62716.0
2020-08-12 20:00:00,,2020-08-12,141,Jordan,10214520,1283,37.0,11,0.0,1189,11.0,83,3,126,1.0,659012,64517.0
2020-08-16 20:00:00,,2020-08-16,141,Jordan,10215627,1339,56.0,11,0.0,1229,40.0,99,3,131,1.0,686351,67186.0
2020-08-17 20:00:00,,2020-08-17,141,Jordan,10215903,1398,59.0,11,0.0,1241,12.0,146,3,137,1.0,698931,68416.0
2020-08-18 20:00:00,,2020-08-18,141,Jordan,10216180,1438,40.0,11,0.0,1243,2.0,184,3,141,1.0,705920,69098.0
2020-08-19 20:00:00,,2020-08-19,141,Jordan,10216456,1438,0.0,11,0.0,1243,0.0,184,3,141,1.0,705920,69096.0
2020-08-20 17:53:00,,2020-08-20,141,Jordan,10216733,1498,60.0,11,0.0,1261,18.0,226,3,147,1.0,720972,70568.0
2020-08-23 21:09:00,,2020-08-23,141,Jordan,10217562,1609,111.0,12,1.0,1320,59.0,277,3,157,1.0,745100,72923.0
2020-08-24 17:10:00,,2020-08-24,141,Jordan,10217839,1609,0.0,12,0.0,1320,0.0,277,3,157,1.0,745100,72921.0
2020-08-25 23:00:00,,2020-08-25,141,Jordan,10218115,1716,107.0,14,2.0,1344,24.0,358,3,168,1.0,763137,74685.0
2020-08-26 22:59:00,,2020-08-26,141,Jordan,10218392,1756,40.0,15,1.0,1355,11.0,386,3,172,1.0,777222,76061.0
2020-08-27 23:00:00,,2020-08-27,141,Jordan,10218668,1801,45.0,15,0.0,1364,9.0,422,3,176,1.0,791172,77424.0
2020-08-28 23:01:00,,2020-08-28,141,Jordan,10218945,1869,68.0,15,0.0,1367,3.0,487,3,183,1.0,800446,78330.0
2020-08-29 12:29:00,,2020-08-29,141,Jordan,10219222,1869,0.0,15,0.0,1367,0.0,487,3,183,1.0,800446,78327.0
2020-08-30 23:00:00,,2020-08-30,141,Jordan,10219498,1966,97.0,15,0.0,1468,101.0,483,3,192,1.0,819171,80158.0
2020-08-31 18:58:00,,2020-08-31,141,Jordan,10219775,2034,68.0,15,0.0,1508,40.0,511,3,199,1.0,828380,81057.0
2020-09-01 23:00:00,,2020-09-01,141,Jordan,10220051,2097,63.0,15,0.0,1564,56.0,518,3,205,1.0,839241,82117.0
2020-09-02 23:01:00,,2020-09-02,141,Jordan,10220328,2161,64.0,15,0.0,1610,46.0,536,3,211,1.0,850088,83176.0
2020-09-03 23:01:00,,2020-09-03,141,Jordan,10220604,2233,72.0,15,0.0,1648,38.0,570,3,218,1.0,861330,84274.0
2020-09-04 07:01:00,,2020-09-04,141,Jordan,10220881,2233,0.0,15,0.0,1648,0.0,570,3,218,1.0,861330,84272.0
2020-09-05 23:31:00,,2020-09-05,141,Jordan,10221157,2353,120.0,16,1.0,1700,52.0,637,3,230,2.0,882473,86338.0
2020-09-06 18:30:00,,2020-09-06,141,Jordan,10221434,2353,0.0,16,0.0,1700,0.0,637,3,230,2.0,882473,86336.0
2020-09-07 23:39:00,,2020-09-07,141,Jordan,10221710,2478,125.0,17,1.0,1817,117.0,644,3,242,2.0,903365,88377.0
2020-09-08 22:10:00,,2020-09-08,141,Jordan,10221987,2581,103.0,19,2.0,1885,68.0,677,3,252,2.0,915469,89559.0
2020-09-10 22:01:00,,2020-09-10,141,Jordan,10222540,2739,158.0,20,1.0,1981,96.0,738,3,268,2.0,941018,92053.0
