scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,29,Kazakhstan,18795599,91593,1226,793,,61839,1014.0,28961,221.0,4873.0,42.0,2079540,110640.0
2020-08-08,20:00:00,,29,Kazakhstan,18799280,97829,907,1058,,71609,929.0,25162,221.0,5204.0,56.0,2183308,116138.0
2020-08-12,20:00:00,,29,Kazakhstan,18801734,100855,691,1269,,74677,975.0,24909,221.0,5364.0,67.0,2183308,116123.0
2020-08-16,20:00:00,,29,Kazakhstan,18804188,102696,409,1269,,81558,842.0,19869,221.0,5461.0,67.0,2252153,119769.0
2020-08-17,20:00:00,,29,Kazakhstan,18804802,103033,337,1269,,82777,1219.0,18987,221.0,5479.0,67.0,2291327,121848.0
2020-08-18,20:00:00,,29,Kazakhstan,18805415,103300,267,1269,,84445,1668.0,17586,221.0,5493.0,67.0,2291327,121844.0
2020-08-19,20:00:00,,29,Kazakhstan,18806029,103571,271,1415,,86286,1841.0,15870,221.0,5507.0,75.0,2291327,121840.0
2020-08-20,17:53:00,,29,Kazakhstan,18806642,103815,244,1415,,86450,164.0,15950,221.0,5520.0,75.0,2291327,121836.0
2020-08-23,21:09:00,,29,Kazakhstan,18808483,104543,230,1415,,91089,1377.0,12039,221.0,5558.0,75.0,2291327,121824.0
2020-08-24,17:10:00,,29,Kazakhstan,18809096,104718,175,1415,,92598,1509.0,10705,221.0,5567.0,75.0,2291327,121820.0
2020-08-25,23:00:00,,29,Kazakhstan,18809710,104902,184,1523,,93405,807.0,9974,221.0,5577.0,81.0,2291327,121816.0
2020-08-26,22:59:00,,29,Kazakhstan,18810323,105075,173,1523,,93990,585.0,9562,221.0,5586.0,81.0,2291327,121812.0
2020-08-27,23:00:00,,29,Kazakhstan,18810937,105243,168,1523,,94713,723.0,9007,221.0,5595.0,81.0,2434444,129416.0
2020-08-28,23:01:00,,29,Kazakhstan,18811550,105408,165,1523,,95253,540.0,8632,221.0,5603.0,81.0,2434444,129412.0
2020-08-29,12:29:00,,29,Kazakhstan,18812164,105558,150,1523,,95888,635.0,8147,221.0,5611.0,81.0,2434444,129408.0
2020-08-30,23:00:00,,29,Kazakhstan,18812777,105684,126,1523,,96135,247.0,8026,221.0,5618.0,81.0,2434444,129404.0
2020-08-31,18:58:00,,29,Kazakhstan,18813391,105795,111,1523,,96297,162.0,7975,221.0,5623.0,81.0,2434444,129400.0
2020-09-01,23:00:00,,29,Kazakhstan,18814004,105872,77,1588,65.0,96899,602.0,7385,221.0,5627.0,84.0,2434444,129395.0
2020-09-02,23:01:00,,29,Kazakhstan,18814618,105944,72,1588,,97371,472.0,6985,221.0,5631.0,84.0,2434444,129391.0
2020-09-03,23:01:00,,29,Kazakhstan,18815231,106032,88,1588,,97967,596.0,6477,221.0,5635.0,84.0,2434444,129387.0
