scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,63,Kenya,53864942,22053,,369,,8419,,13265,44.0,409,7.0,310330,5761
2020-08-08,20:00:00,,63,Kenya,53884404,25837,3784.0,418,49.0,11899,3480.0,13520,44.0,479,8.0,349307,6483
2020-08-12,20:00:00,,63,Kenya,53897379,27425,1588.0,438,20.0,13867,1968.0,13120,44.0,509,8.0,362501,6726
2020-08-16,20:00:00,,63,Kenya,53910353,29849,2424.0,472,34.0,15970,2103.0,13407,44.0,554,9.0,387670,7191
2020-08-17,20:00:00,,63,Kenya,53913597,30365,516.0,482,10.0,17160,1190.0,12723,44.0,563,9.0,394566,7318
2020-08-18,20:00:00,,63,Kenya,53916841,30636,271.0,487,5.0,17368,208.0,12781,44.0,568,9.0,398585,7393
2020-08-19,20:00:00,,63,Kenya,53920084,30636,0.0,487,0.0,17368,0.0,12781,44.0,568,9.0,398585,7392
2020-08-20,17:53:00,,63,Kenya,53923328,31015,379.0,506,19.0,17612,244.0,12897,44.0,575,9.0,398585,7392
2020-08-23,21:09:00,,63,Kenya,53933059,32364,1349.0,548,42.0,18670,1058.0,13146,44.0,600,10.0,421983,7824
2020-08-24,17:10:00,,63,Kenya,53936302,32557,193.0,554,6.0,18895,225.0,13108,44.0,604,10.0,425364,7886
2020-08-25,23:00:00,,63,Kenya,53939546,32803,246.0,559,5.0,19055,160.0,13189,44.0,608,10.0,429513,7963
2020-08-26,22:59:00,,63,Kenya,53942790,33016,213.0,564,5.0,19296,241.0,13156,44.0,612,10.0,429513,7962
2020-08-27,23:00:00,,63,Kenya,53946033,33389,373.0,567,3.0,19368,72.0,13454,44.0,619,11.0,438193,8123
2020-08-28,23:01:00,,63,Kenya,53949277,33630,241.0,567,0.0,19434,66.0,13629,44.0,623,11.0,442713,8206
2020-08-29,12:29:00,,63,Kenya,53952521,33630,0.0,567,0.0,19434,0.0,13629,44.0,623,11.0,442713,8206
2020-08-30,23:00:00,,63,Kenya,53955764,34057,427.0,574,7.0,19688,254.0,13795,44.0,631,11.0,450146,8343
2020-08-31,18:58:00,,63,Kenya,53959008,34201,144.0,577,3.0,19893,205.0,13731,44.0,634,11.0,454406,8421
2020-09-01,23:00:00,,63,Kenya,53962251,34201,0.0,577,0.0,19893,0.0,13731,44.0,634,11.0,454406,8421
2020-09-02,23:01:00,,63,Kenya,53965495,34493,292.0,581,4.0,20211,318.0,13701,44.0,639,11.0,456088,8451
2020-09-03,23:01:00,,63,Kenya,53968739,34705,212.0,585,4.0,20644,433.0,13476,44.0,643,11.0,456088,8451
2020-09-04,07:01:00,,63,Kenya,53971982,34705,0.0,585,0.0,20644,0.0,13476,44.0,643,11.0,456088,8450
2020-09-05,23:31:00,,63,Kenya,53975226,35020,315.0,594,9.0,21158,514.0,13268,44.0,649,11.0,471384,8733
2020-09-06,18:30:00,,63,Kenya,53978470,35103,83.0,597,3.0,21230,72.0,13276,44.0,650,11.0,474477,8790
2020-09-07,23:39:00,,63,Kenya,53981713,35205,102.0,599,2.0,21310,80.0,13296,44.0,652,11.0,474477,8790
2020-09-08,22:10:00,,63,Kenya,53984957,35205,0.0,599,0.0,21310,0.0,13296,44.0,652,11.0,474477,8789
2020-09-09,22:01:00,,63,Kenya,53988201,35460,255.0,607,8.0,21557,247.0,13296,44.0,657,11.0,481982,8928
2020-09-10,22:01:00,,63,Kenya,53991444,35460,0.0,607,0.0,21557,0.0,13296,44.0,657,11.0,481982,8927
