Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,201,Laos,7284308,20,,,,19,,1,,3,,27675,3799
2020-08-08 20:00:00,,2020-08-08,201,Laos,7286039,20,0.0,,,19,0.0,1,,3,,30727,4217
2020-08-12 20:00:00,,2020-08-12,201,Laos,7287193,20,0.0,,,19,0.0,1,,3,,32114,4407
2020-08-16 20:00:00,,2020-08-16,201,Laos,7288348,22,2.0,,,19,0.0,3,,3,,33538,4602
2020-08-17 20:00:00,,2020-08-17,201,Laos,7288636,22,0.0,,,19,0.0,3,,3,,34386,4718
2020-08-18 20:00:00,,2020-08-18,201,Laos,7288925,22,0.0,,,19,0.0,3,,3,,34808,4775
2020-08-19 20:00:00,,2020-08-19,201,Laos,7289213,22,0.0,,,19,0.0,3,,3,,35022,4805
2020-08-20 17:53:00,,2020-08-20,201,Laos,7289502,22,0.0,,,19,0.0,3,,3,,35428,4860
2020-08-23 21:09:00,,2020-08-23,201,Laos,7290368,22,0.0,,,20,1.0,2,,3,,35580,4880
2020-08-24 17:10:00,,2020-08-24,201,Laos,7290656,22,0.0,,,20,0.0,2,,3,,36638,5025
2020-08-25 23:00:00,,2020-08-25,201,Laos,7290945,22,0.0,,,21,1.0,1,,3,,37151,5095
2020-08-26 22:59:00,,2020-08-26,201,Laos,7291233,22,0.0,,,21,0.0,1,,3,,37450,5136
2020-08-27 23:00:00,,2020-08-27,201,Laos,7291522,22,0.0,,,21,0.0,1,,3,,37741,5176
2020-08-28 23:01:00,,2020-08-28,201,Laos,7291811,22,0.0,,,21,0.0,1,,3,,37956,5205
2020-08-29 12:29:00,,2020-08-29,201,Laos,7292099,22,0.0,,,21,0.0,1,,3,,37956,5205
2020-08-30 23:00:00,,2020-08-30,201,Laos,7292388,22,0.0,,,21,0.0,1,,3,,37956,5205
2020-08-31 18:58:00,,2020-08-31,201,Laos,7292676,22,0.0,,,21,0.0,1,,3,,39063,5356
