scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,147,Latvia,1884219,1243,5.0,32,,1052,,159,,660.0,17.0,201310,106840.0
2020-08-08,20:00:00,,147,Latvia,1883880,1288,7.0,32,,1070,,186,,684.0,17.0,211937,112500.0
2020-08-12,20:00:00,,147,Latvia,1883653,1303,10.0,32,,1078,,193,,692.0,17.0,218756,116134.0
2020-08-16,20:00:00,,147,Latvia,1883427,1322,7.0,32,,1078,,212,,702.0,17.0,225636,119801.0
2020-08-17,20:00:00,,147,Latvia,1883370,1323,1.0,32,,1078,,213,,702.0,17.0,226524,120276.0
2020-08-18,20:00:00,,147,Latvia,1883314,1323,,33,1.0,1093,15.0,197,,702.0,18.0,228758,121466.0
2020-08-19,20:00:00,,147,Latvia,1883257,1326,3.0,33,,1093,,200,,704.0,18.0,230921,122618.0
2020-08-20,17:53:00,,147,Latvia,1883201,1327,1.0,33,,1093,,201,,705.0,18.0,232918,123682.0
2020-08-23,21:09:00,,147,Latvia,1883031,1337,4.0,33,,1093,,211,,710.0,18.0,237477,126114.0
2020-08-24,17:10:00,,147,Latvia,1882974,1337,,33,,1093,,211,,710.0,18.0,238403,126610.0
2020-08-25,23:00:00,,147,Latvia,1882918,1342,5.0,33,,1135,42.0,174,,713.0,18.0,240533,127745.0
2020-08-26,22:59:00,,147,Latvia,1882861,1360,18.0,33,,1135,,192,,722.0,18.0,242823,128965.0
2020-08-27,23:00:00,,147,Latvia,1882804,1366,6.0,34,1.0,1163,28.0,169,,726.0,18.0,244827,130033.0
2020-08-28,23:01:00,,147,Latvia,1882748,1375,9.0,34,,1163,,178,,730.0,18.0,246867,131121.0
2020-08-29,12:29:00,,147,Latvia,1882691,1381,6.0,34,,1163,,184,1.0,734.0,18.0,248932,132221.0
