scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,1969-12-31 23:59:59.999999999,83,Lebanon,6822636,4730,,61,,1761,,2908,34,693,9.0,310851,45562
2020-08-08,20:00:00,1969-12-31 23:59:59.999999999,83,Lebanon,6822137,6223,272.0,78,8.0,2043,1.0,4102,36,912,11.0,358376,52531
2020-08-12,20:00:00,1969-12-31 23:59:59.999999999,83,Lebanon,6821804,7121,,87,,2377,,4657,35,1044,13.0,377221,55296
2020-08-16,20:00:00,1969-12-31 23:59:59.999999999,83,Lebanon,6821472,8442,,97,,2650,,5695,52,1238,14.0,408909,59944
2020-08-17,20:00:00,1969-12-31 23:59:59.999999999,83,Lebanon,6821389,9337,456.0,105,2.0,2809,85.0,6423,66,1369,15.0,420919,61706
2020-08-18,20:00:00,1969-12-31 23:59:59.999999999,83,Lebanon,6821306,9758,421.0,107,2.0,2852,43.0,6799,65,1431,16.0,430162,63062
2020-08-19,20:00:00,1969-12-31 23:59:59.999999999,83,Lebanon,6821223,9758,,107,,2852,,6799,67,1431,16.0,430162,63062
2020-08-20,17:53:00,1969-12-31 23:59:59.999999999,83,Lebanon,6821140,10347,,109,,2928,,7310,68,1517,16.0,437369,64120
2020-08-23,21:09:00,1969-12-31 23:59:59.999999999,83,Lebanon,6820890,12698,507.0,123,2.0,3625,279.0,8950,75,1862,18.0,462531,67811
2020-08-24,17:10:00,1969-12-31 23:59:59.999999999,83,Lebanon,6820807,12698,,123,,3625,,8950,75,1862,18.0,462531,67812
2020-08-25,23:00:00,1969-12-31 23:59:59.999999999,83,Lebanon,6820724,13687,532.0,138,12.0,3723,19.0,9826,75,2007,20.0,476823,69908
2020-08-26,22:59:00,1969-12-31 23:59:59.999999999,83,Lebanon,6820641,14248,561.0,139,1.0,3955,232.0,10154,77,2089,20.0,484150,70983
2020-08-27,23:00:00,1969-12-31 23:59:59.999999999,83,Lebanon,6820558,14937,689.0,146,7.0,4133,178.0,10658,83,2190,21.0,493220,72314
2020-08-28,23:01:00,1969-12-31 23:59:59.999999999,83,Lebanon,6820475,15613,676.0,148,2.0,4260,127.0,11205,90,2289,22.0,502126,73620
2020-08-29,12:29:00,1969-12-31 23:59:59.999999999,83,Lebanon,6820392,15613,,148,,4260,,11205,90,2289,22.0,502126,73621
2020-08-30,23:00:00,1969-12-31 23:59:59.999999999,83,Lebanon,6820309,16870,595.0,160,5.0,4693,209.0,12017,93,2473,23.0,520110,76259
2020-08-31,18:58:00,1969-12-31 23:59:59.999999999,83,Lebanon,6820225,16870,,160,,4693,,12017,93,2474,23.0,520110,76260
2020-09-01,23:00:00,1969-12-31 23:59:59.999999999,83,Lebanon,6820142,17777,469.0,171,4.0,4988,177.0,12618,97,2607,25.0,536269,78630
2020-09-02,23:01:00,1969-12-31 23:59:59.999999999,83,Lebanon,6820059,18375,598.0,177,6.0,5195,207.0,13003,97,2694,26.0,545350,79963
2020-09-03,23:01:00,1969-12-31 23:59:59.999999999,83,Lebanon,6819976,18963,588.0,179,2.0,5338,143.0,13446,99,2781,26.0,553931,81222
2020-09-04,07:01:00,1969-12-31 23:59:59.999999999,83,Lebanon,6819893,18963,,179,,5338,,13446,99,2781,26.0,553931,81223
2020-09-05,23:31:00,1969-12-31 23:59:59.999999999,83,Lebanon,6819810,20011,521.0,187,4.0,5868,276.0,13956,105,2934,27.0,572248,83910
2020-09-06,18:30:00,1969-12-31 23:59:59.999999999,83,Lebanon,6819727,20011,,187,,5868,,13956,105,2934,27.0,572248,83911
2020-09-07,23:39:00,1969-12-31 23:59:59.999999999,83,Lebanon,6819644,20826,400.0,200,9.0,6430,291.0,14196,112,3054,29.0,588158,86245
2020-09-08,22:10:00,1969-12-31 23:59:59.999999999,83,Lebanon,6819561,21324,498.0,207,7.0,6722,292.0,14395,122,3127,30.0,599254,87873
2020-09-09,22:01:00,1969-12-31 23:59:59.999999999,83,Lebanon,6819477,21877,553.0,212,5.0,7024,302.0,14641,121,3208,31.0,610111,89466
2020-09-10,22:01:00,1969-12-31 23:59:59.999999999,83,Lebanon,6819394,22437,560.0,219,7.0,7312,288.0,14906,118,3290,32.0,619265,90809
2020-09-11,22:00:00,1969-12-31 23:59:59.999999999,83,Lebanon,6819311,22983,546.0,229,10.0,7312,,15442,113,3370,34.0,629535,92317
2020-09-12,22:22:00,1969-12-31 23:59:59.999999999,83,Lebanon,6819228,23669,686.0,239,10.0,7936,624.0,15494,112,3471,35.0,639423,93768
2020-09-13,22:01:00,1969-12-31 23:59:59.999999999,83,Lebanon,6819145,24310,641.0,241,2.0,8334,398.0,15735,113,3565,35.0,647775,94994
2020-09-14,22:04:00,1969-12-31 23:59:59.999999999,83,Lebanon,6819062,24857,547.0,246,5.0,8765,431.0,15846,109,3645,36.0,654005,95908
2020-09-15,21:00:00,1969-12-31 23:59:59.999999999,83,Lebanon,6818979,25449,592.0,252,6.0,9216,451.0,15981,115,3732,37.0,665018,97525
2020-09-16,21:01:00,1969-12-31 23:59:59.999999999,83,Lebanon,6818896,26083,634.0,259,7.0,9634,418.0,16190,120,3825,38.0,677419,99344
2020-09-18,20:01:00,1969-12-31 23:59:59.999999999,83,Lebanon,6818729,26768,,263,,10217,,16288,128,3926,39.0,689210,101076
2020-09-19,21:00:00,1969-12-31 23:59:59.999999999,83,Lebanon,6818646,28297,779.0,286,5.0,11440,701.0,16571,124,4150,42.0,713366,104620
2020-09-20,22:31:00,1969-12-31 23:59:59.999999999,83,Lebanon,6818563,29303,1006.0,297,11.0,12047,607.0,16959,123,4298,44.0,713366,104621
2020-09-21,21:01:00,1969-12-31 23:59:59.999999999,83,Lebanon,6818480,29987,684.0,307,10.0,12507,460.0,17173,123,4398,45.0,731104,107224
2020-09-22,21:01:00,1969-12-31 23:59:59.999999999,83,Lebanon,6818397,30852,865.0,315,8.0,12878,371.0,17659,125,4525,46.0,743088,108983
2020-09-23,19:58:00,1969-12-31 23:59:59.999999999,83,Lebanon,6818314,31792,940.0,328,13.0,13527,649.0,17937,126,4663,48.0,756198,110907
2020-09-24,21:00:00,1969-12-31 23:59:59.999999999,83,Lebanon,6818231,31792,,328,,13527,,17937,126,4663,48.0,756198,110908
2020-09-25,21:00:00,1969-12-31 23:59:59.999999999,83,Lebanon,6818148,33962,1143.0,333,4.0,14778,666.0,18851,151,4981,49.0,781974,114690
2020-09-26,21:00:00,1969-12-31 23:59:59.999999999,83,Lebanon,6818065,35242,1280.0,340,7.0,15434,656.0,19468,152,5169,50.0,793149,116331
2020-09-27,22:45:00,1969-12-31 23:59:59.999999999,83,Lebanon,6817981,36254,1012.0,347,7.0,16089,655.0,19818,173,5317,51.0,806085,118229
2020-09-28,22:00:00,1969-12-31 23:59:59.999999999,83,Lebanon,6817898,36254,,347,,16089,,19818,173,5317,51.0,806085,118231
2020-09-29,21:35:00,1969-12-31 23:59:59.999999999,83,Lebanon,6817815,38377,1105.0,361,10.0,17110,434.0,20906,170,5629,53.0,824799,120977
2020-09-30,22:00:00,1969-12-31 23:59:59.999999999,83,Lebanon,6817732,39634,1257.0,367,6.0,17565,455.0,21702,167,5813,54.0,837596,122856
2020-10-01,21:31:00,1969-12-31 23:59:59.999999999,83,Lebanon,6817649,40882,1248.0,374,7.0,17565,,22943,167,5996,55.0,850720,124782
2020-10-02,22:36:00,1969-12-31 23:59:59.999999999,83,Lebanon,6817566,42173,1291.0,386,12.0,18739,636.0,23048,160,6186,57.0,866663,127122
2020-10-03,22:24:00,1969-12-31 23:59:59.999999999,83,Lebanon,6817483,43494,1321.0,398,12.0,19259,520.0,23837,161,6380,58.0,880108,129096
2020-10-04,21:01:00,1969-12-31 23:59:59.999999999,83,Lebanon,6817400,44482,988.0,406,8.0,19782,523.0,24294,161,6525,60.0,889920,130537
