Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,150,Liberia,5066990,1189,,75,,673,,441,,235,15.0,,
2020-08-08 20:00:00,,2020-08-08,150,Liberia,5068944,1230,41.0,78,3.0,705,32.0,447,,243,15.0,,
2020-08-12 20:00:00,,2020-08-12,150,Liberia,5070246,1250,20.0,81,3.0,736,31.0,433,,247,16.0,,
2020-08-16 20:00:00,,2020-08-16,150,Liberia,5071549,1257,7.0,82,1.0,788,52.0,387,,248,16.0,,
2020-08-17 20:00:00,,2020-08-17,150,Liberia,5071875,1257,0.0,82,0.0,788,0.0,387,,248,16.0,,
2020-08-18 20:00:00,,2020-08-18,150,Liberia,5072200,1277,20.0,82,0.0,803,15.0,392,,252,16.0,,
2020-08-19 20:00:00,,2020-08-19,150,Liberia,5072526,1282,5.0,82,0.0,803,0.0,397,,253,16.0,,
2020-08-20 17:53:00,,2020-08-20,150,Liberia,5072852,1282,0.0,82,0.0,803,0.0,397,,253,16.0,,
2020-08-23 21:09:00,,2020-08-23,150,Liberia,5073829,1286,4.0,82,0.0,816,13.0,388,,253,16.0,,
2020-08-24 17:10:00,,2020-08-24,150,Liberia,5074154,1286,0.0,82,0.0,816,0.0,388,,253,16.0,,
2020-08-25 23:00:00,,2020-08-25,150,Liberia,5074480,1295,9.0,82,0.0,821,5.0,392,,255,16.0,,
2020-08-26 22:59:00,,2020-08-26,150,Liberia,5074806,1298,3.0,82,0.0,832,11.0,384,,256,16.0,,
2020-08-27 23:00:00,,2020-08-27,150,Liberia,5075131,1298,0.0,82,0.0,832,0.0,384,,256,16.0,,
2020-08-28 23:01:00,,2020-08-28,150,Liberia,5075457,1298,0.0,82,0.0,832,0.0,384,,256,16.0,,
2020-08-29 12:29:00,,2020-08-29,150,Liberia,5075783,1298,0.0,82,0.0,832,0.0,384,,256,16.0,,
2020-08-30 23:00:00,,2020-08-30,150,Liberia,5076108,1304,6.0,82,0.0,872,40.0,350,,257,16.0,,
2020-08-31 18:58:00,,2020-08-31,150,Liberia,5076434,1304,0.0,82,0.0,872,0.0,350,,257,16.0,,
2020-09-01 23:00:00,,2020-09-01,150,Liberia,5076760,1304,0.0,82,0.0,872,0.0,350,,257,16.0,,
2020-09-02 23:01:00,,2020-09-02,150,Liberia,5077085,1305,1.0,82,0.0,1162,290.0,61,,257,16.0,,
2020-09-03 23:01:00,,2020-09-03,150,Liberia,5077411,1306,1.0,82,0.0,1163,1.0,61,,257,16.0,,
2020-09-04 07:01:00,,2020-09-04,150,Liberia,5077737,1306,0.0,82,0.0,1163,0.0,61,,257,16.0,,
2020-09-05 23:31:00,,2020-09-05,150,Liberia,5078062,1306,0.0,82,0.0,1163,0.0,61,,257,16.0,,
2020-09-06 18:30:00,,2020-09-06,150,Liberia,5078388,1306,0.0,82,0.0,1163,0.0,61,,257,16.0,,
2020-09-07 23:39:00,,2020-09-07,150,Liberia,5078714,1307,1.0,82,0.0,1182,19.0,43,,257,16.0,,
2020-09-08 22:10:00,,2020-09-08,150,Liberia,5079039,1311,4.0,82,0.0,1190,8.0,39,,258,16.0,,
2020-09-10 22:01:00,,2020-09-10,150,Liberia,5079691,1315,4.0,82,0.0,1194,4.0,39,,259,16.0,,
2020-09-11 22:00:00,,2020-09-11,150,Liberia,5080016,1315,0.0,82,0.0,1199,5.0,34,,259,16.0,,
2020-09-12 22:22:00,,2020-09-12,150,Liberia,5080342,1316,1.0,82,0.0,1210,11.0,24,,259,16.0,,
