scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,85,Libya,6879076,3691,,80,,619,,2992,,537.0,12.0,52711,7663.0
2020-08-08,20:00:00,,85,Libya,6880608,5079,,108,,660,,4311,,738.0,16.0,61077,8877.0
2020-08-12,20:00:00,,85,Libya,6881630,6302,,132,,740,,5430,,916.0,19.0,68201,9911.0
2020-08-16,20:00:00,,85,Libya,6882651,7738,,145,,894,,6699,,1124.0,21.0,75827,11017.0
2020-08-17,20:00:00,,85,Libya,6882906,8172,,153,,933,,7086,,1187.0,22.0,79057,11486.0
2020-08-18,20:00:00,,85,Libya,6883162,8579,,157,,969,,7453,,1246.0,23.0,82057,11921.0
2020-08-19,20:00:00,,85,Libya,6883417,9068,,164,,1003,,7901,,1317.0,24.0,85500,12421.0
2020-08-20,17:53:00,,85,Libya,6883672,9463,,169,,1018,,8276,,1375.0,25.0,88492,12855.0
2020-08-23,21:09:00,,85,Libya,6884438,10437,,188,,1085,,9164,,1516.0,27.0,93851,13632.0
2020-08-24,17:10:00,,85,Libya,6884694,11009,572.0,199,11.0,1096,11.0,9714,,1599.0,29.0,96524,14020.0
2020-08-25,23:00:00,,85,Libya,6884949,11281,272.0,203,4.0,1112,16.0,9966,,1639.0,29.0,96524,14020.0
2020-08-26,22:59:00,,85,Libya,6885204,11834,553.0,210,7.0,1152,40.0,10472,,1719.0,31.0,101310,14714.0
2020-08-27,23:00:00,,85,Libya,6885460,12274,440.0,219,9.0,1209,57.0,10846,,1783.0,32.0,101310,14714.0
2020-08-28,23:01:00,,85,Libya,6885715,12629,355.0,226,7.0,1310,101.0,11093,,1834.0,33.0,101310,14713.0
2020-08-29,12:29:00,,85,Libya,6885970,12629,,226,,1310,,11093,,1834.0,33.0,101310,14713.0
2020-08-30,23:00:00,,85,Libya,6886226,13423,465.0,232,1.0,1410,77.0,11781,,1949.0,34.0,103850,15081.0
2020-08-31,18:58:00,,85,Libya,6886481,13966,543.0,237,5.0,1459,49.0,12270,,2028.0,34.0,111448,16184.0
2020-09-01,23:00:00,,85,Libya,6886736,14624,658.0,242,5.0,1676,217.0,12706,,2124.0,35.0,114145,16575.0
