scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-02,20:00:00,2020-08-02,,191,Liechtenstein,38138,88,,1,,85,,2,,2307,26.0,900,23599,4
2020-08-08,20:00:00,2020-08-08,,191,Liechtenstein,38139,89,,1,,85,,3,,2334,26.0,900,23598,4
2020-08-12,20:00:00,2020-08-12,,191,Liechtenstein,38141,89,,1,,87,,1,,2333,26.0,900,23597,4
2020-08-16,20:00:00,2020-08-16,,191,Liechtenstein,38142,91,,1,,87,,3,,2386,26.0,900,23596,4
2020-08-17,20:00:00,2020-08-17,,191,Liechtenstein,38142,94,3.0,1,,87,,6,,2464,26.0,900,23596,4
2020-08-18,20:00:00,2020-08-18,,191,Liechtenstein,38142,97,3.0,1,,88,1.0,8,,2543,26.0,900,23596,4
2020-08-19,20:00:00,2020-08-19,,191,Liechtenstein,38143,98,1.0,1,,88,,9,,2569,26.0,900,23595,4
2020-08-20,17:53:00,2020-08-20,,191,Liechtenstein,38143,99,1.0,1,,88,,10,,2595,26.0,900,23595,4
2020-08-23,21:09:00,2020-08-23,,191,Liechtenstein,38144,99,,1,,88,,10,,2595,26.0,900,23595,4
2020-08-24,17:10:00,2020-08-24,,191,Liechtenstein,38144,100,1.0,1,,90,2.0,9,,2622,26.0,900,23595,4
2020-08-25,23:00:00,2020-08-25,,191,Liechtenstein,38145,102,2.0,1,,94,4.0,7,,2674,26.0,900,23594,4
2020-08-26,22:59:00,2020-08-26,,191,Liechtenstein,38145,102,,1,,94,,7,,2674,26.0,900,23594,4
2020-08-27,23:00:00,2020-08-27,,191,Liechtenstein,38145,105,3.0,1,,96,2.0,8,,2753,26.0,900,23594,4
2020-08-28,23:01:00,2020-08-28,,191,Liechtenstein,38145,106,1.0,1,,96,,9,,2779,26.0,900,23594,4
