scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,191,Liechtenstein,38138,88,,1,,85,,2,,2307,26.0,900,23599
2020-08-08,20:00:00,,191,Liechtenstein,38139,89,1.0,1,0.0,85,0.0,3,,2334,26.0,900,23598
2020-08-12,20:00:00,,191,Liechtenstein,38141,89,0.0,1,0.0,87,2.0,1,,2333,26.0,900,23597
2020-08-16,20:00:00,,191,Liechtenstein,38142,91,2.0,1,0.0,87,0.0,3,,2386,26.0,900,23596
2020-08-17,20:00:00,,191,Liechtenstein,38142,94,3.0,1,0.0,87,0.0,6,,2464,26.0,900,23596
2020-08-18,20:00:00,,191,Liechtenstein,38142,97,3.0,1,0.0,88,1.0,8,,2543,26.0,900,23596
2020-08-19,20:00:00,,191,Liechtenstein,38143,98,1.0,1,0.0,88,0.0,9,,2569,26.0,900,23595
2020-08-20,17:53:00,,191,Liechtenstein,38143,99,1.0,1,0.0,88,0.0,10,,2595,26.0,900,23595
2020-08-23,21:09:00,,191,Liechtenstein,38144,99,0.0,1,0.0,88,0.0,10,,2595,26.0,900,23595
2020-08-24,17:10:00,,191,Liechtenstein,38144,100,1.0,1,0.0,90,2.0,9,,2622,26.0,900,23595
2020-08-25,23:00:00,,191,Liechtenstein,38145,102,2.0,1,0.0,94,4.0,7,,2674,26.0,900,23594
2020-08-26,22:59:00,,191,Liechtenstein,38145,102,0.0,1,0.0,94,0.0,7,,2674,26.0,900,23594
2020-08-27,23:00:00,,191,Liechtenstein,38145,105,3.0,1,0.0,96,2.0,8,,2753,26.0,900,23594
2020-08-28,23:01:00,,191,Liechtenstein,38145,106,1.0,1,0.0,96,0.0,9,,2779,26.0,900,23594
2020-08-29,12:29:00,,191,Liechtenstein,38146,106,0.0,1,0.0,96,0.0,9,,2779,26.0,900,23594
2020-08-30,23:00:00,,191,Liechtenstein,38146,107,1.0,1,0.0,97,1.0,9,,2805,26.0,900,23594
2020-08-31,18:58:00,,191,Liechtenstein,38146,107,0.0,1,0.0,97,0.0,9,,2805,26.0,900,23594
2020-09-01,23:00:00,,191,Liechtenstein,38147,107,0.0,1,0.0,97,0.0,9,,2805,26.0,900,23593
2020-09-02,23:01:00,,191,Liechtenstein,38147,107,0.0,1,0.0,97,0.0,9,,2805,26.0,900,23593
2020-09-03,23:01:00,,191,Liechtenstein,38147,107,0.0,1,0.0,97,0.0,9,,2805,26.0,900,23593
2020-09-04,07:01:00,,191,Liechtenstein,38148,107,0.0,1,0.0,97,0.0,9,,2805,26.0,900,23592
