scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,125,Lithuania,2718636,2110,17.0,80,,1644,,386,6.0,776.0,29.0,526339,193604.0
2020-08-08,20:00:00,,125,Lithuania,2718018,2231,37.0,81,,1668,10.0,482,6.0,821.0,30.0,550176,202418.0
2020-08-12,20:00:00,,125,Lithuania,2717606,2309,26.0,81,,1683,4.0,545,6.0,850.0,30.0,561555,206636.0
2020-08-16,20:00:00,,125,Lithuania,2717194,2416,30.0,81,,1704,,631,6.0,889.0,30.0,578700,212977.0
2020-08-17,20:00:00,,125,Lithuania,2717091,2436,20.0,81,,1705,1.0,650,6.0,897.0,30.0,580453,213630.0
2020-08-18,20:00:00,,125,Lithuania,2716988,2474,38.0,81,,1733,28.0,660,6.0,911.0,30.0,584641,215180.0
2020-08-19,20:00:00,,125,Lithuania,2716885,2496,22.0,81,,1739,6.0,676,6.0,919.0,30.0,589505,216978.0
2020-08-20,17:53:00,,125,Lithuania,2716782,2528,32.0,82,1.0,1747,8.0,699,6.0,931.0,30.0,594478,218817.0
2020-08-23,21:09:00,,125,Lithuania,2716473,2635,41.0,84,,1766,,785,6.0,970.0,31.0,607132,223500.0
2020-08-24,17:10:00,,125,Lithuania,2716370,2673,38.0,85,1.0,1766,,822,6.0,984.0,31.0,608767,224110.0
2020-08-25,23:00:00,,125,Lithuania,2716267,2694,21.0,85,,1785,19.0,824,5.0,992.0,31.0,613324,225797.0
2020-08-26,22:59:00,,125,Lithuania,2716164,2726,32.0,85,,1794,9.0,847,5.0,1004.0,31.0,618405,227676.0
2020-08-27,23:00:00,,125,Lithuania,2716061,2762,36.0,85,,1802,8.0,875,5.0,1017.0,31.0,623841,229686.0
2020-08-28,23:01:00,,125,Lithuania,2715958,2810,48.0,86,1.0,1816,14.0,908,5.0,1035.0,32.0,629443,231757.0
2020-08-29,12:29:00,,125,Lithuania,2715855,2839,29.0,86,,1833,17.0,920,5.0,1045.0,32.0,634751,233721.0
2020-08-30,23:00:00,,125,Lithuania,2715752,2874,35.0,86,,1837,4.0,951,5.0,1058.0,32.0,637509,234745.0
2020-08-31,18:58:00,,125,Lithuania,2715649,2906,32.0,86,,1840,3.0,980,5.0,1070.0,32.0,639044,235319.0
2020-09-01,23:00:00,,125,Lithuania,2715546,2929,23.0,86,,1857,17.0,986,5.0,1079.0,32.0,643704,237044.0
2020-09-02,23:01:00,,125,Lithuania,2715443,2958,29.0,86,,1874,17.0,998,5.0,1089.0,32.0,648863,238953.0
2020-09-03,23:01:00,,125,Lithuania,2715340,2978,20.0,86,,1901,27.0,991,,1097.0,32.0,653744,240760.0
2020-09-04,07:01:00,,125,Lithuania,2715237,2978,,86,,1901,,991,,1097.0,32.0,653744,240769.0
2020-09-05,23:31:00,,125,Lithuania,2715134,3040,36.0,86,,1952,32.0,1002,,1120.0,32.0,663899,244518.0
2020-09-06,18:30:00,,125,Lithuania,2715031,3083,43.0,86,,1954,2.0,1043,,1136.0,32.0,663899,244527.0
2020-09-07,23:39:00,,125,Lithuania,2714928,3100,17.0,86,,1955,1.0,1059,,1142.0,32.0,666930,245653.0
2020-09-08,22:10:00,,125,Lithuania,2714825,3131,31.0,86,,1994,39.0,1051,,1153.0,32.0,666930,245662.0
2020-09-10,22:01:00,,125,Lithuania,2714619,3199,36.0,86,,2030,22.0,1083,,1178.0,32.0,682097,251268.0
2020-09-11,22:00:00,,125,Lithuania,2714516,3243,44.0,86,,2049,19.0,1108,,1195.0,32.0,687118,253127.0
2020-09-12,22:22:00,,125,Lithuania,2714413,3296,53.0,86,,2070,21.0,1140,,1214.0,32.0,692223,255018.0
