scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,78,Madagascar,27745951,11528,255.0,114,7.0,8444,335.0,2970,90.0,415.0,4.0,40769,1469.0
2020-08-08,20:00:00,,78,Madagascar,27757659,12922,214.0,141,6.0,10604,192.0,2177,95.0,466.0,5.0,47759,1721.0
2020-08-12,20:00:00,,78,Madagascar,27765465,13317,,152,,11276,,1889,98.0,480.0,5.0,49742,1792.0
2020-08-16,20:00:00,,78,Madagascar,27773270,13827,103.0,170,4.0,12424,192.0,1233,93.0,498.0,6.0,52321,1884.0
2020-08-17,20:00:00,,78,Madagascar,27775222,13886,59.0,171,1.0,12603,179.0,1112,90.0,500.0,6.0,52657,1896.0
2020-08-18,20:00:00,,78,Madagascar,27777173,14009,123.0,173,2.0,12767,164.0,1069,89.0,504.0,6.0,53278,1918.0
2020-08-19,20:00:00,,78,Madagascar,27779124,14074,65.0,173,,12921,154.0,980,89.0,507.0,6.0,53542,1927.0
2020-08-20,17:53:00,,78,Madagascar,27781076,14154,80.0,177,4.0,13038,117.0,939,83.0,509.0,6.0,53954,1942.0
2020-08-23,21:09:00,,78,Madagascar,27786930,14327,50.0,178,,13355,23.0,794,87.0,516.0,6.0,54691,1968.0
2020-08-24,17:10:00,,78,Madagascar,27788881,14402,75.0,178,,13436,81.0,788,74.0,518.0,6.0,55375,1993.0
2020-08-25,23:00:00,,78,Madagascar,27790833,14475,73.0,178,,13492,56.0,805,75.0,521.0,6.0,55726,2005.0
2020-08-26,22:59:00,,78,Madagascar,27792784,14554,79.0,181,3.0,13582,90.0,791,68.0,524.0,7.0,56065,2017.0
2020-08-27,23:00:00,,78,Madagascar,27794735,14592,38.0,184,3.0,13686,104.0,722,68.0,525.0,7.0,56203,2022.0
2020-08-28,23:01:00,,78,Madagascar,27796687,14696,104.0,187,3.0,13709,23.0,800,48.0,529.0,7.0,56617,2037.0
