scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,100,Maldives,541318,3949,,17,,2613,,1319,12.0,7295.0,31.0,79817,147449.0
2020-08-08,20:00:00,,100,Maldives,541474,4769,,19,,2754,,1996,12.0,8807.0,35.0,85587,158063.0
2020-08-12,20:00:00,,100,Maldives,541578,5223,,20,,2849,,2354,12.0,9644.0,37.0,90704,167481.0
2020-08-16,20:00:00,,100,Maldives,541683,5679,,22,,3208,,2449,12.0,10484.0,41.0,94865,175130.0
2020-08-17,20:00:00,,100,Maldives,541709,5785,,22,,3349,,2414,12.0,10679.0,41.0,96175,177540.0
2020-08-18,20:00:00,,100,Maldives,541735,5909,,23,,3488,,2398,12.0,10908.0,42.0,97211,179444.0
2020-08-19,20:00:00,,100,Maldives,541761,6079,,24,,3648,,2407,12.0,11221.0,44.0,98175,181215.0
2020-08-20,17:53:00,,100,Maldives,541787,6225,,24,,3788,,2413,12.0,11490.0,44.0,99300,183282.0
2020-08-23,21:09:00,,100,Maldives,541865,6660,,26,,4113,,2521,12.0,12291.0,48.0,102682,189497.0
2020-08-24,17:10:00,,100,Maldives,541891,6779,,26,,4222,,2531,12.0,12510.0,48.0,103654,191282.0
2020-08-25,23:00:00,,100,Maldives,541917,7047,135.0,28,1.0,4439,142.0,2580,12.0,13004.0,52.0,105855,195334.0
2020-08-26,22:59:00,,100,Maldives,541943,7225,178.0,28,,4561,122.0,2636,12.0,13332.0,52.0,106909,197270.0
2020-08-27,23:00:00,,100,Maldives,541969,7329,104.0,28,,4691,130.0,2610,12.0,13523.0,52.0,108099,199456.0
2020-08-28,23:01:00,,100,Maldives,541995,7469,140.0,28,,4873,182.0,2568,12.0,13781.0,52.0,109120,201330.0
2020-08-29,12:29:00,,100,Maldives,542021,7469,,28,,4873,,2568,12.0,13780.0,52.0,109120,201321.0
2020-08-30,23:00:00,,100,Maldives,542047,7667,89.0,28,,5036,111.0,2603,12.0,14145.0,52.0,111738,206141.0
2020-08-31,18:58:00,,100,Maldives,542073,7667,,28,,5036,,2603,12.0,14144.0,52.0,111738,206131.0
2020-09-01,23:00:00,,100,Maldives,542099,8003,199.0,29,1.0,5265,110.0,2709,12.0,14763.0,53.0,113885,210082.0
2020-09-02,23:01:00,,100,Maldives,542125,8140,137.0,29,,5338,73.0,2773,12.0,15015.0,53.0,115727,213469.0
2020-09-03,23:01:00,,100,Maldives,542151,8281,141.0,29,,5483,145.0,2769,12.0,15274.0,53.0,115727,213459.0
2020-09-04,07:01:00,,100,Maldives,542177,8281,,29,,5483,,2769,12.0,15274.0,53.0,115727,213449.0
2020-09-05,23:31:00,,100,Maldives,542204,8486,125.0,29,,5822,180.0,2635,12.0,15651.0,53.0,119460,220323.0
2020-09-06,18:30:00,,100,Maldives,542230,8486,,29,,5822,,2635,12.0,15650.0,53.0,119460,220312.0
2020-09-07,23:39:00,,100,Maldives,542256,8667,83.0,29,,6052,116.0,2586,12.0,15983.0,53.0,122148,225259.0
2020-09-08,22:10:00,,100,Maldives,542282,8741,74.0,29,,6157,105.0,2555,12.0,16119.0,53.0,123472,227690.0
2020-09-09,22:01:00,,100,Maldives,542308,8834,93.0,31,2.0,6288,131.0,2515,12.0,16290.0,57.0,124966,230434.0
2020-09-10,22:01:00,,100,Maldives,542334,8900,66.0,31,,6559,271.0,2310,12.0,16411.0,57.0,126675,233574.0
2020-09-11,22:00:00,,100,Maldives,542360,8990,90.0,31,,6846,287.0,2113,12.0,16576.0,57.0,127961,235934.0
2020-09-12,22:22:00,,100,Maldives,542386,9052,62.0,31,,7055,209.0,1966,12.0,16689.0,57.0,129055,237939.0
2020-09-13,22:01:00,,100,Maldives,542412,9052,,32,1.0,7055,,1965,12.0,16688.0,59.0,129055,237928.0
2020-09-14,22:04:00,,100,Maldives,542438,9173,,32,,7326,,1815,12.0,16911.0,59.0,130356,240315.0
2020-09-15,21:00:00,,100,Maldives,542464,9328,85.0,33,,7729,193.0,1566,12.0,17196.0,61.0,132880,244956.0
2020-09-16,21:01:00,,100,Maldives,542490,9427,99.0,33,,7903,174.0,1491,12.0,17377.0,61.0,134520,247968.0
2020-09-18,20:01:00,,100,Maldives,542542,9494,,33,,8033,,1428,12.0,17499.0,61.0,135958,250594.0
2020-09-19,21:00:00,,100,Maldives,542568,9649,81.0,33,,8188,111.0,1428,12.0,17784.0,61.0,138608,255467.0
2020-09-20,22:31:00,,100,Maldives,542594,9724,75.0,33,,8261,73.0,1430,12.0,17921.0,61.0,139812,257673.0
2020-09-21,21:01:00,,100,Maldives,542620,9770,46.0,34,1.0,8390,129.0,1346,12.0,18005.0,63.0,141184,260189.0
2020-09-22,21:01:00,,100,Maldives,542646,9770,,34,,8390,,1346,12.0,18004.0,63.0,141184,260177.0
2020-09-23,19:58:00,,100,Maldives,542672,9818,,34,,8438,,1346,12.0,18092.0,63.0,142374,262357.0
2020-09-24,21:00:00,,100,Maldives,542698,9885,,34,,8530,,1321,12.0,18215.0,63.0,142374,262345.0
2020-09-25,21:00:00,,100,Maldives,542724,9939,,34,,8597,,1308,12.0,18313.0,63.0,144928,267038.0
2020-09-26,21:00:00,,100,Maldives,542750,10014,,34,,8673,,1307,12.0,18450.0,63.0,146417,269769.0
2020-09-27,22:45:00,,100,Maldives,542776,10098,53.0,34,,8847,93.0,1217,12.0,18604.0,63.0,149135,274763.0
2020-09-28,22:00:00,,100,Maldives,542802,10157,59.0,34,,8950,103.0,1173,12.0,18712.0,63.0,149135,274750.0
2020-09-29,21:35:00,,100,Maldives,542829,10194,37.0,34,,9037,87.0,1123,12.0,18779.0,63.0,149135,274737.0
2020-09-30,22:00:00,,100,Maldives,542855,10291,97.0,34,,9108,71.0,1149,12.0,18957.0,63.0,149135,274723.0
2020-10-01,21:31:00,,100,Maldives,542881,10291,,34,,9108,,1149,12.0,18956.0,63.0,149135,274710.0
2020-10-02,22:36:00,,100,Maldives,542907,10354,,34,,9187,,1133,12.0,19071.0,63.0,149135,274697.0
2020-10-03,22:24:00,,100,Maldives,542933,10465,67.0,34,,9310,97.0,1121,12.0,19275.0,63.0,149135,274684.0
2020-10-04,21:01:00,,100,Maldives,542959,10530,65.0,34,,9364,54.0,1132,12.0,19394.0,63.0,149135,274671.0
2020-10-05,22:13:00,,100,Maldives,542985,10530,,34,,9364,,1132,12.0,19393.0,63.0,149135,274658.0
2020-10-06,23:01:00,,100,Maldives,543011,10621,54.0,34,,9466,39.0,1121,12.0,19559.0,63.0,150743,277606.0
2020-10-07,23:01:00,,100,Maldives,543037,10621,,34,,9466,,1121,12.0,19559.0,63.0,150743,277593.0
2020-10-08,23:59:00,,100,Maldives,543063,10742,86.0,34,,9589,42.0,1119,12.0,19780.0,63.0,150743,277579.0
2020-10-09,23:00:00,,100,Maldives,543089,10808,66.0,34,,9654,65.0,1120,12.0,19901.0,63.0,150743,277566.0
2020-10-10,23:00:00,,100,Maldives,543115,10808,,34,,9654,,1120,12.0,19900.0,63.0,150743,277553.0
2020-10-12,23:10:00,,100,Maldives,543167,10894,,35,,9742,,1117,12.0,20056.0,64.0,150743,277526.0
2020-10-13,23:01:00,,100,Maldives,543193,10993,50.0,35,,9833,50.0,1125,12.0,20238.0,64.0,150743,277513.0
2020-10-14,23:01:00,,100,Maldives,543219,11062,69.0,35,,9880,47.0,1147,12.0,20364.0,64.0,150743,277499.0
2020-10-15,14:09:00,11:06,100,Maldives,543245,11062,,35,,9880,,1147,12.0,20363.0,64.0,150743,277486.0
2020-10-16,22:08:00,19:06,100,Maldives,543271,11154,41.0,35,,9995,64.0,1124,12.0,20531.0,64.0,150743,277473.0
2020-10-17,23:01:00,19:58,100,Maldives,543297,11178,24.0,36,1.0,10097,102.0,1045,12.0,20574.0,66.0,150743,277460.0
2020-10-18,22:05:00,19:03,100,Maldives,543323,11210,32.0,37,1.0,10164,67.0,1009,12.0,20632.0,68.0,150743,277446.0
