Date,Scrap_time,Update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,140,Malta,441647,860,,9,,666,,185,,1947,20.0,130165,294726
2020-08-08,20:00:00,,140,Malta,441666,1035,175.0,9,0.0,675,9.0,351,,2343,20.0,138430,313427
2020-08-12,20:00:00,,140,Malta,441679,1141,106.0,9,0.0,692,17.0,440,,2583,20.0,145267,328897
2020-08-16,20:00:00,,140,Malta,441692,1348,207.0,9,0.0,782,90.0,557,3.0,3052,20.0,154522,349841
2020-08-17,20:00:00,,140,Malta,441695,1375,27.0,9,0.0,759,-23.0,607,3.0,3113,20.0,158933,359825
2020-08-18,20:00:00,,140,Malta,441698,1423,48.0,9,0.0,766,7.0,648,,3222,20.0,161057,364631
2020-08-19,20:00:00,,140,Malta,441702,1470,47.0,9,0.0,784,18.0,677,,3328,20.0,163318,369747
2020-08-20,17:53:00,,140,Malta,441705,1510,40.0,9,0.0,802,18.0,699,,3419,20.0,166348,376604
2020-08-23,21:09:00,,140,Malta,441714,1612,102.0,10,1.0,934,132.0,668,,3649,23.0,173276,392281
2020-08-24,17:10:00,,140,Malta,441718,1667,55.0,10,0.0,977,43.0,680,,3774,23.0,175470,397244
2020-08-25,23:00:00,,140,Malta,441721,1705,38.0,10,0.0,1029,52.0,666,,3860,23.0,177518,401878
2020-08-26,22:59:00,,140,Malta,441724,1751,46.0,10,0.0,1077,48.0,664,,3964,23.0,179703,406822
2020-08-27,23:00:00,,140,Malta,441727,1788,37.0,10,0.0,1121,44.0,657,,4048,23.0,182245,412574
2020-08-28,23:01:00,,140,Malta,441730,1820,32.0,10,0.0,1186,65.0,624,,4120,23.0,184354,417345
2020-08-29,12:29:00,,140,Malta,441734,1820,0.0,10,0.0,1186,0.0,624,3.0,4120,23.0,184354,417342
2020-08-30,23:00:00,,140,Malta,441737,1862,42.0,12,2.0,1313,127.0,537,,4215,27.0,188553,426844
2020-08-31,18:58:00,,140,Malta,441740,1883,21.0,12,0.0,1400,87.0,471,,4263,27.0,190593,431460
2020-09-01,23:00:00,,140,Malta,441743,1909,26.0,12,0.0,1453,53.0,444,,4322,27.0,192509,435794
2020-09-02,23:01:00,,140,Malta,441747,1931,22.0,13,1.0,1490,37.0,428,,4371,29.0,194576,440469
2020-09-03,23:01:00,,140,Malta,441750,1965,34.0,13,0.0,1528,38.0,424,,4448,29.0,197014,445985
2020-09-04,07:01:00,,140,Malta,441753,1965,0.0,13,0.0,1528,0.0,424,,4448,29.0,197014,445982
2020-09-05,23:31:00,,140,Malta,441756,2014,49.0,14,1.0,1601,73.0,399,2.0,4559,32.0,200586,454065
2020-09-06,18:30:00,,140,Malta,441759,2039,25.0,14,0.0,1627,26.0,398,2.0,4616,32.0,202137,457573
2020-09-07,23:39:00,,140,Malta,441763,2076,37.0,14,0.0,1690,63.0,372,2.0,4699,32.0,203777,461281
2020-09-08,22:10:00,,140,Malta,441766,2099,23.0,14,0.0,1729,39.0,356,2.0,4751,32.0,205141,464366
