scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-02,20:00:00,2020-08-02,,99,Mauritania,4659052,6319,,157,,5043,,1119,3,1356,34.0,57253,12289,5
2020-08-08,20:00:00,2020-08-08,,99,Mauritania,4661063,6498,,157,,5443,,898,3,1394,34.0,57387,12312,5
2020-08-12,20:00:00,2020-08-12,,99,Mauritania,4662403,6598,,157,,5704,,737,3,1415,34.0,57604,12355,5
2020-08-16,20:00:00,2020-08-16,,99,Mauritania,4663743,6693,,157,,5928,,608,3,1435,34.0,58147,12468,5
2020-08-17,20:00:00,2020-08-17,,99,Mauritania,4664078,6701,,157,,5985,,559,3,1437,34.0,58147,12467,5
2020-08-18,20:00:00,2020-08-18,,99,Mauritania,4664413,6762,,157,,6018,,587,3,1450,34.0,58147,12466,5
2020-08-19,20:00:00,2020-08-19,,99,Mauritania,4664749,6789,,157,,6051,,581,3,1455,34.0,68872,14764,5
2020-08-20,17:53:00,2020-08-20,,99,Mauritania,4665084,6829,,158,,6094,,577,3,1464,34.0,68872,14763,5
2020-08-23,21:09:00,2020-08-23,,99,Mauritania,4666089,6894,,158,,6203,,533,3,1477,34.0,68872,14760,5
2020-08-24,17:10:00,2020-08-24,,99,Mauritania,4666424,6905,,158,,6232,,515,3,1480,34.0,68872,14759,5
2020-08-25,23:00:00,2020-08-25,,99,Mauritania,4666759,6928,,158,,6282,,488,3,1485,34.0,69161,14820,5
2020-08-26,22:59:00,2020-08-26,,99,Mauritania,4667094,6960,,158,,6321,,481,3,1491,34.0,69554,14903,5
2020-08-27,23:00:00,2020-08-27,,99,Mauritania,4667429,6977,,158,,6356,,463,3,1495,34.0,69554,14902,5
2020-08-28,23:01:00,2020-08-28,,99,Mauritania,4667764,6993,,158,,6381,,454,3,1498,34.0,69554,14901,5
2020-08-29,12:29:00,2020-08-29,,99,Mauritania,4668099,7012,,158,,6407,,447,3,1502,34.0,69937,14982,5
2020-08-30,23:00:00,2020-08-30,,99,Mauritania,4668434,7016,4.0,159,1.0,6430,23.0,427,3,1503,34.0,69937,14981,5
2020-08-31,18:58:00,2020-08-31,,99,Mauritania,4668769,7016,,159,,6430,,427,3,1503,34.0,69937,14980,5
2020-09-01,23:00:00,2020-09-01,,99,Mauritania,4669104,7075,27.0,159,,6464,,452,3,1515,34.0,69937,14979,5
2020-09-02,23:01:00,2020-09-02,,99,Mauritania,4669439,7075,,159,,6464,,452,3,1515,34.0,69937,14978,5
2020-09-03,23:01:00,2020-09-03,,99,Mauritania,4669775,7089,,160,,6548,,381,3,1518,34.0,69937,14977,5
2020-09-04,07:01:00,2020-09-04,,99,Mauritania,4670110,7106,,160,,6588,,358,3,1522,34.0,69937,14975,5
