scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-02,20:00:00,2020-08-02,,175,Mauritius,1271956,344,,10,,332,,2,,270,8.0,205285,161393,5
2020-08-08,20:00:00,2020-08-08,,175,Mauritius,1271990,344,,10,,334,,0,,270,8.0,205285,161389,5
2020-08-12,20:00:00,2020-08-12,,175,Mauritius,1272013,344,,10,,334,,0,,270,8.0,205285,161386,5
2020-08-16,20:00:00,2020-08-16,,175,Mauritius,1272036,346,,10,,334,,2,,272,8.0,205285,161383,5
2020-08-17,20:00:00,2020-08-17,,175,Mauritius,1272042,346,,10,,334,,2,,272,8.0,205285,161382,5
2020-08-18,20:00:00,2020-08-18,,175,Mauritius,1272048,346,,10,,334,,2,,272,8.0,205285,161381,5
2020-08-19,20:00:00,2020-08-19,,175,Mauritius,1272054,346,,10,,334,,2,,272,8.0,205285,161381,5
2020-08-20,17:53:00,2020-08-20,,175,Mauritius,1272059,346,,10,,334,,2,,272,8.0,205285,161380,5
2020-08-23,21:09:00,2020-08-23,,175,Mauritius,1272077,346,,10,,334,,2,,272,8.0,205285,161378,5
2020-08-24,17:10:00,2020-08-24,,175,Mauritius,1272082,346,,10,,335,,1,,272,8.0,205285,161377,5
2020-08-25,23:00:00,2020-08-25,,175,Mauritius,1272088,347,,10,,335,,2,,273,8.0,205285,161376,5
2020-08-26,22:59:00,2020-08-26,,175,Mauritius,1272094,348,,10,,335,,3,,274,8.0,205285,161376,5
2020-08-27,23:00:00,2020-08-27,,175,Mauritius,1272100,354,,10,,335,,9,,278,8.0,226763,178259,5
2020-08-28,23:01:00,2020-08-28,,175,Mauritius,1272105,355,,10,,335,,10,,279,8.0,227409,178766,5
2020-08-29,12:29:00,2020-08-29,,175,Mauritius,1272111,355,,10,,335,,10,,279,8.0,227409,178765,5
2020-08-30,23:00:00,2020-08-30,,175,Mauritius,1272117,355,,10,,335,,10,,279,8.0,227409,178764,5
2020-08-31,18:58:00,2020-08-31,,175,Mauritius,1272123,355,,10,,335,,10,,279,8.0,227409,178763,5
2020-09-01,23:00:00,2020-09-01,,175,Mauritius,1272128,356,,10,,335,,11,,280,8.0,227409,178763,5
2020-09-02,23:01:00,2020-09-02,,175,Mauritius,1272134,356,,10,,335,,11,,280,8.0,227409,178762,5
2020-09-03,23:01:00,2020-09-03,,175,Mauritius,1272140,356,,10,,335,,11,,280,8.0,227409,178761,5
2020-09-04,07:01:00,2020-09-04,,175,Mauritius,1272146,356,,10,,335,,11,,280,8.0,227409,178760,5
2020-09-05,23:31:00,2020-09-05,,175,Mauritius,1272151,356,,10,,335,,11,,280,8.0,227409,178759,5
2020-09-06,18:30:00,2020-09-06,,175,Mauritius,1272157,356,,10,,335,,11,,280,8.0,227409,178759,5
2020-09-07,23:39:00,2020-09-07,,175,Mauritius,1272163,356,,10,,335,,11,,280,8.0,227409,178758,5
2020-09-08,22:10:00,2020-09-08,,175,Mauritius,1272169,356,,10,,335,,11,,280,8.0,227409,178757,5
2020-09-10,22:01:00,2020-09-10,,175,Mauritius,1272180,361,,10,,335,,16,,284,8.0,227409,178755,5
2020-09-11,22:00:00,2020-09-11,,175,Mauritius,1272186,361,,10,,335,,16,,284,8.0,227409,178755,5
2020-09-12,22:22:00,2020-09-12,,175,Mauritius,1272192,361,,10,,335,,16,,284,8.0,227409,178754,5
2020-09-13,22:01:00,2020-09-13,,175,Mauritius,1272197,361,,10,,335,,16,,284,8.0,227409,178753,5
