scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,1969-12-31 23:59:59.999999999,62,Moldova,4033111,25362,249.0,791,3.0,17816,245.0,6755,362,6288,196.0,128076,31756
2020-08-08,20:00:00,1969-12-31 23:59:59.999999999,62,Moldova,4032957,27443,453.0,841,6.0,19100,182.0,7502,362,6805,209.0,128076,31757
2020-08-12,20:00:00,1969-12-31 23:59:59.999999999,62,Moldova,4032855,28223,,857,,19740,,7626,362,6998,213.0,128076,31758
2020-08-16,20:00:00,1969-12-31 23:59:59.999999999,62,Moldova,4032753,29905,,895,,20908,,8102,362,7416,222.0,128076,31759
2020-08-17,20:00:00,1969-12-31 23:59:59.999999999,62,Moldova,4032728,30377,194.0,908,12.0,21220,,8249,362,7533,225.0,128076,31759
2020-08-18,20:00:00,1969-12-31 23:59:59.999999999,62,Moldova,4032702,30789,412.0,908,,21220,,8661,362,7635,225.0,128076,31759
2020-08-19,20:00:00,1969-12-31 23:59:59.999999999,62,Moldova,4032677,30789,,908,,21885,,7996,362,7635,225.0,183923,45608
2020-08-20,17:53:00,1969-12-31 23:59:59.999999999,62,Moldova,4032651,31937,522.0,921,7.0,21885,,9131,362,7920,228.0,183923,45608
2020-08-23,21:09:00,1969-12-31 23:59:59.999999999,62,Moldova,4032575,33478,406.0,940,5.0,22683,,9855,362,8302,233.0,183923,45609
2020-08-24,17:10:00,1969-12-31 23:59:59.999999999,62,Moldova,4032549,33828,350.0,945,5.0,22683,,10200,575,8389,234.0,183923,45610
2020-08-25,23:00:00,1969-12-31 23:59:59.999999999,62,Moldova,4032524,34358,530.0,960,15.0,23869,299.0,9529,575,8520,238.0,183923,45610
2020-08-26,22:59:00,1969-12-31 23:59:59.999999999,62,Moldova,4032498,34982,624.0,967,7.0,24156,287.0,9859,575,8675,240.0,183923,45610
2020-08-27,23:00:00,1969-12-31 23:59:59.999999999,62,Moldova,4032473,35546,564.0,977,10.0,24156,,10413,575,8815,242.0,207925,51563
2020-08-28,23:01:00,1969-12-31 23:59:59.999999999,62,Moldova,4032447,35904,358.0,981,4.0,24156,,10767,575,8904,243.0,207925,51563
2020-08-29,12:29:00,1969-12-31 23:59:59.999999999,62,Moldova,4032422,35904,,981,,24156,,10767,575,8904,243.0,207925,51563
2020-08-30,23:00:00,1969-12-31 23:59:59.999999999,62,Moldova,4032396,36700,296.0,992,2.0,25139,,10569,575,9101,246.0,207925,51564
2020-08-31,18:58:00,1969-12-31 23:59:59.999999999,62,Moldova,4032371,36920,220.0,995,3.0,25872,733.0,10053,575,9156,247.0,207925,51564
2020-09-01,23:00:00,1969-12-31 23:59:59.999999999,62,Moldova,4032345,37208,288.0,1008,13.0,25872,,10328,575,9227,250.0,207925,51564
2020-09-02,23:01:00,1969-12-31 23:59:59.999999999,62,Moldova,4032320,37740,532.0,1024,16.0,26189,317.0,10527,575,9359,254.0,207925,51565
2020-09-03,23:01:00,1969-12-31 23:59:59.999999999,62,Moldova,4032294,38372,632.0,1036,12.0,27017,828.0,10319,575,9516,257.0,207925,51565
2020-09-04,07:01:00,1969-12-31 23:59:59.999999999,62,Moldova,4032269,38372,,1036,,27017,,10319,575,9516,257.0,207925,51565
2020-09-05,23:31:00,1969-12-31 23:59:59.999999999,62,Moldova,4032243,39473,567.0,1063,16.0,27799,782.0,10611,549,9789,264.0,210553,52217
2020-09-06,18:30:00,1969-12-31 23:59:59.999999999,62,Moldova,4032218,39797,324.0,1063,,27799,,10935,549,9870,264.0,210553,52218
2020-09-07,23:39:00,1969-12-31 23:59:59.999999999,62,Moldova,4032192,40055,258.0,1074,11.0,27799,,11182,549,9934,266.0,210553,52218
2020-09-08,22:10:00,1969-12-31 23:59:59.999999999,62,Moldova,4032167,40556,501.0,1087,13.0,28578,779.0,10891,549,10058,270.0,210553,52218
2020-09-09,22:01:00,1969-12-31 23:59:59.999999999,62,Moldova,4032141,41144,588.0,1096,9.0,28962,384.0,11086,549,10204,272.0,210553,52219
2020-09-10,22:01:00,1969-12-31 23:59:59.999999999,62,Moldova,4032116,41704,560.0,1106,10.0,28962,,11636,549,10343,274.0,210553,52219
2020-09-11,22:00:00,1969-12-31 23:59:59.999999999,62,Moldova,4032090,42183,479.0,1114,8.0,30437,1475.0,10632,549,10462,276.0,210553,52219
2020-09-12,22:22:00,1969-12-31 23:59:59.999999999,62,Moldova,4032065,42714,531.0,1117,3.0,30437,,11160,549,10594,277.0,210553,52220
2020-09-13,22:01:00,1969-12-31 23:59:59.999999999,62,Moldova,4032039,42978,264.0,1123,6.0,30437,,11418,549,10659,279.0,210553,52220
2020-09-14,22:04:00,1969-12-31 23:59:59.999999999,62,Moldova,4032014,43207,229.0,1129,6.0,30437,,11641,549,10716,280.0,210553,52220
2020-09-15,21:00:00,1969-12-31 23:59:59.999999999,62,Moldova,4031988,43734,527.0,1143,14.0,32293,1856.0,10298,549,10847,283.0,246764,61202
2020-09-16,21:01:00,1969-12-31 23:59:59.999999999,62,Moldova,4031963,44361,627.0,1159,16.0,32732,439.0,10470,549,11002,287.0,246764,61202
2020-09-18,20:01:00,1969-12-31 23:59:59.999999999,62,Moldova,4031912,45648,665.0,1186,16.0,33734,495.0,10728,549,11322,294.0,246764,61203
