scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,188,Monaco,39266,120,,4,,105,,11,,3056.0,102.0,38209,973081.0
2020-08-08,20:00:00,,188,Monaco,39271,128,,4,,105,,19,2.0,3259.0,102.0,38209,972957.0
2020-08-12,20:00:00,,188,Monaco,39274,138,,4,,113,,21,4.0,3514.0,102.0,38209,972883.0
2020-08-16,20:00:00,,188,Monaco,39277,146,,4,,114,,28,4.0,3717.0,102.0,38209,972809.0
2020-08-17,20:00:00,,188,Monaco,39277,146,,4,,114,,28,4.0,3717.0,102.0,38209,972809.0
2020-08-18,20:00:00,,188,Monaco,39278,148,,4,,114,,30,4.0,3768.0,102.0,38209,972784.0
2020-08-19,20:00:00,,188,Monaco,39279,148,,4,,114,,30,4.0,3768.0,102.0,38209,972759.0
2020-08-20,17:53:00,,188,Monaco,39280,148,,4,,114,,30,4.0,3768.0,102.0,38209,972734.0
2020-08-23,21:09:00,,188,Monaco,39282,154,,4,,116,,34,1.0,3920.0,102.0,51953,1322565.0
2020-08-24,17:10:00,,188,Monaco,39283,112,,1,,83,,28,1.0,2851.0,25.0,51953,1322531.0
2020-08-25,23:00:00,,188,Monaco,39284,121,6.0,1,,85,1.0,35,1.0,3080.0,25.0,51953,1322498.0
2020-08-26,22:59:00,,188,Monaco,39284,121,,1,,85,,35,1.0,3080.0,25.0,51953,1322498.0
2020-08-27,23:00:00,,188,Monaco,39285,122,,1,,85,,36,1.0,3106.0,25.0,51953,1322464.0
2020-08-28,23:01:00,,188,Monaco,39286,125,,1,,86,,38,1.0,3182.0,25.0,51953,1322430.0
2020-08-29,12:29:00,,188,Monaco,39287,125,,1,,86,,38,1.0,3182.0,25.0,51953,1322397.0
2020-08-30,23:00:00,,188,Monaco,39287,130,,1,,89,,40,1.0,3309.0,25.0,51953,1322397.0
2020-08-31,18:58:00,,188,Monaco,39288,131,,1,,89,,41,1.0,3334.0,25.0,51953,1322363.0
2020-09-01,23:00:00,,188,Monaco,39289,138,,1,,89,,48,1.0,3512.0,25.0,51953,1322329.0
2020-09-02,23:01:00,,188,Monaco,39290,140,,1,,90,,49,1.0,3563.0,25.0,51953,1322296.0
2020-09-03,23:01:00,,188,Monaco,39290,143,1.0,1,,94,3.0,48,1.0,3640.0,25.0,51953,1322296.0
2020-09-04,07:01:00,,188,Monaco,39291,143,,1,,94,,48,1.0,3640.0,25.0,51953,1322262.0
2020-09-05,23:31:00,,188,Monaco,39292,147,,1,,97,,49,1.0,3741.0,25.0,51953,1322228.0
2020-09-06,18:30:00,,188,Monaco,39293,147,,1,,102,,44,1.0,3741.0,25.0,51953,1322195.0
2020-09-07,23:39:00,,188,Monaco,39293,153,6.0,1,,102,,50,1.0,3894.0,25.0,51953,1322195.0
2020-09-08,22:10:00,,188,Monaco,39294,153,,1,,102,,50,1.0,3894.0,25.0,51953,1322161.0
2020-09-10,22:01:00,,188,Monaco,39296,165,4.0,1,,107,,57,1.0,4199.0,25.0,51953,1322094.0
2020-09-11,22:00:00,,188,Monaco,39296,165,,1,,107,,57,1.0,4199.0,25.0,51953,1322094.0
2020-09-12,22:22:00,,188,Monaco,39297,168,,1,,123,,44,1.0,4275.0,25.0,51953,1322060.0
2020-09-13,22:01:00,,188,Monaco,39298,169,,1,,123,,45,1.0,4300.0,25.0,51953,1322027.0
