scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,207,Montserrat,4992,12,,1,,10,,1,,2404,200.0,61,12220
2020-08-08,20:00:00,,207,Montserrat,4992,13,1.0,1,0.0,11,1.0,1,,2604,200.0,61,12220
2020-08-12,20:00:00,,207,Montserrat,4992,13,0.0,1,0.0,12,1.0,0,,2604,200.0,61,12220
2020-08-16,20:00:00,,207,Montserrat,4992,13,0.0,1,0.0,12,0.0,0,,2604,200.0,61,12220
2020-08-17,20:00:00,,207,Montserrat,4992,13,0.0,1,0.0,12,0.0,0,,2604,200.0,61,12220
2020-08-18,20:00:00,,207,Montserrat,4992,13,0.0,1,0.0,12,0.0,0,,2604,200.0,61,12220
2020-08-19,20:00:00,,207,Montserrat,4992,13,0.0,1,0.0,12,0.0,0,,2604,200.0,61,12220
2020-08-20,17:53:00,,207,Montserrat,4992,13,0.0,1,0.0,12,0.0,0,,2604,200.0,61,12220
2020-08-23,21:09:00,,207,Montserrat,4992,13,0.0,1,0.0,12,0.0,0,,2604,200.0,61,12220
2020-08-24,17:10:00,,207,Montserrat,4992,13,0.0,1,0.0,12,0.0,0,,2604,200.0,61,12220
2020-08-25,23:00:00,,207,Montserrat,4992,13,0.0,1,0.0,12,0.0,0,,2604,200.0,61,12220
2020-08-26,22:59:00,,207,Montserrat,4992,13,0.0,1,0.0,12,0.0,0,,2604,200.0,61,12220
2020-08-27,23:00:00,,207,Montserrat,4992,13,0.0,1,0.0,12,0.0,0,,2604,200.0,61,12220
2020-08-28,23:01:00,,207,Montserrat,4992,13,0.0,1,0.0,12,0.0,0,,2604,200.0,61,12220
2020-08-29,12:29:00,,207,Montserrat,4992,13,0.0,1,0.0,12,0.0,0,,2604,200.0,61,12220
2020-08-30,23:00:00,,207,Montserrat,4993,13,0.0,1,0.0,12,0.0,0,,2604,200.0,61,12217
2020-08-31,18:58:00,,207,Montserrat,4993,13,0.0,1,0.0,12,0.0,0,,2604,200.0,328,65692
