Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,118,Mozambique,31321953,1907,,12,,645,,1250,,61,0.4,58991,1883
2020-08-08 20:00:00,,2020-08-08,118,Mozambique,31336364,2213,306.0,15,3.0,827,182.0,1371,,71,0.5,66542,2123
2020-08-12 20:00:00,,2020-08-12,118,Mozambique,31345971,2481,268.0,17,2.0,910,83.0,1554,,79,0.5,71351,2276
2020-08-16 20:00:00,,2020-08-16,118,Mozambique,31355578,2791,310.0,19,2.0,1136,226.0,1636,,89,0.6,76614,2443
2020-08-17 20:00:00,,2020-08-17,118,Mozambique,31357980,2914,123.0,19,0.0,1196,60.0,1699,,93,0.6,78877,2515
2020-08-18 20:00:00,,2020-08-18,118,Mozambique,31360382,2914,0.0,19,0.0,1196,0.0,1699,,93,0.6,78877,2515
2020-08-19 20:00:00,,2020-08-19,118,Mozambique,31362784,2991,77.0,19,0.0,1245,49.0,1727,,95,0.6,79504,2535
2020-08-20 17:53:00,,2020-08-20,118,Mozambique,31365185,3045,54.0,19,0.0,1291,46.0,1735,,97,0.6,80913,2580
2020-08-23 21:09:00,,2020-08-23,118,Mozambique,31372391,3395,350.0,20,1.0,1503,212.0,1872,,108,0.6,85137,2714
2020-08-24 17:10:00,,2020-08-24,118,Mozambique,31374793,3395,0.0,20,0.0,1503,0.0,1872,,108,0.6,85137,2714
2020-08-25 23:00:00,,2020-08-25,118,Mozambique,31377195,3508,113.0,21,1.0,1809,306.0,1678,,112,0.7,89158,2841
2020-08-26 22:59:00,,2020-08-26,118,Mozambique,31379596,3590,82.0,21,0.0,1927,118.0,1642,,114,0.7,90566,2886
2020-08-27 23:00:00,,2020-08-27,118,Mozambique,31381998,3590,0.0,21,0.0,1927,0.0,1642,,114,0.7,90566,2886
2020-08-28 23:01:00,,2020-08-28,118,Mozambique,31384400,3651,61.0,21,0.0,1968,41.0,1662,,116,0.7,91130,2904
2020-08-29 12:29:00,,2020-08-29,118,Mozambique,31386802,3697,46.0,21,0.0,2055,87.0,1621,,118,0.7,92046,2933
2020-08-30 23:00:00,,2020-08-30,118,Mozambique,31389204,3821,124.0,23,2.0,2100,45.0,1698,,122,0.7,94696,3017
2020-08-31 18:58:00,,2020-08-31,118,Mozambique,31391605,3821,0.0,23,0.0,2100,0.0,1698,,122,0.7,94696,3017
2020-09-01 23:00:00,,2020-09-01,118,Mozambique,31394007,4039,218.0,23,0.0,2170,70.0,1846,,129,0.7,96387,3070
2020-09-02 23:01:00,,2020-09-02,118,Mozambique,31396409,4117,78.0,25,2.0,2170,0.0,1922,,131,0.8,96387,3070
2020-09-03 23:01:00,,2020-09-03,118,Mozambique,31398811,4207,90.0,26,1.0,2370,200.0,1811,,134,0.8,100873,3213
2020-09-04 07:01:00,,2020-09-04,118,Mozambique,31401213,4207,0.0,26,0.0,2370,0.0,1811,,134,0.8,100873,3212
2020-09-05 23:31:00,,2020-09-05,118,Mozambique,31403614,4341,134.0,26,0.0,2579,209.0,1736,,138,0.8,102456,3263
2020-09-06 18:30:00,,2020-09-06,118,Mozambique,31406016,4341,0.0,26,0.0,2579,0.0,1736,,138,0.8,102456,3262
2020-09-07 23:39:00,,2020-09-07,118,Mozambique,31408418,4557,216.0,27,1.0,2697,118.0,1833,,145,0.9,106382,3387
2020-09-08 22:10:00,,2020-09-08,118,Mozambique,31410820,4647,90.0,28,1.0,2715,18.0,1904,,148,0.9,107083,3409
2020-09-10 22:01:00,,2020-09-10,118,Mozambique,31415623,4832,185.0,31,3.0,2857,142.0,1944,,154,1.0,108745,3461
2020-09-11 22:00:00,,2020-09-11,118,Mozambique,31418025,4918,86.0,31,0.0,2899,42.0,1988,,157,1.0,110310,3511
2020-09-12 22:22:00,,2020-09-12,118,Mozambique,31420427,5040,122.0,35,4.0,2905,6.0,2100,,160,1.0,112238,3572
2020-09-13 22:01:00,,2020-09-13,118,Mozambique,31422829,5269,229.0,35,0.0,2960,55.0,2274,,168,1.0,114333,3639
2020-09-14 22:04:00,,2020-09-14,118,Mozambique,31425231,5482,213.0,35,0.0,3024,64.0,2423,,174,1.0,115588,3678
2020-09-15 21:00:00,,2020-09-15,118,Mozambique,31427632,5713,231.0,37,2.0,3181,157.0,2495,,182,1.0,117029,3724
2020-09-16 21:01:00,,2020-09-16,118,Mozambique,31430034,5994,281.0,39,2.0,3267,86.0,2688,,191,1.0,118657,3775
2020-09-18 20:01:00,,2020-09-18,118,Mozambique,31434838,6161,167.0,39,0.0,3393,126.0,2729,,196,1.0,119689,3808
2020-09-19 21:00:00,,2020-09-19,118,Mozambique,31437240,6537,376.0,41,2.0,3620,227.0,2876,,208,1.0,123212,3919
2020-09-20 22:31:00,,2020-09-20,118,Mozambique,31439641,6771,234.0,43,2.0,3622,2.0,3106,,215,1.0,124785,3969
2020-09-21 21:01:00,,2020-09-21,118,Mozambique,31442043,6912,141.0,44,1.0,3738,116.0,3130,,220,1.0,125633,3996
2020-09-22 21:01:00,,2020-09-22,118,Mozambique,31444445,7114,202.0,45,1.0,4064,326.0,3005,,226,1.0,127378,4051
2020-09-23 19:58:00,,2020-09-23,118,Mozambique,31446847,7114,0.0,45,0.0,4064,0.0,3005,,226,1.0,127378,4051
2020-09-24 21:00:00,,2020-09-24,118,Mozambique,31449249,7399,285.0,51,6.0,4558,494.0,2790,,235,2.0,130060,4136
2020-09-25 21:00:00,,2020-09-25,118,Mozambique,31451650,7399,0.0,51,0.0,4558,0.0,2790,,235,2.0,130060,4135
2020-09-26 21:00:00,,2020-09-26,118,Mozambique,31454052,7589,190.0,53,2.0,4649,91.0,2887,,241,2.0,131579,4183
2020-09-27 22:45:00,,2020-09-27,118,Mozambique,31456454,7983,394.0,58,5.0,4807,158.0,3118,,254,2.0,134011,4260
2020-09-28 22:00:00,,2020-09-28,118,Mozambique,31458856,8288,305.0,59,1.0,4836,29.0,3393,,263,2.0,135406,4304
2020-09-29 21:35:00,,2020-09-29,118,Mozambique,31461258,8556,268.0,59,0.0,5205,369.0,3292,,272,2.0,136683,4344
2020-09-30 22:00:00,,2020-09-30,118,Mozambique,31463659,8728,172.0,61,2.0,5232,27.0,3435,,277,2.0,138386,4398
