scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,168,Myanmar,54441414,353,,6,,298,,49,,6,0.1,118127,2170
2020-08-08,20:00:00,,168,Myanmar,54447384,359,6.0,6,0.0,311,13.0,42,,7,0.1,123441,2267
2020-08-12,20:00:00,,168,Myanmar,54451364,360,1.0,6,0.0,313,2.0,41,,7,0.1,127726,2346
2020-08-16,20:00:00,,168,Myanmar,54455344,374,14.0,6,0.0,324,11.0,44,,7,0.1,134035,2461
2020-08-17,20:00:00,,168,Myanmar,54456339,376,2.0,6,0.0,331,7.0,39,,7,0.1,135402,2486
2020-08-18,20:00:00,,168,Myanmar,54457334,376,0.0,6,0.0,331,0.0,39,,7,0.1,136153,2500
2020-08-19,20:00:00,,168,Myanmar,54458329,379,3.0,6,0.0,331,0.0,42,,7,0.1,137749,2529
2020-08-20,17:53:00,,168,Myanmar,54459323,399,20.0,6,0.0,333,2.0,60,,7,0.1,141044,2590
2020-08-23,21:09:00,,168,Myanmar,54462308,450,51.0,6,0.0,341,8.0,103,,8,0.1,145167,2665
2020-08-24,17:10:00,,168,Myanmar,54463303,474,24.0,6,0.0,341,0.0,127,,9,0.1,145167,2665
2020-08-25,23:00:00,,168,Myanmar,54464298,504,30.0,6,0.0,341,0.0,157,,9,0.1,146037,2681
2020-08-26,22:59:00,,168,Myanmar,54465293,580,76.0,6,0.0,345,4.0,229,,11,0.1,149861,2751
2020-08-27,23:00:00,,168,Myanmar,54466288,602,22.0,6,0.0,345,0.0,251,,11,0.1,149861,2751
2020-08-28,23:01:00,,168,Myanmar,54467283,643,41.0,6,0.0,349,4.0,288,,12,0.1,149861,2751
2020-08-29,12:29:00,,168,Myanmar,54468278,656,13.0,6,0.0,349,0.0,301,,12,0.1,153821,2824
