scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,1969-12-31 23:59:59.999999999,102,Namibia,2544635,2224,,11,,171,,2042,24,874,4.0,26344,10353
2020-08-08,20:00:00,1969-12-31 23:59:59.999999999,102,Namibia,2545390,2802,,16,,575,,2211,22,1101,6.0,32369,12717
2020-08-12,20:00:00,1969-12-31 23:59:59.999999999,102,Namibia,2545894,3229,,19,,715,,2495,12,1268,7.0,36287,14253
2020-08-16,20:00:00,1969-12-31 23:59:59.999999999,102,Namibia,2546397,3907,,35,,2352,,1520,14,1534,14.0,40397,15864
2020-08-17,20:00:00,1969-12-31 23:59:59.999999999,102,Namibia,2546523,4344,190.0,36,1.0,2379,9.0,1929,14,1706,14.0,41867,16441
2020-08-18,20:00:00,1969-12-31 23:59:59.999999999,102,Namibia,2546649,4464,120.0,37,1.0,2407,28.0,2020,18,1753,15.0,42945,16863
2020-08-19,20:00:00,1969-12-31 23:59:59.999999999,102,Namibia,2546775,4464,,37,,2407,,2020,18,1753,15.0,42945,16863
2020-08-20,17:53:00,1969-12-31 23:59:59.999999999,102,Namibia,2546901,4665,,39,,2426,,2200,18,1832,15.0,43990,17272
2020-08-23,21:09:00,1969-12-31 23:59:59.999999999,102,Namibia,2547278,5538,,46,,2460,,3032,4,2174,18.0,48808,19161
2020-08-24,17:10:00,1969-12-31 23:59:59.999999999,102,Namibia,2547404,5854,,52,,2509,,3293,8,2298,20.0,50391,19781
2020-08-25,23:00:00,1969-12-31 23:59:59.999999999,102,Namibia,2547530,6160,130.0,57,1.0,2732,169.0,3371,11,2418,22.0,53387,20956
2020-08-26,22:59:00,1969-12-31 23:59:59.999999999,102,Namibia,2547656,6431,271.0,59,2.0,2734,2.0,3638,10,2524,23.0,55054,21610
2020-08-27,23:00:00,1969-12-31 23:59:59.999999999,102,Namibia,2547782,6712,281.0,60,1.0,2776,42.0,3876,19,2634,24.0,55596,21821
2020-08-28,23:01:00,1969-12-31 23:59:59.999999999,102,Namibia,2547908,6712,,60,,2776,,3876,19,2634,24.0,55596,21820
2020-08-29,12:29:00,1969-12-31 23:59:59.999999999,102,Namibia,2548034,6906,,65,,2789,,4052,19,2710,26.0,57150,22429
2020-08-30,23:00:00,1969-12-31 23:59:59.999999999,102,Namibia,2548160,7365,249.0,72,3.0,2929,112.0,4364,16,2890,28.0,60065,23572
2020-08-31,18:58:00,1969-12-31 23:59:59.999999999,102,Namibia,2548286,7365,,72,,2929,,4364,16,2890,28.0,60065,23571
2020-09-01,23:00:00,1969-12-31 23:59:59.999999999,102,Namibia,2548412,7692,142.0,81,6.0,3379,52.0,4232,16,3018,32.0,62446,24504
2020-09-02,23:01:00,1969-12-31 23:59:59.999999999,102,Namibia,2548537,7844,152.0,82,1.0,3454,75.0,4308,30,3078,32.0,64269,25218
2020-09-03,23:01:00,1969-12-31 23:59:59.999999999,102,Namibia,2548663,8082,238.0,86,4.0,3483,29.0,4513,21,3171,34.0,65899,25856
2020-09-04,07:01:00,1969-12-31 23:59:59.999999999,102,Namibia,2548789,8082,,86,,3483,,4513,21,3171,34.0,65899,25855
2020-09-05,23:31:00,1969-12-31 23:59:59.999999999,102,Namibia,2548915,8514,191.0,87,,3643,32.0,4784,16,3340,34.0,68937,27046
