Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,48,Nigeria,206536291,43537,,883,,20087,,22567,7,211,4.0,283916,1375
2020-08-08 20:00:00,,2020-08-08,48,Nigeria,206620302,45687,2150.0,936,53.0,32637,12550.0,12114,7,221,5.0,310729,1504
2020-08-12 20:00:00,,2020-08-12,48,Nigeria,206676309,47290,1603.0,956,20.0,33609,972.0,12725,7,229,5.0,319851,1548
2020-08-16 20:00:00,,2020-08-16,48,Nigeria,206732316,48770,1480.0,974,18.0,36290,2681.0,11506,7,236,5.0,347545,1681
2020-08-17 20:00:00,,2020-08-17,48,Nigeria,206746317,49068,298.0,975,1.0,36497,207.0,11596,7,237,5.0,347545,1681
2020-08-18 20:00:00,,2020-08-18,48,Nigeria,206760319,49485,417.0,977,2.0,36834,337.0,11674,7,239,5.0,352625,1705
2020-08-19 20:00:00,,2020-08-19,48,Nigeria,206774321,49895,410.0,981,4.0,37051,217.0,11863,7,241,5.0,352625,1705
2020-08-20 17:53:00,,2020-08-20,48,Nigeria,206788323,50488,593.0,985,4.0,37304,253.0,12199,7,244,5.0,352625,1705
2020-08-23 21:09:00,,2020-08-23,48,Nigeria,206830328,51905,1417.0,997,12.0,38767,1463.0,12141,7,251,5.0,369904,1788
2020-08-24 17:10:00,,2020-08-24,48,Nigeria,206844330,52227,322.0,1002,5.0,38945,178.0,12280,7,252,5.0,369904,1788
2020-08-25 23:00:00,,2020-08-25,48,Nigeria,206858331,52548,321.0,1004,2.0,39257,312.0,12287,7,254,5.0,379542,1835
2020-08-26 22:59:00,,2020-08-26,48,Nigeria,206872333,52800,252.0,1007,3.0,39964,707.0,11829,7,255,5.0,379542,1835
2020-08-27 23:00:00,,2020-08-27,48,Nigeria,206886335,53021,221.0,1010,3.0,40281,317.0,11730,7,256,5.0,388346,1877
2020-08-28 23:01:00,,2020-08-28,48,Nigeria,206900336,53317,296.0,1011,1.0,40726,445.0,11580,7,258,5.0,391502,1892
2020-08-29 12:29:00,,2020-08-29,48,Nigeria,206914338,53477,160.0,1011,0.0,41017,291.0,11449,7,258,5.0,394524,1907
2020-08-30 23:00:00,,2020-08-30,48,Nigeria,206928340,53727,250.0,1011,0.0,41314,297.0,11402,7,260,5.0,398304,1925
2020-08-31 18:58:00,,2020-08-31,48,Nigeria,206942342,53865,138.0,1013,2.0,41513,199.0,11339,7,260,5.0,402070,1943
2020-09-01 23:00:00,,2020-09-01,48,Nigeria,206956343,54008,143.0,1013,0.0,41638,125.0,11357,7,261,5.0,403347,1949
2020-09-02 23:01:00,,2020-09-02,48,Nigeria,206970345,54247,239.0,1023,10.0,42010,372.0,11214,7,262,5.0,405916,1961
2020-09-03 23:01:00,,2020-09-03,48,Nigeria,206984347,54463,216.0,1027,4.0,42439,429.0,10997,7,263,5.0,411077,1986
2020-09-04 07:01:00,,2020-09-04,48,Nigeria,206998349,54588,125.0,1048,21.0,42627,188.0,10913,7,264,5.0,413265,1996
