Date,Scrap_time,Update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,79,North Macedonia,2083366,11054,,497,,6882,,3675,5,5306,239.0,105357,50571
2020-08-08,20:00:00,,79,North Macedonia,2083365,11754,700.0,523,26.0,7622,740.0,3609,3,5642,251.0,113619,54536
2020-08-12,20:00:00,,79,North Macedonia,2083364,12083,329.0,529,6.0,8248,626.0,3306,6,5800,254.0,117475,56387
2020-08-16,20:00:00,,79,North Macedonia,2083363,12653,570.0,539,10.0,9123,875.0,2991,4,6073,259.0,125128,60061
2020-08-17,20:00:00,,79,North Macedonia,2083363,12840,187.0,547,8.0,9174,51.0,3119,4,6163,263.0,126284,60615
2020-08-18,20:00:00,,79,North Macedonia,2083363,12970,130.0,549,2.0,9513,339.0,2908,3,6226,264.0,128938,61889
2020-08-19,20:00:00,,79,North Macedonia,2083362,12970,0.0,549,0.0,9513,0.0,2908,3,6226,264.0,128938,61889
2020-08-20,17:53:00,,79,North Macedonia,2083362,13194,224.0,554,5.0,9752,239.0,2888,4,6333,266.0,132493,63596
2020-08-23,21:09:00,,79,North Macedonia,2083361,13595,401.0,564,10.0,10110,358.0,2921,4,6526,271.0,134318,64472
2020-08-24,17:10:00,,79,North Macedonia,2083361,13673,78.0,568,4.0,10150,40.0,2955,5,6563,273.0,138325,66395
2020-08-25,23:00:00,,79,North Macedonia,2083361,13799,126.0,573,5.0,10210,60.0,3016,7,6623,275.0,140093,67244
2020-08-26,22:59:00,,79,North Macedonia,2083361,13914,115.0,578,5.0,10507,297.0,2829,5,6679,277.0,142158,68235
2020-08-27,23:00:00,,79,North Macedonia,2083360,14004,90.0,585,7.0,10722,215.0,2697,5,6722,281.0,143687,68969
2020-08-28,23:01:00,,79,North Macedonia,2083360,14163,159.0,590,5.0,10933,211.0,2640,3,6798,283.0,145705,69938
2020-08-29,12:29:00,,79,North Macedonia,2083360,14163,0.0,590,0.0,10933,0.0,2640,3,6798,283.0,145705,69938
