scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,1969-12-31 23:59:59.999999999,86,Norway,5424892,9263,10.0,255,,8752,,256,1.0,1707,47.0,445946,82204
2020-08-08,20:00:00,1969-12-31 23:59:59.999999999,86,Norway,5425586,9568,17.0,256,,8857,,455,2.0,1763,47.0,479789,88431
2020-08-12,20:00:00,1969-12-31 23:59:59.999999999,86,Norway,5426049,9751,,256,,8857,,638,2.0,1797,47.0,499866,92123
2020-08-16,20:00:00,1969-12-31 23:59:59.999999999,86,Norway,5426512,9965,,261,,8857,,847,2.0,1836,48.0,530446,97751
2020-08-17,20:00:00,1969-12-31 23:59:59.999999999,86,Norway,5426627,10035,30.0,261,,8857,,917,1.0,1849,48.0,556653,102578
2020-08-18,20:00:00,1969-12-31 23:59:59.999999999,86,Norway,5426743,10089,29.0,262,1.0,8857,,970,1.0,1859,48.0,556653,102576
2020-08-19,20:00:00,1969-12-31 23:59:59.999999999,86,Norway,5426859,10111,,262,,8857,,992,1.0,1863,48.0,564549,104029
2020-08-20,17:53:00,1969-12-31 23:59:59.999999999,86,Norway,5426974,10190,28.0,264,2.0,8857,,1069,1.0,1878,49.0,588550,108449
2020-08-23,21:09:00,1969-12-31 23:59:59.999999999,86,Norway,5427321,10299,,264,,9150,,885,,1898,49.0,601569,110841
2020-08-24,17:10:00,1969-12-31 23:59:59.999999999,86,Norway,5427437,10323,,264,,9150,,909,1.0,1902,49.0,601569,110839
2020-08-25,23:00:00,1969-12-31 23:59:59.999999999,86,Norway,5427553,10426,31.0,264,,9150,,1012,1.0,1921,49.0,640575,118023
2020-08-26,22:59:00,1969-12-31 23:59:59.999999999,86,Norway,5427668,10486,32.0,264,,9150,,1072,1.0,1932,49.0,653756,120449
2020-08-27,23:00:00,1969-12-31 23:59:59.999999999,86,Norway,5427784,10524,20.0,264,,9348,198.0,912,1.0,1939,49.0,669717,123387
2020-08-28,23:01:00,1969-12-31 23:59:59.999999999,86,Norway,5427900,10565,23.0,264,,9348,,953,1.0,1946,49.0,686202,126421
2020-08-29,12:29:00,1969-12-31 23:59:59.999999999,86,Norway,5428015,10582,,264,,9348,,970,1.0,1950,49.0,686202,126419
2020-08-30,23:00:00,1969-12-31 23:59:59.999999999,86,Norway,5428131,10631,20.0,264,,9348,,1019,1.0,1959,49.0,686202,126416
2020-08-31,18:58:00,1969-12-31 23:59:59.999999999,86,Norway,5428247,10746,103.0,264,,9348,,1134,1.0,1980,49.0,686202,126413
2020-09-01,23:00:00,1969-12-31 23:59:59.999999999,86,Norway,5428362,10840,58.0,264,,9348,,1228,1.0,1997,49.0,686202,126411
2020-09-02,23:01:00,1969-12-31 23:59:59.999999999,86,Norway,5428478,10951,80.0,264,,9348,,1339,1.0,2017,49.0,745279,137291
2020-09-03,23:01:00,1969-12-31 23:59:59.999999999,86,Norway,5428594,11065,31.0,264,,9348,,1453,1.0,2038,49.0,745279,137288
2020-09-04,07:01:00,1969-12-31 23:59:59.999999999,86,Norway,5428709,11120,,264,,9348,,1508,1.0,2048,49.0,747479,137690
2020-09-05,23:31:00,1969-12-31 23:59:59.999999999,86,Norway,5428825,11254,23.0,264,,9348,,1642,1.0,2073,49.0,777459,143209
2020-09-06,18:30:00,1969-12-31 23:59:59.999999999,86,Norway,5428941,11330,34.0,264,,9348,,1718,1.0,2087,49.0,777459,143206
2020-09-07,23:39:00,1969-12-31 23:59:59.999999999,86,Norway,5429056,11462,74.0,264,,9348,,1850,1.0,2111,49.0,777459,143203
