scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,71,Palestine,5110716,12297,,84,,5390,,6823,,2406,16.0,155355,30398
2020-08-08,20:00:00,,71,Palestine,5112665,13928,1631.0,96,12.0,7706,2316.0,6126,,2724,19.0,200280,39173
2020-08-12,20:00:00,,71,Palestine,5113965,15184,1256.0,104,8.0,8369,663.0,6711,,2969,20.0,214862,42015
2020-08-16,20:00:00,,71,Palestine,5115264,16534,1350.0,110,6.0,9838,1469.0,6586,,3232,22.0,214862,42004
2020-08-17,20:00:00,,71,Palestine,5115589,16844,310.0,110,0.0,9838,0.0,6896,,3293,22.0,214862,42001
2020-08-18,20:00:00,,71,Palestine,5115914,17306,462.0,113,3.0,9939,101.0,7254,,3383,22.0,214862,41999
2020-08-19,20:00:00,,71,Palestine,5116239,17306,0.0,113,0.0,9939,0.0,7254,,3383,22.0,214862,41996
2020-08-20,17:53:00,,71,Palestine,5116564,17989,683.0,119,6.0,10682,743.0,7188,,3516,23.0,214862,41993
2020-08-23,21:09:00,,71,Palestine,5117538,18802,813.0,128,9.0,11843,1161.0,6831,,3674,25.0,214862,41985
2020-08-24,17:10:00,,71,Palestine,5117863,19213,411.0,130,2.0,11870,27.0,7213,,3754,25.0,214862,41983
2020-08-25,23:00:00,,71,Palestine,5118188,19678,465.0,133,3.0,13162,1292.0,6383,,3845,26.0,214862,41980
2020-08-26,22:59:00,,71,Palestine,5118513,20155,477.0,135,2.0,13929,767.0,6091,,3938,26.0,214862,41977
2020-08-27,23:00:00,,71,Palestine,5118838,20677,522.0,141,6.0,14194,265.0,6342,,4039,28.0,214862,41975
2020-08-28,23:01:00,,71,Palestine,5119162,21251,574.0,143,2.0,14291,97.0,6817,,4151,28.0,263288,51432
2020-08-29,12:29:00,,71,Palestine,5119487,21251,0.0,145,2.0,14291,0.0,6815,,4151,28.0,263288,51429
2020-08-30,23:00:00,,71,Palestine,5119812,22204,953.0,152,7.0,14787,496.0,7265,,4337,30.0,263288,51425
2020-08-31,18:58:00,,71,Palestine,5120137,22729,525.0,152,0.0,15056,269.0,7521,,4439,30.0,263288,51422
2020-09-01,23:00:00,,71,Palestine,5120462,23281,552.0,159,7.0,15338,282.0,7784,,4547,31.0,263288,51419
2020-09-02,23:01:00,,71,Palestine,5120787,23875,594.0,162,3.0,15483,145.0,8230,,4662,32.0,263288,51416
2020-09-03,23:01:00,,71,Palestine,5121112,24471,596.0,167,5.0,16095,612.0,8209,,4778,33.0,263288,51412
2020-09-04,07:01:00,,71,Palestine,5121436,24471,0.0,167,0.0,16095,0.0,8209,,4778,33.0,263288,51409
2020-09-05,23:31:00,,71,Palestine,5121761,25575,1104.0,177,10.0,16661,566.0,8737,,4993,35.0,303975,59350
2020-09-06,18:30:00,,71,Palestine,5122086,26127,552.0,181,4.0,16843,182.0,9103,,5101,35.0,306621,59863
2020-09-07,23:39:00,,71,Palestine,5122411,26779,652.0,184,3.0,17270,427.0,9325,,5228,36.0,306621,59859
2020-09-08,22:10:00,,71,Palestine,5122736,27363,584.0,190,6.0,17779,509.0,9394,,5341,37.0,306621,59855
2020-09-09,22:01:00,,71,Palestine,5123061,27919,556.0,192,2.0,18466,687.0,9261,,5450,37.0,319535,62372
2020-09-10,22:01:00,,71,Palestine,5123386,28664,745.0,198,6.0,18821,355.0,9645,,5595,39.0,319535,62368
2020-09-11,22:00:00,,71,Palestine,5123711,29256,592.0,204,6.0,19788,967.0,9264,,5710,40.0,329159,64242
2020-09-12,22:22:00,,71,Palestine,5124035,29906,650.0,210,6.0,19979,191.0,9717,,5836,41.0,334699,65319
2020-09-13,22:01:00,,71,Palestine,5124360,30574,668.0,221,11.0,20082,103.0,10271,,5966,43.0,339499,66252
2020-09-14,22:04:00,,71,Palestine,5124685,31362,788.0,226,5.0,21406,1324.0,9730,,6120,44.0,339499,66248
2020-09-15,21:00:00,,71,Palestine,5125010,32250,888.0,229,3.0,21804,398.0,10217,,6293,45.0,349975,68288
2020-09-16,21:01:00,,71,Palestine,5125335,33006,756.0,243,14.0,22209,405.0,10554,,6440,47.0,356965,69647
2020-09-18,20:01:00,,71,Palestine,5125985,34401,1395.0,250,7.0,23333,1124.0,10818,,6711,49.0,359873,70206
2020-09-19,21:00:00,,71,Palestine,5126309,35003,602.0,253,3.0,23446,113.0,11304,,6828,49.0,359873,70201
2020-09-20,22:31:00,,71,Palestine,5126634,35686,683.0,262,9.0,23700,254.0,11724,,6961,51.0,378049,73742
2020-09-21,21:01:00,,71,Palestine,5126959,36151,465.0,265,3.0,24428,728.0,11458,,7051,52.0,384250,74947
2020-09-22,21:01:00,,71,Palestine,5127284,36580,429.0,269,4.0,25469,1041.0,10842,,7134,52.0,389228,75913
2020-09-23,19:58:00,,71,Palestine,5127609,37083,503.0,272,3.0,26288,819.0,10523,,7232,53.0,394384,76914
2020-09-24,21:00:00,,71,Palestine,5127934,37591,508.0,274,2.0,26934,646.0,10383,,7331,53.0,399412,77889
2020-09-25,21:00:00,,71,Palestine,5128259,37963,372.0,278,4.0,27183,249.0,10502,,7403,54.0,402695,78525
2020-09-26,21:00:00,,71,Palestine,5128583,38253,290.0,285,7.0,27704,521.0,10264,,7459,56.0,405872,79139
2020-09-27,22:45:00,,71,Palestine,5128908,38703,450.0,291,6.0,29068,1364.0,9344,,7546,57.0,409770,79894
2020-09-28,22:00:00,,71,Palestine,5129233,39121,418.0,299,8.0,30220,1152.0,8602,,7627,58.0,414286,80770
2020-09-29,21:35:00,,71,Palestine,5129558,39541,420.0,306,7.0,31047,827.0,8188,,7708,60.0,414286,80764
2020-09-30,22:00:00,,71,Palestine,5129883,39899,358.0,311,5.0,31743,696.0,7845,,7778,61.0,418295,81541
2020-10-01,21:31:00,,71,Palestine,5130208,40322,423.0,318,7.0,32577,834.0,7427,,7860,62.0,422361,82328
2020-10-02,22:36:00,,71,Palestine,5130533,40766,444.0,321,3.0,32944,367.0,7501,,7946,63.0,426247,83080
2020-10-03,22:24:00,,71,Palestine,5130858,41078,312.0,329,8.0,33442,498.0,7307,,8006,64.0,429132,83637
2020-10-04,21:01:00,,71,Palestine,5131182,41498,420.0,330,1.0,34698,1256.0,6470,,8087,64.0,433343,84453
2020-10-05,22:13:00,,71,Palestine,5131507,41957,459.0,339,9.0,35182,484.0,6436,,8176,66.0,437500,85258
2020-10-06,23:01:00,,71,Palestine,5131832,42432,475.0,349,10.0,35599,417.0,6484,,8268,68.0,437500,85252
2020-10-07,23:01:00,,71,Palestine,5132157,42840,408.0,355,6.0,35953,354.0,6532,,8347,69.0,441785,86082
2020-10-08,23:59:00,,71,Palestine,5132482,43256,416.0,359,4.0,36584,631.0,6313,,8428,70.0,445273,86756
2020-10-09,23:00:00,,71,Palestine,5132807,43664,408.0,367,8.0,36922,338.0,6375,,8507,72.0,449165,87509
2020-10-10,23:00:00,,71,Palestine,5133132,43945,281.0,378,11.0,37240,318.0,6327,,8561,74.0,452083,88072
2020-10-12,23:10:00,,71,Palestine,5133781,44684,739.0,387,9.0,38228,988.0,6069,,8704,75.0,458400,89291
2020-10-13,23:01:00,,71,Palestine,5134106,45200,516.0,391,4.0,38841,613.0,5968,,8804,76.0,458400,89285
2020-10-14,23:01:00,,71,Palestine,5134431,45658,458.0,393,2.0,39304,463.0,5961,,8893,77.0,462497,90078
2020-10-15,14:09:00,11:06:00,71,Palestine,5134756,45658,0.0,393,0.0,39304,0.0,5961,,8892,77.0,462497,90072
2020-10-16,22:08:00,19:06:00,71,Palestine,5135081,46434,776.0,402,9.0,39921,617.0,6111,,9043,78.0,470987,91719
2020-10-17,23:01:00,19:58:00,71,Palestine,5135406,46746,312.0,402,0.0,40162,241.0,6182,,9103,78.0,473941,92289
2020-10-18,22:05:00,19:03:00,71,Palestine,5135731,47135,389.0,408,6.0,40498,336.0,6229,,9178,79.0,477477,92972
2020-10-19,22:05:00,18:59:00,71,Palestine,5136055,47616,481.0,413,5.0,40861,363.0,6342,,9271,80.0,481747,93797
2020-10-20,22:05:00,19:04:00,71,Palestine,5136380,48129,513.0,421,8.0,41455,594.0,6253,,9370,82.0,485716,94564
2020-10-21,22:05:00,19:03:00,71,Palestine,5136705,48628,499.0,427,6.0,41935,480.0,6266,,9467,83.0,485716,94558
2020-10-22,22:05:00,19:04:00,71,Palestine,5137030,49134,506.0,435,8.0,42544,609.0,6155,,9565,85.0,485716,94552
2020-10-23,22:05:00,19:02:00,71,Palestine,5137355,49579,445.0,439,4.0,42850,306.0,6290,,9651,85.0,489417,95266
2020-10-24,23:41:00,20:40:00,71,Palestine,5137680,49989,410.0,443,4.0,43232,382.0,6314,,9730,86.0,492887,95936
2020-10-25,23:00:00,20:58:00,71,Palestine,5138005,50442,453.0,448,5.0,43592,360.0,6402,,9817,87.0,497115,96753
2020-10-26,23:00:00,20:56:00,71,Palestine,5138329,50952,510.0,454,6.0,44055,463.0,6443,,9916,88.0,501343,97569
2020-10-27,23:00:00,20:58:00,71,Palestine,5138654,51528,576.0,458,4.0,44444,389.0,6626,,10028,89.0,505555,98383
2020-10-28,23:00:00,20:58:00,71,Palestine,5138979,51948,420.0,465,7.0,44985,541.0,6498,,10109,90.0,509783,99199
2020-10-29,23:00:00,20:57:00,71,Palestine,5139304,52571,623.0,473,8.0,45448,463.0,6650,,10229,92.0,514011,100016
2020-10-30,23:00:00,20:58:00,71,Palestine,5139629,53075,504.0,481,8.0,45896,448.0,6698,,10327,94.0,518239,100832
2020-10-31,23:00:00,20:59:00,71,Palestine,5139954,53520,445.0,483,2.0,46309,413.0,6728,,10413,94.0,522241,101604
2020-11-01,23:00:00,20:59:00,71,Palestine,5140279,54060,540.0,489,6.0,46773,464.0,6798,,10517,95.0,526294,102386
2020-11-02,23:00:00,20:57:00,71,Palestine,5140603,54775,715.0,493,4.0,47169,396.0,7113,,10655,96.0,530779,103252
2020-11-03,23:00:00,20:59:00,71,Palestine,5140928,55408,633.0,501,8.0,47744,575.0,7163,,10778,97.0,536243,104309
2020-11-04,23:00:00,20:57:00,71,Palestine,5141253,56090,682.0,504,3.0,48224,480.0,7362,,10910,98.0,541875,105397
2020-11-05,23:00:00,20:59:00,71,Palestine,5141578,56672,582.0,508,4.0,48680,456.0,7484,,11022,99.0,547323,106450
2020-11-06,23:00:00,20:58:00,71,Palestine,5141903,57226,554.0,511,3.0,49537,857.0,7178,,11129,99.0,551948,107343
2020-11-07,23:00:00,20:57:00,71,Palestine,5142228,57657,431.0,512,1.0,49975,438.0,7170,,11212,100.0,551948,107336
2020-11-08,23:00:00,20:49:00,71,Palestine,5142553,58158,501.0,515,3.0,50407,432.0,7236,,11309,100.0,551948,107330
2020-11-09,23:00:00,20:59:00,71,Palestine,5142878,58838,680.0,521,6.0,50877,470.0,7440,,11441,101.0,556989,108303
2020-11-10,23:00:00,20:59:00,71,Palestine,5143202,59422,584.0,533,12.0,51425,548.0,7464,,11554,104.0,561720,109216
2020-11-11,23:00:00,20:56:00,71,Palestine,5143527,60065,643.0,538,5.0,52226,801.0,7301,,11678,105.0,566826,110202
2020-11-12,23:00:00,20:59:00,71,Palestine,5143852,60784,719.0,542,4.0,52861,635.0,7381,,11817,105.0,571419,111088
2020-11-13,23:00:00,20:58:00,71,Palestine,5144177,61514,730.0,548,6.0,53367,506.0,7599,,11958,107.0,576065,111984
