scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,1969-12-31 23:59:59.999999999,34,Panama,4320353,66383,,1449,,40081,,24853,166,15365,335.0,226596,52448
2020-08-08,20:00:00,1969-12-31 23:59:59.999999999,34,Panama,4321467,72560,,1591,,46675,,24294,161,16791,368.0,244280,56527
2020-08-12,20:00:00,1969-12-31 23:59:59.999999999,34,Panama,4322210,76464,,1680,,50665,,24119,157,17691,389.0,255418,59094
2020-08-16,20:00:00,1969-12-31 23:59:59.999999999,34,Panama,4322953,80665,,1746,,53857,,25062,156,18660,404.0,268180,62036
2020-08-17,20:00:00,1969-12-31 23:59:59.999999999,34,Panama,4323139,81940,,1767,,55001,,25172,159,18954,409.0,271486,62798
2020-08-18,20:00:00,1969-12-31 23:59:59.999999999,34,Panama,4323325,82543,,1788,,55845,,24910,159,19092,414.0,273685,63304
2020-08-19,20:00:00,1969-12-31 23:59:59.999999999,34,Panama,4323510,82790,,1809,,57191,,23790,153,19149,418.0,276389,63927
2020-08-20,17:53:00,1969-12-31 23:59:59.999999999,34,Panama,4323696,83754,,1827,,58274,,23653,157,19371,423.0,282232,65276
2020-08-23,21:09:00,1969-12-31 23:59:59.999999999,34,Panama,4324253,85480,,1878,,60528,,23074,152,19768,434.0,297451,68787
2020-08-24,17:10:00,1969-12-31 23:59:59.999999999,34,Panama,4324439,86900,,1892,,61420,,23588,154,20095,438.0,305030,70536
2020-08-25,23:00:00,1969-12-31 23:59:59.999999999,34,Panama,4324625,87485,,1906,,62185,,23394,154,20229,441.0,308435,71321
2020-08-26,22:59:00,1969-12-31 23:59:59.999999999,34,Panama,4324810,88381,,1919,,62759,,23703,153,20436,444.0,313342,72452
2020-08-27,23:00:00,1969-12-31 23:59:59.999999999,34,Panama,4324996,89082,,1932,,63595,,23555,153,20597,447.0,317156,73331
2020-08-28,23:01:00,1969-12-31 23:59:59.999999999,34,Panama,4325182,89982,,1948,,63996,,24038,153,20804,450.0,321482,74328
2020-08-29,12:29:00,1969-12-31 23:59:59.999999999,34,Panama,4325367,90624,,1966,,64602,,24056,154,20952,455.0,326597,75507
2020-08-30,23:00:00,1969-12-31 23:59:59.999999999,34,Panama,4325553,91337,,1983,,65119,,24235,155,21116,458.0,326597,75504
2020-08-31,18:58:00,1969-12-31 23:59:59.999999999,34,Panama,4325739,92065,,1995,,65747,,24323,157,21283,461.0,334297,77281
2020-09-01,23:00:00,1969-12-31 23:59:59.999999999,34,Panama,4325925,92982,,2002,,66173,,24807,168,21494,463.0,339893,78571
2020-09-02,23:01:00,1969-12-31 23:59:59.999999999,34,Panama,4326110,93552,,2018,,66974,,24560,168,21625,466.0,343407,79380
2020-09-03,23:01:00,1969-12-31 23:59:59.999999999,34,Panama,4326296,94084,,2030,,67487,,24567,168,21747,469.0,347147,80241
2020-09-04,07:01:00,1969-12-31 23:59:59.999999999,34,Panama,4326482,94914,,2046,,68198,,24670,167,21938,473.0,350669,81052
2020-09-05,23:31:00,1969-12-31 23:59:59.999999999,34,Panama,4326667,95596,,2063,,68742,,24791,164,22095,477.0,350669,81048
2020-09-06,18:30:00,1969-12-31 23:59:59.999999999,34,Panama,4326853,96305,,2075,,69223,,25007,164,22258,480.0,361181,83474
2020-09-07,23:39:00,1969-12-31 23:59:59.999999999,34,Panama,4327039,97043,,2086,,69661,,25296,149,22427,482.0,366130,84614
2020-09-08,22:10:00,1969-12-31 23:59:59.999999999,34,Panama,4327225,97578,,2099,,70247,,25232,149,22550,485.0,369420,85371
2020-09-09,22:01:00,1969-12-31 23:59:59.999999999,34,Panama,4327410,98407,,2107,,70751,,25549,132,22740,487.0,374599,86564
2020-09-10,22:01:00,1969-12-31 23:59:59.999999999,34,Panama,4327596,99042,,2116,,71419,,25507,132,22886,489.0,379450,87681
2020-09-11,22:00:00,1969-12-31 23:59:59.999999999,34,Panama,4327782,99715,,2127,,72203,,25385,135,23041,491.0,384525,88850
2020-09-12,22:22:00,1969-12-31 23:59:59.999999999,34,Panama,4327967,100330,,2140,,72858,,25332,135,23182,494.0,389532,90003
2020-09-13,22:01:00,1969-12-31 23:59:59.999999999,34,Panama,4328153,101041,,2155,,73476,,25410,158,23345,498.0,394728,91200
2020-09-14,22:04:00,1969-12-31 23:59:59.999999999,34,Panama,4328339,101745,,2166,,74107,,25472,158,23507,500.0,399197,92229
2020-09-15,21:00:00,1969-12-31 23:59:59.999999999,34,Panama,4328525,102204,,2173,,74782,,25249,158,23612,502.0,402072,92889
