scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,80,Paraguay,7139894,5485,,52,,3786,,1647,12.0,768.0,7.0,128709,18027.0
2020-08-08,20:00:00,,80,Paraguay,7141330,6508,,69,,5123,,1316,25.0,911.0,10.0,136279,19083.0
2020-08-12,20:00:00,,80,Paraguay,7142287,7519,,86,,5326,,2107,33.0,1053.0,12.0,142394,19937.0
2020-08-16,20:00:00,,80,Paraguay,7143245,9381,,127,,5841,,3413,40.0,1313.0,18.0,151427,21199.0
2020-08-17,20:00:00,,80,Paraguay,7143484,9791,,138,,6034,,3619,46.0,1371.0,19.0,154392,21613.0
2020-08-18,20:00:00,,80,Paraguay,7143723,10135,,145,,6210,,3780,59.0,1419.0,20.0,156611,21923.0
2020-08-19,20:00:00,,80,Paraguay,7143963,10606,,161,,6402,,4043,54.0,1485.0,23.0,159666,22350.0
2020-08-20,17:53:00,,80,Paraguay,7144202,11133,,165,,6582,,4386,54.0,1558.0,23.0,162323,22721.0
2020-08-23,21:09:00,,80,Paraguay,7144920,12974,,192,,7197,,5585,64.0,1816.0,27.0,171552,24010.0
2020-08-24,17:10:00,,80,Paraguay,7145159,13233,,205,,7417,,5611,69.0,1852.0,29.0,173340,24260.0
2020-08-25,23:00:00,,80,Paraguay,7145399,13602,,219,,7649,,5734,66.0,1904.0,31.0,175652,24583.0
2020-08-26,22:59:00,,80,Paraguay,7145638,14228,,231,,7883,,6114,68.0,1991.0,32.0,177771,24878.0
2020-08-27,23:00:00,,80,Paraguay,7145877,14872,,247,,8134,,6491,67.0,2081.0,35.0,180606,25274.0
2020-08-28,23:01:00,,80,Paraguay,7146117,15290,,265,,8348,,6677,71.0,2140.0,37.0,182791,25579.0
2020-08-29,12:29:00,,80,Paraguay,7146356,15873,,280,,8595,,6998,76.0,2221.0,39.0,185921,26016.0
2020-08-30,23:00:00,,80,Paraguay,7146595,16474,,294,,8854,,7326,85.0,2305.0,41.0,188559,26384.0
2020-08-31,18:58:00,,80,Paraguay,7146835,17105,,308,,9146,,7651,85.0,2393.0,43.0,190169,26609.0
2020-09-01,23:00:00,,80,Paraguay,7147074,17662,,326,,9421,,7915,83.0,2471.0,46.0,192465,26929.0
2020-09-02,23:01:00,,80,Paraguay,7147313,18338,,348,,9721,,8269,85.0,2566.0,49.0,195554,27360.0
2020-09-03,23:01:00,,80,Paraguay,7147553,19138,,358,,9981,,8799,87.0,2678.0,50.0,198620,27789.0
2020-09-04,07:01:00,,80,Paraguay,7147792,19959,,373,,10251,,9335,85.0,2792.0,52.0,201750,28225.0
2020-09-05,23:31:00,,80,Paraguay,7148031,20654,,398,,10523,,9733,87.0,2889.0,56.0,204220,28570.0
2020-09-06,18:30:00,,80,Paraguay,7148271,21871,,412,,10810,,10649,88.0,3060.0,58.0,206483,28886.0
2020-09-07,23:39:00,,80,Paraguay,7148510,22486,,435,,11133,,10918,96.0,3146.0,61.0,209202,29265.0
2020-09-08,22:10:00,,80,Paraguay,7148749,23353,,449,,11524,,11380,101.0,3267.0,63.0,211956,29649.0
2020-09-09,22:01:00,,80,Paraguay,7148989,24214,,463,,11920,,11831,108.0,3387.0,65.0,214976,30071.0
2020-09-10,22:01:00,,80,Paraguay,7149228,25026,,474,,12309,,12243,113.0,3501.0,66.0,217643,30443.0
2020-09-11,22:00:00,,80,Paraguay,7149468,25631,,485,,12729,,12417,129.0,3585.0,68.0,220293,30813.0
2020-09-12,22:22:00,,80,Paraguay,7149707,26512,,496,,13181,,12835,134.0,3708.0,69.0,223303,31232.0
2020-09-13,22:01:00,,80,Paraguay,7149946,27324,,514,,13679,,13131,134.0,3822.0,72.0,227011,31750.0
2020-09-14,22:04:00,,80,Paraguay,7150186,27817,,525,,14288,,13004,136.0,3890.0,73.0,229992,32166.0
2020-09-15,21:00:00,,80,Paraguay,7150425,28367,,539,,14814,,13014,144.0,3967.0,75.0,232515,32518.0
2020-09-16,21:01:00,,80,Paraguay,7150664,29298,,552,,15261,,13485,148.0,4097.0,77.0,235620,32951.0
2020-09-18,20:01:00,,80,Paraguay,7151143,31113,,584,,16313,,14216,137.0,4351.0,82.0,241837,33818.0
2020-09-19,21:00:00,,80,Paraguay,7151382,32127,,611,,16921,,14595,143.0,4492.0,85.0,245271,34297.0
2020-09-20,22:31:00,,80,Paraguay,7151622,33015,,636,,17535,,14844,144.0,4616.0,89.0,248376,34730.0
2020-09-21,21:01:00,,80,Paraguay,7151861,33520,,659,,18117,,14744,147.0,4687.0,92.0,250882,35079.0
2020-09-22,21:01:00,,80,Paraguay,7152100,34260,,676,,18629,,14955,149.0,4790.0,95.0,252943,35366.0
2020-09-23,19:58:00,,80,Paraguay,7152340,34828,,705,,19257,,14866,157.0,4869.0,99.0,255851,35772.0
2020-09-24,21:00:00,,80,Paraguay,7152579,35571,,727,,19867,,14977,157.0,4973.0,102.0,258828,36187.0
2020-09-25,21:00:00,,80,Paraguay,7152818,36404,,743,,20502,,15159,157.0,5089.0,104.0,261563,36568.0
2020-09-26,21:00:00,,80,Paraguay,7153058,37226,,761,,21117,,15348,165.0,5204.0,106.0,264031,36912.0
2020-09-27,22:45:00,,80,Paraguay,7153297,37922,,782,,21757,,15383,155.0,5301.0,109.0,267062,37334.0
2020-09-28,22:00:00,,80,Paraguay,7153536,38684,,803,,22419,,15462,154.0,5408.0,112.0,269710,37703.0
2020-09-29,21:35:00,,80,Paraguay,7153776,39432,,818,,23063,,15551,161.0,5512.0,114.0,272494,38091.0
2020-09-30,22:00:00,,80,Paraguay,7154015,40101,,841,,23748,,15512,160.0,5605.0,118.0,274555,38378.0
2020-10-01,21:31:00,,80,Paraguay,7154254,40758,,857,,24449,,15452,152.0,5697.0,120.0,277492,38787.0
2020-10-02,22:36:00,,80,Paraguay,7154494,41799,,869,,25167,,15763,150.0,5842.0,121.0,280909,39263.0
2020-10-03,22:24:00,,80,Paraguay,7154733,42684,,890,,25803,,15991,140.0,5966.0,124.0,283537,39629.0
2020-10-04,21:01:00,,80,Paraguay,7154972,43452,,913,,26512,,16027,143.0,6073.0,128.0,286262,40009.0
2020-10-05,22:13:00,,80,Paraguay,7155212,44182,,929,,27203,,16050,145.0,6175.0,130.0,288502,40321.0
2020-10-06,23:01:00,,80,Paraguay,7155451,44715,,947,,27887,,15881,152.0,6249.0,132.0,290507,40599.0
2020-10-07,23:01:00,,80,Paraguay,7155690,45647,,966,,28546,,16135,693.0,6379.0,135.0,293374,40999.0
2020-10-08,23:59:00,,80,Paraguay,7155930,46435,,989,,29270,,16176,151.0,6489.0,138.0,296536,41439.0
2020-10-09,23:00:00,,80,Paraguay,7156169,47316,,1012,,29976,,16328,143.0,6612.0,141.0,299557,41860.0
2020-10-10,23:00:00,,80,Paraguay,7156408,48275,,1045,,30643,,16587,144.0,6746.0,146.0,302657,42292.0
2020-10-12,23:10:00,,80,Paraguay,7156887,49675,,1077,,32090,,16508,144.0,6941.0,150.0,308443,43097.0
2020-10-13,23:01:00,,80,Paraguay,7157126,50344,,1096,,32751,,16497,146.0,7034.0,153.0,311326,43499.0
2020-10-14,23:01:00,,80,Paraguay,7157366,51197,,1108,,33325,,16764,156.0,7153.0,155.0,314053,43878.0
2020-10-15,14:09:00,11:06,80,Paraguay,7157605,51845,,1131,,33921,,16793,155.0,7243.0,158.0,317084,44300.0
2020-10-16,22:08:00,19:06,80,Paraguay,7157844,52596,,1150,,34427,,17019,149.0,7348.0,161.0,320006,44707.0
2020-10-17,23:01:00,19:58,80,Paraguay,7158084,53482,,1165,,34927,,17390,145.0,7472.0,163.0,322978,45121.0
2020-10-18,22:05:00,19:03,80,Paraguay,7158323,54015,,1179,,35524,,17312,145.0,7546.0,165.0,325909,45529.0
2020-10-19,22:05:00,18:59,80,Paraguay,7158562,54724,,1188,,36068,,17468,146.0,7645.0,166.0,328600,45903.0
2020-10-20,19:50:00,16:42,80,Paraguay,7158802,55452,,1207,,36663,,17582,143.0,7746.0,169.0,330854,46216.0
2020-10-20,22:05:00,19:04,80,Paraguay,7158802,55452,,1207,,36663,,17582,143.0,7746.0,169.0,330854,46216.0
2020-10-21,22:05:00,19:03,80,Paraguay,7159041,56073,,1231,,37167,,17675,135.0,7832.0,172.0,333885,46638.0
2020-10-22,22:05:00,19:04,80,Paraguay,7159281,56819,,1250,,37673,,17896,142.0,7936.0,175.0,336639,47021.0
