scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,38,Romania,19225767,53186,,2413,,27592,,23181,412,2766,126.0,1240273,64511
2020-08-08,20:00:00,,38,Romania,19223675,60623,7437.0,2659,246.0,29872,2280.0,28092,448,3154,138.0,1364759,70994
2020-08-12,20:00:00,,38,Romania,19222280,63762,3139.0,2764,105.0,30585,713.0,30413,485,3317,144.0,1404845,73084
2020-08-16,20:00:00,,38,Romania,19220885,70461,6699.0,2991,227.0,32587,2002.0,34883,479,3666,156.0,1513888,78763
2020-08-17,20:00:00,,38,Romania,19220536,71194,733.0,3029,38.0,32759,172.0,35406,497,3704,158.0,1520750,79121
2020-08-18,20:00:00,,38,Romania,19220188,72208,1014.0,3074,45.0,33135,376.0,35999,479,3757,160.0,1542094,80233
2020-08-19,20:00:00,,38,Romania,19219839,73617,1409.0,3106,32.0,33566,431.0,36945,480,3830,162.0,1566632,81511
2020-08-20,17:53:00,,38,Romania,19219490,74963,1346.0,3154,48.0,34196,630.0,37613,489,3900,164.0,1591015,82781
2020-08-23,21:09:00,,38,Romania,19218444,78505,3542.0,3272,118.0,35287,1091.0,39946,480,4085,170.0,1652644,85993
2020-08-24,17:10:00,,38,Romania,19218095,79330,825.0,3309,37.0,35517,230.0,40504,494,4128,172.0,1659135,86332
2020-08-25,23:00:00,,38,Romania,19217747,80390,1060.0,3367,58.0,35816,299.0,41207,490,4183,175.0,1679614,87399
2020-08-26,22:59:00,,38,Romania,19217398,81646,1256.0,3421,54.0,36286,470.0,41939,502,4249,178.0,1705368,88741
2020-08-27,23:00:00,,38,Romania,19217049,83150,1504.0,3459,38.0,36677,391.0,43014,492,4327,180.0,1730420,90046
2020-08-28,23:01:00,,38,Romania,19216700,84468,1318.0,3507,48.0,37056,379.0,43905,497,4396,182.0,1756920,91427
2020-08-29,12:29:00,,38,Romania,19216352,84468,0.0,3507,0.0,37056,0.0,43905,497,4396,183.0,1756920,91428
2020-08-30,23:00:00,,38,Romania,19216003,86785,2317.0,3578,71.0,37665,609.0,45542,492,4516,186.0,1795633,93445
2020-08-31,18:58:00,,38,Romania,19215654,87540,755.0,3621,43.0,37869,204.0,46050,506,4556,188.0,1802946,93827
2020-09-01,23:00:00,,38,Romania,19215305,88593,1053.0,3681,60.0,38454,585.0,46458,522,4611,192.0,1825272,94991
2020-09-02,23:01:00,,38,Romania,19214957,89891,1298.0,3721,40.0,38701,247.0,47469,519,4678,194.0,1852088,96388
2020-09-03,23:01:00,,38,Romania,19214608,91256,1365.0,3765,44.0,39275,574.0,48216,503,4749,196.0,1876063,97637
2020-09-04,07:01:00,,38,Romania,19214259,91256,0.0,3765,0.0,39275,0.0,48216,503,4749,196.0,1876063,97639
2020-09-05,23:31:00,,38,Romania,19213911,93864,2608.0,3850,85.0,40028,753.0,49986,476,4885,200.0,1923620,100116
2020-09-06,18:30:00,,38,Romania,19213562,95014,1150.0,3893,43.0,40307,279.0,50814,474,4945,203.0,1938491,100892
2020-09-07,23:39:00,,38,Romania,19213213,95897,883.0,3926,33.0,40454,147.0,51517,465,4991,204.0,1945738,101271
2020-09-08,22:10:00,,38,Romania,19212864,97033,1136.0,3967,41.0,40838,384.0,52228,460,5050,206.0,1966290,102342
2020-09-09,22:01:00,,38,Romania,19212516,98304,1271.0,4018,51.0,41002,164.0,53284,459,5117,209.0,1990587,103609
2020-09-10,22:01:00,,38,Romania,19212167,99684,1380.0,4065,47.0,41010,8.0,54609,459,5189,212.0,2015772,104922
2020-09-11,22:00:00,,38,Romania,19211818,101075,1391.0,4100,35.0,41010,0.0,55965,478,5261,213.0,2041921,106285
2020-09-12,22:22:00,,38,Romania,19211470,102386,1311.0,4127,27.0,42811,1801.0,55448,467,5329,215.0,2066860,107585
2020-09-13,22:01:00,,38,Romania,19211121,103495,1109.0,4163,36.0,43025,214.0,56307,465,5387,217.0,2081644,108356
2020-09-14,22:04:00,,38,Romania,19210772,104187,692.0,4185,22.0,43244,219.0,56758,456,5423,218.0,2088975,108740
2020-09-15,21:00:00,,38,Romania,19210423,105298,1111.0,4236,51.0,43244,0.0,57818,460,5481,221.0,2110024,109837
2020-09-16,21:01:00,,38,Romania,19210075,107011,1713.0,4285,49.0,43244,0.0,59482,471,5571,223.0,2136544,111220
2020-09-18,20:01:00,,38,Romania,19209377,110217,3206.0,4360,75.0,88235,44991.0,17622,447,5738,227.0,2185923,113795
2020-09-19,21:00:00,,38,Romania,19209029,111550,1333.0,4402,42.0,89119,884.0,18029,461,5807,229.0,2210071,115054
2020-09-20,22:31:00,,38,Romania,19208680,112781,1231.0,4435,33.0,89771,652.0,18575,470,5871,231.0,2223462,115753
2020-09-21,21:01:00,,38,Romania,19208331,113589,808.0,4458,23.0,90649,878.0,18482,464,5914,232.0,2231402,116168
2020-09-22,21:01:00,,38,Romania,19207982,114648,1059.0,4503,45.0,92169,1520.0,17976,496,5969,234.0,2253380,117315
2020-09-23,19:58:00,,38,Romania,19207634,116415,1767.0,4550,47.0,93558,1389.0,18307,498,6061,237.0,2278125,118605
2020-09-24,21:00:00,,38,Romania,19207285,118054,1639.0,4591,41.0,94877,1319.0,18586,506,6146,239.0,2302828,119893
2020-09-25,21:00:00,,38,Romania,19206936,119683,1629.0,4633,42.0,96158,1281.0,18892,508,6231,241.0,2328322,121223
2020-09-26,21:00:00,,38,Romania,19206588,121235,1552.0,4687,54.0,97554,1396.0,18994,512,6312,244.0,2352650,122492
2020-09-27,22:45:00,,38,Romania,19206239,122673,1438.0,4718,31.0,98607,1053.0,19348,535,6387,246.0,2366178,123198
2020-09-28,22:00:00,,38,Romania,19205890,123944,1271.0,4748,30.0,99344,737.0,19852,557,6453,247.0,2372340,123521
2020-09-29,21:35:00,,38,Romania,19205541,125414,1470.0,4792,44.0,100636,1292.0,19986,551,6530,250.0,2393670,124634
2020-09-30,22:00:00,,38,Romania,19205193,127572,2158.0,4825,33.0,102476,1840.0,20271,550,6643,251.0,2419691,125991
2020-10-01,21:31:00,,38,Romania,19204844,129658,2086.0,4862,37.0,103994,1518.0,20802,557,6751,253.0,2445488,127337
2020-10-02,22:36:00,,38,Romania,19204495,132001,2343.0,4915,53.0,105582,1588.0,21504,571,6873,256.0,2471499,128694
2020-10-03,22:24:00,,38,Romania,19204146,134065,2064.0,4947,32.0,107058,1476.0,22060,583,6981,258.0,2496439,129995
2020-10-04,21:01:00,,38,Romania,19203798,135900,1835.0,5003,56.0,108135,1077.0,22762,598,7077,261.0,2510209,130714
2020-10-05,22:13:00,,38,Romania,19203449,137491,1591.0,5048,45.0,108526,391.0,23917,592,7160,263.0,2516746,131057
2020-10-06,23:01:00,,38,Romania,19203100,139612,2121.0,5121,73.0,109898,1372.0,24593,608,7270,267.0,2540222,132282
2020-10-07,23:01:00,,38,Romania,19202752,142570,2958.0,5203,82.0,111564,1666.0,25803,612,7424,271.0,2568071,133735
2020-10-08,23:59:00,,38,Romania,19202403,145700,3130.0,5247,44.0,113112,1548.0,27341,607,7588,273.0,2598262,135309
2020-10-09,23:00:00,,38,Romania,19202054,148886,3186.0,5299,52.0,114792,1680.0,28795,613,7754,276.0,2627544,136837
2020-10-10,23:00:00,,38,Romania,19201705,152403,3517.0,5358,59.0,116628,1836.0,30417,629,7937,279.0,2656828,138364
2020-10-12,23:10:00,,38,Romania,19201008,157352,4949.0,5467,109.0,118912,2284.0,32973,628,8195,285.0,2682588,139711
2020-10-13,23:01:00,,38,Romania,19200659,160461,3109.0,5535,68.0,120515,1603.0,34411,651,8357,288.0,2709306,141105
2020-10-14,23:01:00,,38,Romania,19200311,164477,4016.0,5601,66.0,122714,2199.0,36162,686,8566,292.0,2740624,142739
2020-10-15,14:09:00,11:06:00,38,Romania,19199962,168490,4013.0,5674,73.0,125009,2295.0,37807,721,8776,296.0,2770481,144296
2020-10-16,22:08:00,19:06:00,38,Romania,19199613,172516,4026.0,5749,75.0,127076,2067.0,39691,726,8985,299.0,2800912,145884
2020-10-17,23:01:00,19:58:00,38,Romania,19199264,176468,3952.0,5812,63.0,129556,2480.0,41100,745,9191,303.0,2832679,147541
2020-10-18,22:05:00,19:03:00,38,Romania,19198916,180388,3920.0,5872,60.0,130894,1338.0,43622,749,9396,306.0,2852186,148560
2020-10-19,22:05:00,18:59:00,38,Romania,19198567,182854,2466.0,5931,59.0,132082,1188.0,44841,757,9524,309.0,2860226,148981
2020-10-20,22:05:00,19:04:00,38,Romania,19198218,186254,3400.0,5996,65.0,134395,2313.0,45863,768,9702,312.0,2890071,150539
2020-10-21,22:05:00,19:03:00,38,Romania,19197870,191102,4848.0,6065,69.0,137835,3440.0,47202,766,9954,316.0,2927096,152470
2020-10-22,22:05:00,19:04:00,38,Romania,19197521,196004,4902.0,6163,98.0,141089,3254.0,48752,778,10210,321.0,2961562,154268
2020-10-23,22:05:00,19:02:00,38,Romania,19197172,201032,5028.0,6245,82.0,144429,3340.0,50358,782,10472,325.0,3002800,156419
2020-10-24,23:41:00,20:40:00,38,Romania,19196823,205793,4761.0,6318,73.0,147932,3503.0,51543,787,10720,329.0,3036643,158185
2020-10-25,23:00:00,20:58:00,38,Romania,19196475,209648,3855.0,6391,73.0,149741,1809.0,53516,828,10921,333.0,3055989,159195
2020-10-26,23:00:00,20:56:00,38,Romania,19196126,212492,2844.0,6470,79.0,151811,2070.0,54211,823,11070,337.0,3064698,159652
2020-10-27,23:00:00,20:58:00,38,Romania,19195777,217216,4724.0,6574,104.0,155630,3819.0,55012,824,11316,342.0,3096526,161313
2020-10-28,23:00:00,20:58:00,38,Romania,19195429,222559,5343.0,6681,107.0,159855,4225.0,56023,861,11594,348.0,3133809,163258
2020-10-29,23:00:00,20:57:00,38,Romania,19195080,229040,6481.0,6764,83.0,163852,3997.0,58424,868,11932,352.0,3169978,165145
2020-10-30,23:00:00,20:58:00,38,Romania,19194731,235586,6546.0,6867,103.0,167897,4045.0,60822,917,12273,358.0,3206567,167055
2020-10-31,23:00:00,20:59:00,38,Romania,19194382,241339,5753.0,6968,101.0,172513,4616.0,61858,923,12573,363.0,3242748,168943
2020-11-01,23:00:00,20:59:00,38,Romania,19194034,246663,5324.0,7067,99.0,175975,3462.0,63621,910,12851,368.0,3264304,170069
