scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,153,Réunion,895864,664,,4,,592,,68,4.0,741.0,4.0,35419,39536.0
2020-08-08,20:00:00,,153,Réunion,895969,675,,5,,631,,39,1.0,753.0,6.0,35419,39532.0
2020-08-12,20:00:00,,153,Réunion,896039,702,,5,,631,,66,4.0,783.0,6.0,35419,39528.0
2020-08-16,20:00:00,,153,Réunion,896108,816,,5,,657,,154,4.0,911.0,6.0,35419,39525.0
2020-08-17,20:00:00,,153,Réunion,896126,880,25.0,5,,657,,218,4.0,982.0,6.0,35419,39525.0
2020-08-18,20:00:00,,153,Réunion,896143,880,,5,,657,,218,4.0,982.0,6.0,35419,39524.0
2020-08-19,20:00:00,,153,Réunion,896161,903,,5,,657,,241,4.0,1008.0,6.0,35419,39523.0
2020-08-20,17:53:00,,153,Réunion,896178,945,,5,,657,,283,3.0,1054.0,6.0,35419,39522.0
2020-08-23,21:09:00,,153,Réunion,896231,1209,92.0,6,,692,,511,3.0,1349.0,7.0,35419,39520.0
2020-08-24,17:10:00,,153,Réunion,896248,1209,,6,,692,,511,3.0,1349.0,7.0,35419,39519.0
2020-08-25,23:00:00,,153,Réunion,896265,1244,,6,,692,,546,3.0,1388.0,7.0,35419,39518.0
2020-08-26,22:59:00,,153,Réunion,896283,1372,80.0,6,,692,,674,3.0,1531.0,7.0,35419,39518.0
2020-08-27,23:00:00,,153,Réunion,896300,1410,38.0,6,,692,,712,2.0,1573.0,7.0,35419,39517.0
2020-08-28,23:01:00,,153,Réunion,896318,1487,77.0,6,,692,,789,2.0,1659.0,7.0,35419,39516.0
2020-08-29,12:29:00,,153,Réunion,896335,1487,,6,,692,,789,2.0,1659.0,7.0,35419,39515.0
2020-08-30,23:00:00,,153,Réunion,896353,1634,77.0,6,,880,,748,2.0,1823.0,7.0,35419,39515.0
2020-08-31,18:58:00,,153,Réunion,896370,1634,,9,,880,,745,2.0,1823.0,10.0,35419,39514.0
2020-09-01,23:00:00,,153,Réunion,896387,1714,35.0,9,,880,,825,2.0,1912.0,10.0,35419,39513.0
2020-09-02,23:01:00,,153,Réunion,896405,1796,82.0,10,1.0,880,,906,2.0,2004.0,11.0,35419,39512.0
2020-09-03,23:01:00,,153,Réunion,896422,1912,116.0,10,,880,,1022,2.0,2133.0,11.0,35419,39512.0
2020-09-04,07:01:00,,153,Réunion,896440,1912,,10,,880,,1022,2.0,2133.0,11.0,35419,39511.0
2020-09-05,23:31:00,,153,Réunion,896457,2115,113.0,11,1.0,1313,433.0,791,,2359.0,12.0,35419,39510.0
2020-09-06,18:30:00,,153,Réunion,896475,2115,,11,,1313,,791,,2359.0,12.0,35419,39509.0
2020-09-07,23:39:00,,153,Réunion,896492,2277,55.0,13,,1313,,951,,2540.0,15.0,35419,39508.0
2020-09-08,22:10:00,,153,Réunion,896509,2346,69.0,13,,1313,,1020,,2617.0,15.0,35419,39508.0
2020-09-10,22:01:00,,153,Réunion,896544,2510,94.0,13,,1313,,1184,,2800.0,15.0,35419,39506.0
2020-09-11,22:00:00,,153,Réunion,896562,2623,113.0,14,1.0,1313,,1296,,2926.0,16.0,35419,39505.0
2020-09-12,22:22:00,,153,Réunion,896579,2723,100.0,14,,1313,,1396,,3037.0,16.0,35419,39505.0
2020-09-13,22:01:00,,153,Réunion,896597,2805,82.0,15,1.0,1313,,1477,,3128.0,17.0,35419,39504.0
2020-09-14,22:04:00,,153,Réunion,896614,2872,67.0,15,,1313,,1544,,3203.0,17.0,35419,39503.0
2020-09-15,21:00:00,,153,Réunion,896631,2902,30.0,15,,1313,,1574,,3237.0,17.0,35419,39502.0
2020-09-16,21:01:00,,153,Réunion,896649,3002,100.0,15,,1313,,1674,,3348.0,17.0,35419,39502.0
2020-09-18,20:01:00,,153,Réunion,896684,3099,,15,,1794,,1290,,3456.0,17.0,35419,39500.0
2020-09-19,21:00:00,,153,Réunion,896701,3194,,15,,1794,,1385,,3562.0,17.0,35419,39499.0
2020-09-20,22:31:00,,153,Réunion,896719,3194,,15,,2482,,697,,3562.0,17.0,35419,39498.0
2020-09-21,21:01:00,,153,Réunion,896736,3415,73.0,15,,2482,,918,,3808.0,17.0,35419,39498.0
2020-09-22,21:01:00,,153,Réunion,896753,3415,,15,,2482,,918,,3808.0,17.0,35419,39497.0
2020-09-23,19:58:00,,153,Réunion,896771,3415,,15,,2482,,918,,3808.0,17.0,35419,39496.0
2020-09-24,21:00:00,,153,Réunion,896788,3501,,11,,2482,,1008,,3904.0,12.0,35419,39495.0
2020-09-25,21:00:00,,153,Réunion,896806,3501,,11,,2482,,1008,,3904.0,12.0,35419,39495.0
2020-09-26,21:00:00,,153,Réunion,896823,3685,,11,,2819,,855,,4109.0,12.0,35419,39494.0
2020-09-27,22:45:00,,153,Réunion,896841,3685,,11,,2819,,855,17.0,4109.0,12.0,35419,39493.0
2020-09-28,22:00:00,,153,Réunion,896858,3882,197.0,14,3.0,2819,,1049,17.0,4328.0,16.0,35419,39492.0
2020-09-29,21:35:00,,153,Réunion,896875,3882,,14,,2819,,1049,17.0,4328.0,16.0,35419,39492.0
2020-09-30,22:00:00,,153,Réunion,896893,3993,111.0,16,2.0,2819,,1158,17.0,4452.0,18.0,35419,39491.0
2020-10-01,21:31:00,,153,Réunion,896910,3993,,16,,2819,,1158,17.0,4452.0,18.0,35419,39490.0
2020-10-02,22:36:00,,153,Réunion,896928,3993,,16,,2819,,1158,17.0,4452.0,18.0,35419,39489.0
2020-10-03,22:24:00,,153,Réunion,896945,4178,,16,,3360,,802,17.0,4658.0,18.0,35419,39488.0
2020-10-04,21:01:00,,153,Réunion,896963,4178,,16,,3360,,802,17.0,4658.0,18.0,35419,39488.0
2020-10-05,22:13:00,,153,Réunion,896980,4328,150.0,16,,3360,,952,17.0,4825.0,18.0,35419,39487.0
2020-10-06,23:01:00,,153,Réunion,896997,4328,,16,,3360,,952,17.0,4825.0,18.0,35419,39486.0
2020-10-07,23:01:00,,153,Réunion,897015,4385,57.0,16,,3360,,1009,17.0,4888.0,18.0,35419,39485.0
2020-10-08,23:59:00,,153,Réunion,897032,4385,,16,,3360,,1009,17.0,4888.0,18.0,35419,39485.0
2020-10-09,23:00:00,,153,Réunion,897050,4491,106.0,16,,3994,634.0,481,17.0,5006.0,18.0,35419,39484.0
2020-10-10,23:00:00,,153,Réunion,897067,4491,,16,,3994,,481,17.0,5006.0,18.0,35419,39483.0
2020-10-12,23:10:00,,153,Réunion,897102,4624,133.0,17,1.0,3994,,613,17.0,5154.0,19.0,35419,39482.0
2020-10-13,23:01:00,,153,Réunion,897119,4624,,17,,3994,,613,17.0,5154.0,19.0,35419,39481.0
2020-10-14,23:01:00,,153,Réunion,897137,4678,54.0,17,,3994,,667,17.0,5214.0,19.0,35419,39480.0
2020-10-15,14:09:00,11:06,153,Réunion,897154,4678,,17,,3994,,667,17.0,5214.0,19.0,35419,39479.0
2020-10-16,22:08:00,19:06,153,Réunion,897172,4776,98.0,17,,4445,451.0,314,17.0,5323.0,19.0,35419,39478.0
