scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,74,S. Korea,51273132,14366,,301,,13259,,806,13,280,6.0,1576246,30742
2020-08-08,20:00:00,,74,S. Korea,51273852,14562,196.0,304,3.0,13629,370.0,629,17,284,6.0,1620514,31605
2020-08-12,20:00:00,,74,S. Korea,51274333,14714,152.0,305,1.0,13786,157.0,623,15,287,6.0,1646652,32115
2020-08-16,20:00:00,,74,S. Korea,51274814,15318,604.0,305,0.0,13910,124.0,1103,13,299,6.0,1681787,32799
2020-08-17,20:00:00,,74,S. Korea,51274934,15515,197.0,305,0.0,13917,7.0,1293,13,303,6.0,1688470,32930
2020-08-18,20:00:00,,74,S. Korea,51275054,15761,246.0,306,1.0,13934,17.0,1521,9,307,6.0,1697042,33097
2020-08-19,20:00:00,,74,S. Korea,51275174,16058,297.0,306,0.0,14006,72.0,1746,12,313,6.0,1715064,33448
2020-08-20,17:53:00,,74,S. Korea,51275294,16346,288.0,307,1.0,14063,57.0,1976,12,319,6.0,1734083,33819
2020-08-23,21:09:00,,74,S. Korea,51275655,17399,1053.0,309,2.0,14200,137.0,2890,30,339,6.0,1791186,34932
2020-08-24,17:10:00,,74,S. Korea,51275775,17665,266.0,309,0.0,14219,19.0,3137,32,345,6.0,1804422,35191
2020-08-25,23:00:00,,74,S. Korea,51275895,17945,280.0,310,1.0,14286,67.0,3349,38,350,6.0,1825837,35608
2020-08-26,22:59:00,,74,S. Korea,51276015,18265,320.0,312,2.0,14368,82.0,3585,43,356,6.0,1849506,36070
2020-08-27,23:00:00,,74,S. Korea,51276136,18706,441.0,313,1.0,14461,93.0,3932,46,365,6.0,1869579,36461
2020-08-28,23:01:00,,74,S. Korea,51276256,19077,371.0,316,3.0,14551,90.0,4210,58,372,6.0,1887717,36815
2020-08-29,12:29:00,,74,S. Korea,51276376,19400,323.0,321,5.0,14765,214.0,4314,64,378,6.0,1909329,37236
2020-08-30,23:00:00,,74,S. Korea,51276496,19699,299.0,323,2.0,14903,138.0,4473,70,384,6.0,1924170,37525
2020-08-31,18:58:00,,74,S. Korea,51276616,19947,248.0,324,1.0,14973,70.0,4650,79,389,6.0,1937689,37789
2020-09-01,23:00:00,,74,S. Korea,51276736,20182,235.0,324,0.0,15198,225.0,4660,104,394,6.0,1959080,38206
2020-09-02,23:01:00,,74,S. Korea,51276856,20449,267.0,326,2.0,15356,158.0,4767,124,399,6.0,1980295,38620
2020-09-03,23:01:00,,74,S. Korea,51276977,20644,195.0,329,3.0,15529,173.0,4786,154,403,6.0,2000552,39015
2020-09-04,07:01:00,,74,S. Korea,51277097,20842,198.0,331,2.0,15783,254.0,4728,157,406,6.0,2018906,39372
