scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-02,20:00:00,2020-08-02,,204,Saint Kitts and Nevis,53232,17,,,,16,,1,,319,,1026,19274,1
2020-08-08,20:00:00,2020-08-08,,204,Saint Kitts and Nevis,53238,17,,,,16,,1,,319,,1168,21939,1
2020-08-12,20:00:00,2020-08-12,,204,Saint Kitts and Nevis,53242,17,,,,17,,0,,319,,1294,24304,1
2020-08-16,20:00:00,2020-08-16,,204,Saint Kitts and Nevis,53246,17,,,,17,,0,,319,,1312,24640,1
2020-08-17,20:00:00,2020-08-17,,204,Saint Kitts and Nevis,53247,17,,,,17,,0,,319,,1312,24640,1
2020-08-18,20:00:00,2020-08-18,,204,Saint Kitts and Nevis,53248,17,,,,17,,0,,319,,1312,24639,1
2020-08-19,20:00:00,2020-08-19,,204,Saint Kitts and Nevis,53249,17,,,,17,,0,,319,,1385,26010,1
2020-08-20,17:53:00,2020-08-20,,204,Saint Kitts and Nevis,53250,17,,,,17,,0,,319,,1385,26009,1
2020-08-23,21:09:00,2020-08-23,,204,Saint Kitts and Nevis,53253,17,,,,17,,0,,319,,1430,26853,1
2020-08-24,17:10:00,2020-08-24,,204,Saint Kitts and Nevis,53254,17,,,,17,,0,,319,,1430,26852,1
2020-08-25,23:00:00,2020-08-25,,204,Saint Kitts and Nevis,53255,17,,,,17,,0,,319,,1430,26852,1
2020-08-26,22:59:00,2020-08-26,,204,Saint Kitts and Nevis,53256,17,,,,17,,0,,319,,1430,26851,1
2020-08-27,23:00:00,2020-08-27,,204,Saint Kitts and Nevis,53257,17,,,,17,,0,,319,,1430,26851,1
2020-08-28,23:01:00,2020-08-28,,204,Saint Kitts and Nevis,53258,17,,,,17,,0,,319,,1430,26850,1
2020-08-29,12:29:00,2020-08-29,,204,Saint Kitts and Nevis,53259,17,,,,17,,0,,319,,1430,26850,1
2020-08-30,23:00:00,2020-08-30,,204,Saint Kitts and Nevis,53260,17,,,,17,,0,,319,,1564,29365,1
2020-08-31,18:58:00,2020-08-31,,204,Saint Kitts and Nevis,53261,17,,,,17,,0,,319,,1564,29365,1
2020-09-01,23:00:00,2020-09-01,,204,Saint Kitts and Nevis,53262,17,,,,17,,0,,319,,1564,29364,1
2020-09-02,23:01:00,2020-09-02,,204,Saint Kitts and Nevis,53263,17,,,,17,,0,,319,,1564,29364,1
2020-09-03,23:01:00,2020-09-03,,204,Saint Kitts and Nevis,53264,17,,,,17,,0,,319,,1635,30696,1
2020-09-04,07:01:00,2020-09-04,,204,Saint Kitts and Nevis,53265,17,,,,17,,0,,319,,1635,30696,1
2020-09-05,23:31:00,2020-09-05,,204,Saint Kitts and Nevis,53266,17,,,,17,,0,,319,,1635,30695,1
2020-09-06,18:30:00,2020-09-06,,204,Saint Kitts and Nevis,53267,17,,,,17,,0,,319,,1635,30694,1
2020-09-07,23:39:00,2020-09-07,,204,Saint Kitts and Nevis,53269,17,,,,17,,0,,319,,1635,30693,1
2020-09-08,22:10:00,2020-09-08,,204,Saint Kitts and Nevis,53270,17,,,,17,,0,,319,,1635,30693,1
2020-09-10,22:01:00,2020-09-10,,204,Saint Kitts and Nevis,53272,17,,,,17,,0,,319,,1897,35610,1
2020-09-11,22:00:00,2020-09-11,,204,Saint Kitts and Nevis,53273,17,,,,17,,0,,319,,1897,35609,1
2020-09-12,22:22:00,2020-09-12,,204,Saint Kitts and Nevis,53274,17,,,,17,,0,,319,,1922,36078,1
2020-09-13,22:01:00,2020-09-13,,204,Saint Kitts and Nevis,53275,17,,,,17,,0,,319,,1922,36077,1
2020-09-14,22:04:00,2020-09-14,,204,Saint Kitts and Nevis,53276,17,,,,17,,0,,319,,1922,36076,1
2020-09-15,21:00:00,2020-09-15,,204,Saint Kitts and Nevis,53277,17,,,,17,,0,,319,,1922,36076,1
2020-09-16,21:01:00,2020-09-16,,204,Saint Kitts and Nevis,53278,17,,,,17,,0,,319,,1948,36563,1
2020-09-18,20:01:00,2020-09-18,,204,Saint Kitts and Nevis,53280,17,,,,17,,0,,319,,2138,40128,1
2020-09-19,21:00:00,2020-09-19,,204,Saint Kitts and Nevis,53281,17,,,,17,,0,,319,,2138,40127,1
2020-09-20,22:31:00,2020-09-20,,204,Saint Kitts and Nevis,53282,17,,,,17,,0,,319,,2138,40126,1
2020-09-21,21:01:00,2020-09-21,,204,Saint Kitts and Nevis,53283,19,2.0,,,17,,2,,357,,2138,40125,1
2020-09-22,21:01:00,2020-09-22,,204,Saint Kitts and Nevis,53284,19,,,,17,,2,,357,,2138,40125,1
2020-09-23,19:58:00,2020-09-23,,204,Saint Kitts and Nevis,53285,19,,,,17,,2,,357,,2138,40124,1
2020-09-24,21:00:00,2020-09-24,,204,Saint Kitts and Nevis,53286,19,,,,17,,2,,357,,2138,40123,1
2020-09-25,21:00:00,2020-09-25,,204,Saint Kitts and Nevis,53287,19,,,,17,,2,,357,,2332,43763,1
2020-09-26,21:00:00,2020-09-26,,204,Saint Kitts and Nevis,53288,19,,,,17,,2,,357,,2337,43856,1
2020-09-27,22:45:00,2020-09-27,,204,Saint Kitts and Nevis,53289,19,,,,17,,2,,357,,2337,43855,1
2020-09-28,22:00:00,2020-09-28,,204,Saint Kitts and Nevis,53290,19,,,,17,,2,,357,,2337,43854,1
