scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,184,Saint Martin,38720,53,,3,,41,,9,1,1369,77.0,1183,30553
2020-08-08,20:00:00,,184,Saint Martin,38731,53,0.0,3,0.0,41,0.0,9,1,1368,77.0,1183,30544
2020-08-12,20:00:00,,184,Saint Martin,38738,84,31.0,4,1.0,44,3.0,36,1,2168,103.0,1899,49022
2020-08-16,20:00:00,,184,Saint Martin,38745,109,25.0,4,0.0,49,5.0,56,1,2813,103.0,2321,59905
2020-08-17,20:00:00,,184,Saint Martin,38747,109,0.0,4,0.0,49,0.0,56,1,2813,103.0,2321,59901
2020-08-18,20:00:00,,184,Saint Martin,38749,121,12.0,5,1.0,49,0.0,67,1,3123,129.0,2449,63202
2020-08-19,20:00:00,,184,Saint Martin,38750,121,0.0,5,0.0,49,0.0,67,1,3123,129.0,2449,63200
2020-08-20,17:53:00,,184,Saint Martin,38752,121,0.0,5,0.0,49,0.0,67,1,3122,129.0,2449,63197
2020-08-23,21:09:00,,184,Saint Martin,38758,176,55.0,5,0.0,52,3.0,119,1,4541,129.0,2449,63187
2020-08-24,17:10:00,,184,Saint Martin,38759,176,0.0,5,0.0,52,0.0,119,11,4541,129.0,2449,63185
2020-08-25,23:00:00,,184,Saint Martin,38761,176,0.0,5,0.0,52,0.0,119,11,4541,129.0,2449,63182
2020-08-26,22:59:00,,184,Saint Martin,38763,198,22.0,5,0.0,52,0.0,141,11,5108,129.0,2756,71099
2020-08-27,23:00:00,,184,Saint Martin,38765,198,0.0,5,0.0,52,0.0,141,11,5108,129.0,2756,71095
2020-08-28,23:01:00,,184,Saint Martin,38767,198,0.0,5,0.0,52,0.0,141,11,5107,129.0,2756,71091
2020-08-29,12:29:00,,184,Saint Martin,38768,213,15.0,5,0.0,79,27.0,129,11,5494,129.0,2756,71090
2020-08-30,23:00:00,,184,Saint Martin,38770,213,0.0,5,0.0,79,0.0,129,11,5494,129.0,2756,71086
2020-08-31,18:58:00,,184,Saint Martin,38772,213,0.0,5,0.0,79,0.0,129,11,5494,129.0,2756,71082
2020-09-01,23:00:00,,184,Saint Martin,38774,213,0.0,5,0.0,79,0.0,129,11,5493,129.0,2756,71079
2020-09-02,23:01:00,,184,Saint Martin,38776,213,0.0,5,0.0,79,0.0,129,11,5493,129.0,2756,71075
2020-09-03,23:01:00,,184,Saint Martin,38778,239,26.0,6,1.0,79,0.0,154,11,6163,155.0,2968,76538
2020-09-04,07:01:00,,184,Saint Martin,38779,239,0.0,6,0.0,79,0.0,154,11,6163,155.0,2968,76536
2020-09-05,23:31:00,,184,Saint Martin,38781,239,0.0,6,0.0,79,0.0,154,11,6163,155.0,2968,76532
2020-09-06,18:30:00,,184,Saint Martin,38783,239,0.0,6,0.0,79,0.0,154,11,6162,155.0,2968,76528
2020-09-07,23:39:00,,184,Saint Martin,38785,239,0.0,6,0.0,79,0.0,154,11,6162,155.0,2968,76524
2020-09-08,22:10:00,,184,Saint Martin,38787,239,0.0,6,0.0,79,0.0,154,11,6162,155.0,2968,76520
2020-09-10,22:01:00,,184,Saint Martin,38790,256,17.0,6,0.0,107,28.0,143,11,6600,155.0,2968,76515
2020-09-11,22:00:00,,184,Saint Martin,38792,256,0.0,6,0.0,107,0.0,143,11,6599,155.0,2968,76511
2020-09-12,22:22:00,,184,Saint Martin,38794,256,0.0,6,0.0,107,0.0,143,11,6599,155.0,2968,76507
2020-09-13,22:01:00,,184,Saint Martin,38796,256,0.0,6,0.0,107,0.0,143,11,6599,155.0,2968,76503
2020-09-14,22:04:00,,184,Saint Martin,38797,256,0.0,6,0.0,107,0.0,143,11,6598,155.0,2968,76501
2020-09-15,21:00:00,,184,Saint Martin,38799,330,74.0,6,0.0,206,99.0,118,11,8505,155.0,2968,76497
2020-09-16,21:01:00,,184,Saint Martin,38801,330,0.0,6,0.0,206,0.0,118,11,8505,155.0,2968,76493
2020-09-18,20:01:00,,184,Saint Martin,38805,330,0.0,6,0.0,206,0.0,118,11,8504,155.0,2968,76485
2020-09-19,21:00:00,,184,Saint Martin,38806,330,0.0,6,0.0,206,0.0,118,11,8504,155.0,2968,76483
2020-09-20,22:31:00,,184,Saint Martin,38808,330,0.0,6,0.0,206,0.0,118,11,8503,155.0,2968,76479
2020-09-21,21:01:00,,184,Saint Martin,38810,330,0.0,6,0.0,206,0.0,118,11,8503,155.0,2968,76475
2020-09-22,21:01:00,,184,Saint Martin,38812,330,0.0,6,0.0,206,0.0,118,11,8503,155.0,2968,76471
2020-09-23,19:58:00,,184,Saint Martin,38814,330,0.0,6,0.0,206,0.0,118,11,8502,155.0,2968,76467
2020-09-24,21:00:00,,184,Saint Martin,38815,367,37.0,8,2.0,273,67.0,86,11,9455,206.0,3834,98776
2020-09-25,21:00:00,,184,Saint Martin,38817,367,0.0,8,0.0,273,0.0,86,11,9455,206.0,3834,98771
2020-09-26,21:00:00,,184,Saint Martin,38819,367,0.0,8,0.0,273,0.0,86,11,9454,206.0,3834,98766
2020-09-27,22:45:00,,184,Saint Martin,38821,383,16.0,8,0.0,273,0.0,102,11,9866,206.0,3834,98761
2020-09-28,22:00:00,,184,Saint Martin,38823,383,0.0,8,0.0,273,0.0,102,11,9865,206.0,3834,98756
2020-09-29,21:35:00,,184,Saint Martin,38824,383,0.0,8,0.0,273,0.0,102,11,9865,206.0,3834,98753
2020-09-30,22:00:00,,184,Saint Martin,38826,383,0.0,8,0.0,273,0.0,102,11,9865,206.0,3834,98748
2020-10-01,21:31:00,,184,Saint Martin,38828,383,0.0,8,0.0,273,0.0,102,11,9864,206.0,3834,98743
2020-10-02,22:36:00,,184,Saint Martin,38830,403,20.0,8,0.0,309,36.0,86,11,10379,206.0,5170,133144
2020-10-03,22:24:00,,184,Saint Martin,38832,403,0.0,8,0.0,309,0.0,86,11,10378,206.0,5170,133138
2020-10-04,21:01:00,,184,Saint Martin,38833,412,9.0,8,0.0,309,0.0,95,11,10610,206.0,5170,133134
2020-10-05,22:13:00,,184,Saint Martin,38835,412,0.0,8,0.0,309,0.0,95,11,10609,206.0,5170,133127
2020-10-06,23:01:00,,184,Saint Martin,38837,412,0.0,8,0.0,309,0.0,95,11,10608,206.0,5170,133120
2020-10-07,23:01:00,,184,Saint Martin,38839,412,0.0,8,0.0,309,0.0,95,11,10608,206.0,5170,133114
2020-10-08,23:59:00,,184,Saint Martin,38841,412,0.0,8,0.0,309,0.0,95,11,10607,206.0,5170,133107
2020-10-09,23:00:00,,184,Saint Martin,38842,412,0.0,8,0.0,309,0.0,95,11,10607,206.0,5170,133103
2020-10-10,23:00:00,,184,Saint Martin,38844,466,54.0,8,0.0,309,0.0,149,11,11997,206.0,5170,133096
2020-10-12,23:10:00,,184,Saint Martin,38848,466,0.0,8,0.0,309,0.0,149,11,11995,206.0,5170,133083
2020-10-13,23:01:00,,184,Saint Martin,38850,466,0.0,8,0.0,309,0.0,149,11,11995,206.0,5170,133076
2020-10-14,23:01:00,,184,Saint Martin,38851,466,0.0,8,0.0,309,0.0,149,11,11995,206.0,5170,133073
2020-10-15,14:09:00,11:06:00,184,Saint Martin,38853,501,35.0,8,0.0,380,71.0,113,11,12895,206.0,5170,133066
2020-10-16,22:08:00,19:06:00,184,Saint Martin,38855,501,0.0,8,0.0,380,0.0,113,11,12894,206.0,5801,149299
2020-10-17,23:01:00,19:58:00,184,Saint Martin,38857,531,30.0,8,0.0,380,0.0,143,11,13665,206.0,5801,149291
2020-10-18,22:05:00,19:03:00,184,Saint Martin,38859,531,0.0,8,0.0,380,0.0,143,11,13665,206.0,5801,149283
2020-10-19,22:05:00,18:59:00,184,Saint Martin,38860,531,0.0,8,0.0,380,0.0,143,11,13664,206.0,5801,149279
2020-10-20,22:05:00,19:04:00,184,Saint Martin,38862,531,0.0,8,0.0,380,0.0,143,11,13664,206.0,5801,149272
2020-10-21,22:05:00,19:03:00,184,Saint Martin,38864,531,0.0,8,0.0,380,0.0,143,11,13663,206.0,5801,149264
2020-10-22,22:05:00,19:04:00,184,Saint Martin,38866,538,7.0,8,0.0,422,42.0,108,12,13842,206.0,6072,156229
2020-10-23,22:05:00,19:02:00,184,Saint Martin,38868,538,0.0,8,0.0,422,0.0,108,12,13842,206.0,6072,156221
2020-10-24,23:41:00,20:40:00,184,Saint Martin,38869,538,0.0,8,0.0,422,0.0,108,12,13841,206.0,6072,156217
2020-10-25,23:00:00,20:58:00,184,Saint Martin,38871,538,0.0,8,0.0,422,0.0,108,12,13841,206.0,6072,156209
2020-10-26,23:00:00,20:56:00,184,Saint Martin,38873,538,0.0,8,0.0,422,0.0,108,12,13840,206.0,6072,156201
2020-10-27,23:00:00,20:58:00,184,Saint Martin,38875,542,4.0,8,0.0,422,0.0,112,12,13942,206.0,6072,156193
2020-10-28,23:00:00,20:58:00,184,Saint Martin,38877,566,24.0,9,1.0,488,66.0,69,12,14559,231.0,6072,156185
2020-10-29,23:00:00,20:57:00,184,Saint Martin,38879,566,0.0,9,0.0,488,0.0,69,12,14558,231.0,6072,156177
2020-10-30,23:00:00,20:58:00,184,Saint Martin,38880,566,0.0,9,0.0,488,0.0,69,12,14558,231.0,6072,156173
2020-10-31,23:00:00,20:59:00,184,Saint Martin,38882,566,0.0,9,0.0,488,0.0,69,12,14557,231.0,6072,156165
