scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5791,4,,,,1,,3,,691,,,
2020-08-08,20:00:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5791,4,,,,1,,3,,691,,,
2020-08-12,20:00:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5791,4,,,,1,,3,,691,,,
2020-08-16,20:00:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5790,4,,,,1,,3,,691,,,
2020-08-17,20:00:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5790,4,,,,1,,3,,691,,,
2020-08-18,20:00:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5790,5,1.0,,,1,,4,,864,,,
2020-08-19,20:00:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5790,5,,,,1,,4,,864,,,
2020-08-20,17:53:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5790,5,,,,1,,4,,864,,,
2020-08-23,21:09:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5790,5,,,,1,,4,,864,,,
2020-08-24,17:10:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5790,5,,,,1,,4,,864,,,
2020-08-25,23:00:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5790,5,,,,1,,4,,864,,,
2020-08-26,22:59:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5790,5,,,,1,,4,,864,,,
2020-08-27,23:00:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5789,5,,,,1,,4,,864,,,
2020-08-28,23:01:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5789,5,,,,1,,4,,864,,,
2020-08-29,12:29:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5789,5,,,,1,,4,,864,,,
2020-08-30,23:00:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5789,5,,,,1,,4,,864,,,
2020-08-31,18:58:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5789,5,,,,4,,1,,864,,1051.0,181551.0
2020-09-01,23:00:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5789,5,,,,4,,1,,864,,1051.0,181551.0
2020-09-02,23:01:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5789,5,,,,4,,1,,864,,1051.0,181551.0
2020-09-03,23:01:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5789,5,,,,4,,1,,864,,1051.0,181551.0
2020-09-04,07:01:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5789,5,,,,4,,1,,864,,1051.0,181551.0
2020-09-05,23:31:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5789,5,,,,5,,0,,864,,1051.0,181551.0
2020-09-06,18:30:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5789,6,1.0,,,5,,1,,1036,,1051.0,181551.0
2020-09-07,23:39:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5789,9,3.0,,,5,,4,,1555,,1051.0,181551.0
2020-09-08,22:10:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5789,9,,,,5,,4,,1555,,1051.0,181551.0
2020-09-10,22:01:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5788,10,1.0,,,5,,5,,1728,,1051.0,181583.0
2020-09-11,22:00:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5788,10,,,,5,,5,,1728,,1051.0,181583.0
2020-09-12,22:22:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5788,10,,,,5,,5,,1728,,1051.0,181583.0
2020-09-13,22:01:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5788,11,,,,5,,6,,1900,,1051.0,181583.0
2020-09-14,22:04:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5788,11,,,,5,,6,,1900,,1051.0,181583.0
2020-09-15,21:00:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5788,11,,,,5,,6,,1900,,1051.0,181583.0
2020-09-16,21:01:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5788,11,,,,5,,6,,1900,,1051.0,181583.0
2020-09-18,20:01:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5788,11,,,,5,,6,,1900,,1051.0,181583.0
2020-09-19,21:00:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5788,11,,,,5,,6,,1900,,1051.0,181583.0
2020-09-20,22:31:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5788,11,,,,5,,6,,1900,,1051.0,181583.0
2020-09-21,21:01:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5788,11,,,,5,,6,,1900,,1051.0,181583.0
2020-09-22,21:01:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5787,11,,,,5,,6,,1901,,1051.0,181614.0
2020-09-23,19:58:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5787,12,1.0,,,6,1.0,6,,2074,,1967.0,339900.0
2020-09-24,21:00:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5787,16,4.0,,,6,,10,,2765,,1967.0,339900.0
2020-09-25,21:00:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5787,16,,,,6,,10,,2765,,1967.0,339900.0
2020-09-26,21:00:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5787,16,,,,6,,10,,2765,,1967.0,339900.0
2020-09-27,22:45:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5787,16,,,,6,,10,,2765,,1967.0,339900.0
2020-09-28,22:00:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5787,16,,,,6,,10,,2765,,1967.0,339900.0
2020-09-29,21:35:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5787,16,,,,6,,10,,2765,,1967.0,339900.0
2020-09-30,22:00:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5787,16,,,,6,,10,,2765,,1967.0,339900.0
2020-10-01,21:31:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5787,16,,,,6,,10,,2765,,1967.0,339900.0
2020-10-02,22:36:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5787,16,,,,6,,10,,2765,,1967.0,339900.0
2020-10-03,22:24:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5787,16,,,,6,,10,,2765,,1967.0,339900.0
2020-10-04,21:01:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5787,16,,,,6,,10,,2765,,1967.0,339900.0
2020-10-05,22:13:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5786,16,,,,6,,10,,2765,,1967.0,339959.0
2020-10-06,23:01:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5786,16,,,,6,,10,,2765,,1967.0,339959.0
2020-10-07,23:01:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5786,16,,,,6,,10,,2765,,1967.0,339959.0
2020-10-08,23:59:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5786,16,,,,6,,10,,2765,,1967.0,339959.0
2020-10-09,23:00:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5786,16,,,,6,,10,,2765,,1967.0,339959.0
2020-10-10,23:00:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5786,16,,,,12,,4,,2765,,2144.0,370550.0
2020-10-12,23:10:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5786,16,,,,12,,4,,2765,,2144.0,370550.0
2020-10-13,23:01:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5786,16,,,,12,,4,,2765,,2222.0,384030.0
2020-10-14,23:01:00,1969-12-31 23:59:59.999999999,213,Saint Pierre Miquelon,5786,16,,,,12,,4,,2765,,2222.0,384030.0
2020-10-15,14:09:00,2020-10-26 11:06:00.000000000,213,Saint Pierre Miquelon,5786,16,,,,12,,4,,2765,,2222.0,384030.0
2020-10-16,22:08:00,2020-10-26 19:06:00.000000000,213,Saint Pierre Miquelon,5786,16,,,,12,,4,,2765,,2222.0,384030.0
2020-10-17,23:01:00,2020-10-26 19:58:00.000000000,213,Saint Pierre Miquelon,5786,16,,,,12,,4,,2765,,2222.0,384030.0
2020-10-18,22:05:00,2020-10-26 19:03:00.000000000,213,Saint Pierre Miquelon,5785,16,,,,12,,4,,2766,,2222.0,384097.0
2020-10-19,22:05:00,2020-10-26 18:59:00.000000000,213,Saint Pierre Miquelon,5785,16,,,,12,,4,,2766,,2222.0,384097.0
2020-10-20,22:05:00,2020-10-26 19:04:00.000000000,213,Saint Pierre Miquelon,5785,16,,,,12,,4,,2766,,2222.0,384097.0
2020-10-21,22:05:00,2020-10-26 19:03:00.000000000,213,Saint Pierre Miquelon,5785,16,,,,12,,4,,2766,,2222.0,384097.0
2020-10-22,22:05:00,2020-10-26 19:04:00.000000000,213,Saint Pierre Miquelon,5785,16,,,,12,,4,,2766,,2222.0,384097.0
2020-10-23,22:05:00,2020-10-26 19:02:00.000000000,213,Saint Pierre Miquelon,5785,16,,,,12,,4,,2766,,2222.0,384097.0
2020-10-24,23:41:00,2020-10-26 20:40:00.000000000,213,Saint Pierre Miquelon,5785,16,,,,12,,4,,2766,,2222.0,384097.0
2020-10-25,23:00:00,2020-10-26 20:58:00.000000000,213,Saint Pierre Miquelon,5785,16,,,,12,,4,,2766,,2222.0,384097.0
2020-10-26,23:00:00,2020-10-26 20:56:00.000000000,213,Saint Pierre Miquelon,5785,16,,,,12,,4,,2766,,2222.0,384097.0
