scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-02,20:00:00,2020-08-02,,160,Sao Tome and Principe,219488,874,,15,,782,,77,,3982,68.0,2940,13395,5
2020-08-08,20:00:00,2020-08-08,,160,Sao Tome and Principe,219555,878,,15,,799,,64,,3999,68.0,3120,14211,5
2020-08-12,20:00:00,2020-08-12,,160,Sao Tome and Principe,219599,881,,15,,804,,62,,4012,68.0,3160,14390,5
2020-08-16,20:00:00,2020-08-16,,160,Sao Tome and Principe,219644,885,,15,,815,,55,,4029,68.0,3261,14847,5
2020-08-17,20:00:00,2020-08-17,,160,Sao Tome and Principe,219655,885,,15,,818,,52,,4029,68.0,3279,14928,5
2020-08-18,20:00:00,2020-08-18,,160,Sao Tome and Principe,219666,885,,15,,821,,49,,4029,68.0,3279,14927,5
2020-08-19,20:00:00,2020-08-19,,160,Sao Tome and Principe,219677,885,,15,,826,5.0,44,,4029,68.0,3303,15036,5
2020-08-20,17:53:00,2020-08-20,,160,Sao Tome and Principe,219688,887,2.0,15,,829,3.0,43,,4038,68.0,3356,15276,5
2020-08-23,21:09:00,2020-08-23,,160,Sao Tome and Principe,219722,892,,15,,831,,46,,4060,68.0,3482,15847,5
2020-08-24,17:10:00,2020-08-24,,160,Sao Tome and Principe,219733,892,,15,,831,,46,,4059,68.0,3482,15847,5
2020-08-25,23:00:00,2020-08-25,,160,Sao Tome and Principe,219744,892,,15,,832,,45,,4059,68.0,3492,15891,5
2020-08-26,22:59:00,2020-08-26,,160,Sao Tome and Principe,219755,892,,15,,833,,44,,4059,68.0,3546,16136,5
2020-08-27,23:00:00,2020-08-27,,160,Sao Tome and Principe,219766,892,,15,,842,,35,,4059,68.0,3601,16386,5
2020-08-28,23:01:00,2020-08-28,,160,Sao Tome and Principe,219777,894,,15,,846,,33,,4068,68.0,3641,16567,5
2020-08-29,12:29:00,2020-08-29,,160,Sao Tome and Principe,219789,895,,15,,848,,32,,4072,68.0,3693,16802,5
2020-08-30,23:00:00,2020-08-30,,160,Sao Tome and Principe,219800,895,,15,,848,,32,,4072,68.0,3746,17043,5
2020-08-31,18:58:00,2020-08-31,,160,Sao Tome and Principe,219811,896,,15,,851,,30,,4076,68.0,3792,17251,5
2020-09-01,23:00:00,2020-09-01,,160,Sao Tome and Principe,219822,896,,15,,851,,30,,4076,68.0,3831,17428,5
2020-09-02,23:01:00,2020-09-02,,160,Sao Tome and Principe,219833,896,,15,,853,,28,,4076,68.0,3843,17481,5
2020-09-03,23:01:00,2020-09-03,,160,Sao Tome and Principe,219844,896,,15,,855,,26,,4076,68.0,3875,17626,5
2020-09-04,07:01:00,2020-09-04,,160,Sao Tome and Principe,219855,897,,15,,857,,25,,4080,68.0,3929,17871,5
2020-09-05,23:31:00,2020-09-05,,160,Sao Tome and Principe,219867,897,,15,,859,,23,,4080,68.0,4042,18384,5
2020-09-06,18:30:00,2020-09-06,,160,Sao Tome and Principe,219878,898,,15,,859,,24,,4084,68.0,4090,18601,5
2020-09-07,23:39:00,2020-09-07,,160,Sao Tome and Principe,219889,898,,15,,859,,24,,4084,68.0,4105,18669,5
2020-09-08,22:10:00,2020-09-08,,160,Sao Tome and Principe,219900,898,,15,,859,,24,,4084,68.0,4105,18668,5
2020-09-10,22:01:00,2020-09-10,,160,Sao Tome and Principe,219922,898,,15,,862,,21,,4083,68.0,4119,18729,5
2020-09-11,22:00:00,2020-09-11,,160,Sao Tome and Principe,219933,901,,15,,866,,20,,4097,68.0,4180,19006,5
2020-09-12,22:22:00,2020-09-12,,160,Sao Tome and Principe,219944,906,,15,,866,,25,,4119,68.0,4240,19278,5
2020-09-13,22:01:00,2020-09-13,,160,Sao Tome and Principe,219956,906,,15,,866,,25,,4119,68.0,4240,19277,5
2020-09-14,22:04:00,2020-09-14,,160,Sao Tome and Principe,219967,906,,15,,870,,21,,4119,68.0,4310,19594,5
2020-09-15,21:00:00,2020-09-15,,160,Sao Tome and Principe,219978,906,,15,,870,,21,,4119,68.0,4336,19711,5
2020-09-16,21:01:00,2020-09-16,,160,Sao Tome and Principe,219989,907,,15,,871,,21,,4123,68.0,4410,20046,5
2020-09-18,20:01:00,2020-09-18,,160,Sao Tome and Principe,220011,907,,15,,873,,19,,4123,68.0,4433,20149,5
2020-09-19,21:00:00,2020-09-19,,160,Sao Tome and Principe,220022,908,,15,,873,,20,,4127,68.0,4523,20557,5
2020-09-20,22:31:00,2020-09-20,,160,Sao Tome and Principe,220034,908,,15,,876,,17,,4127,68.0,4572,20779,5
2020-09-21,21:01:00,2020-09-21,,160,Sao Tome and Principe,220045,908,,15,,878,,15,,4126,68.0,4638,21078,5
2020-09-22,21:01:00,2020-09-22,,160,Sao Tome and Principe,220056,908,,15,,880,,13,,4126,68.0,4638,21076,5
2020-09-23,19:58:00,2020-09-23,,160,Sao Tome and Principe,220067,908,,15,,880,,13,,4126,68.0,4638,21075,5
2020-09-24,21:00:00,2020-09-24,,160,Sao Tome and Principe,220078,908,,15,,880,,13,,4126,68.0,4674,21238,5
2020-09-25,21:00:00,2020-09-25,,160,Sao Tome and Principe,220089,910,,15,,881,,14,,4135,68.0,4762,21637,5
