scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,160,Sao Tome and Principe,219488,874,,15,,782,,77,,3982,68.0,2940,13395
2020-08-08,20:00:00,,160,Sao Tome and Principe,219555,878,4.0,15,0.0,799,17.0,64,,3999,68.0,3120,14211
2020-08-12,20:00:00,,160,Sao Tome and Principe,219599,881,3.0,15,0.0,804,5.0,62,,4012,68.0,3160,14390
2020-08-16,20:00:00,,160,Sao Tome and Principe,219644,885,4.0,15,0.0,815,11.0,55,,4029,68.0,3261,14847
2020-08-17,20:00:00,,160,Sao Tome and Principe,219655,885,0.0,15,0.0,818,3.0,52,,4029,68.0,3279,14928
2020-08-18,20:00:00,,160,Sao Tome and Principe,219666,885,0.0,15,0.0,821,3.0,49,,4029,68.0,3279,14927
2020-08-19,20:00:00,,160,Sao Tome and Principe,219677,885,0.0,15,0.0,826,5.0,44,,4029,68.0,3303,15036
2020-08-20,17:53:00,,160,Sao Tome and Principe,219688,887,2.0,15,0.0,829,3.0,43,,4038,68.0,3356,15276
2020-08-23,21:09:00,,160,Sao Tome and Principe,219722,892,5.0,15,0.0,831,2.0,46,,4060,68.0,3482,15847
2020-08-24,17:10:00,,160,Sao Tome and Principe,219733,892,0.0,15,0.0,831,0.0,46,,4059,68.0,3482,15847
2020-08-25,23:00:00,,160,Sao Tome and Principe,219744,892,0.0,15,0.0,832,1.0,45,,4059,68.0,3492,15891
2020-08-26,22:59:00,,160,Sao Tome and Principe,219755,892,0.0,15,0.0,833,1.0,44,,4059,68.0,3546,16136
2020-08-27,23:00:00,,160,Sao Tome and Principe,219766,892,0.0,15,0.0,842,9.0,35,,4059,68.0,3601,16386
2020-08-28,23:01:00,,160,Sao Tome and Principe,219777,894,2.0,15,0.0,846,4.0,33,,4068,68.0,3641,16567
2020-08-29,12:29:00,,160,Sao Tome and Principe,219789,895,1.0,15,0.0,848,2.0,32,,4072,68.0,3693,16802
2020-08-30,23:00:00,,160,Sao Tome and Principe,219800,895,0.0,15,0.0,848,0.0,32,,4072,68.0,3746,17043
2020-08-31,18:58:00,,160,Sao Tome and Principe,219811,896,1.0,15,0.0,851,3.0,30,,4076,68.0,3792,17251
2020-09-01,23:00:00,,160,Sao Tome and Principe,219822,896,0.0,15,0.0,851,0.0,30,,4076,68.0,3831,17428
2020-09-02,23:01:00,,160,Sao Tome and Principe,219833,896,0.0,15,0.0,853,2.0,28,,4076,68.0,3843,17481
2020-09-03,23:01:00,,160,Sao Tome and Principe,219844,896,0.0,15,0.0,855,2.0,26,,4076,68.0,3875,17626
2020-09-04,07:01:00,,160,Sao Tome and Principe,219855,897,1.0,15,0.0,857,2.0,25,,4080,68.0,3929,17871
2020-09-05,23:31:00,,160,Sao Tome and Principe,219867,897,0.0,15,0.0,859,2.0,23,,4080,68.0,4042,18384
2020-09-06,18:30:00,,160,Sao Tome and Principe,219878,898,1.0,15,0.0,859,0.0,24,,4084,68.0,4090,18601
2020-09-07,23:39:00,,160,Sao Tome and Principe,219889,898,0.0,15,0.0,859,0.0,24,,4084,68.0,4105,18669
2020-09-08,22:10:00,,160,Sao Tome and Principe,219900,898,0.0,15,0.0,859,0.0,24,,4084,68.0,4105,18668
2020-09-10,22:01:00,,160,Sao Tome and Principe,219922,898,0.0,15,0.0,862,3.0,21,,4083,68.0,4119,18729
2020-09-11,22:00:00,,160,Sao Tome and Principe,219933,901,3.0,15,0.0,866,4.0,20,,4097,68.0,4180,19006
