scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,81,Senegal,16777828,10344,60.0,209,,6838,16.0,3297,39.0,617.0,12.0,109579,6531.0
2020-08-08,20:00:00,,81,Senegal,16785086,11003,116.0,229,4.0,7329,143.0,3445,39.0,656.0,14.0,116472,6939.0
2020-08-12,20:00:00,,81,Senegal,16789925,11380,,238,,7449,,3693,49.0,678.0,14.0,121982,7265.0
2020-08-16,20:00:00,,81,Senegal,16794764,12032,,251,,7637,,4144,57.0,716.0,15.0,129392,7704.0
2020-08-17,20:00:00,,81,Senegal,16795974,12237,75.0,256,3.0,7728,51.0,4253,55.0,729.0,15.0,130441,7766.0
2020-08-18,20:00:00,,81,Senegal,16797183,12305,68.0,256,,7767,39.0,4282,48.0,733.0,15.0,131367,7821.0
2020-08-19,20:00:00,,81,Senegal,16798393,12446,141.0,258,2.0,7877,110.0,4311,43.0,741.0,15.0,132830,7907.0
2020-08-20,17:53:00,,81,Senegal,16799603,12559,113.0,261,3.0,8050,173.0,4248,39.0,748.0,16.0,134349,7997.0
2020-08-23,21:09:00,,81,Senegal,16803232,12949,99.0,269,3.0,8455,290.0,4225,38.0,771.0,16.0,135770,8080.0
2020-08-24,17:10:00,,81,Senegal,16804442,13013,64.0,272,3.0,8595,140.0,4146,45.0,774.0,16.0,137832,8202.0
2020-08-25,23:00:00,,81,Senegal,16805651,13056,43.0,274,2.0,8715,120.0,4067,45.0,777.0,16.0,138648,8250.0
2020-08-26,22:59:00,,81,Senegal,16806861,13186,130.0,275,1.0,8852,137.0,4059,43.0,785.0,16.0,140032,8332.0
2020-08-27,23:00:00,,81,Senegal,16808071,13186,,275,,8852,,4059,43.0,785.0,16.0,140032,8331.0
2020-08-28,23:01:00,,81,Senegal,16809281,13384,90.0,279,2.0,9091,117.0,4014,44.0,796.0,17.0,142524,8479.0
2020-08-29,12:29:00,,81,Senegal,16810490,13384,,279,,9091,,4014,44.0,796.0,17.0,142524,8478.0
2020-08-30,23:00:00,,81,Senegal,16811700,13556,100.0,284,2.0,9388,155.0,3884,36.0,806.0,17.0,145128,8633.0
2020-08-31,18:58:00,,81,Senegal,16812910,13611,55.0,284,,9439,51.0,3888,36.0,810.0,17.0,146218,8697.0
2020-09-01,23:00:00,,81,Senegal,16814119,13655,44.0,284,,9484,45.0,3887,31.0,812.0,17.0,147162,8752.0
2020-09-02,23:01:00,,81,Senegal,16815329,13743,88.0,287,3.0,9506,22.0,3950,33.0,817.0,17.0,148349,8822.0
2020-09-03,23:01:00,,81,Senegal,16816539,13826,83.0,287,,9553,47.0,3986,33.0,822.0,17.0,149381,8883.0
2020-09-04,07:01:00,,81,Senegal,16817748,13826,,287,,9553,,3986,33.0,822.0,17.0,149381,8882.0
2020-09-05,23:31:00,,81,Senegal,16818958,13948,67.0,290,1.0,9851,128.0,3807,31.0,829.0,17.0,152040,9040.0
2020-09-06,18:30:00,,81,Senegal,16820168,13987,39.0,290,,9922,71.0,3775,33.0,832.0,17.0,153206,9108.0
2020-09-07,23:39:00,,81,Senegal,16821378,14014,27.0,291,1.0,10037,115.0,3686,36.0,833.0,17.0,154258,9170.0
2020-09-08,22:10:00,,81,Senegal,16822587,14014,,291,,10037,,3686,36.0,833.0,17.0,154258,9170.0
2020-09-09,22:01:00,,81,Senegal,16823797,14102,58.0,293,1.0,10176,139.0,3633,36.0,838.0,17.0,154258,9169.0
2020-09-10,22:01:00,,81,Senegal,16825007,14150,48.0,293,,10207,31.0,3650,34.0,841.0,17.0,155191,9224.0
2020-09-11,22:00:00,,81,Senegal,16826216,14193,43.0,293,,10350,143.0,3550,30.0,844.0,17.0,156452,9298.0
2020-09-12,22:22:00,,81,Senegal,16827426,14237,44.0,295,2.0,10373,23.0,3569,34.0,846.0,18.0,157545,9362.0
2020-09-13,22:01:00,,81,Senegal,16828636,14280,43.0,297,2.0,10520,147.0,3463,32.0,849.0,18.0,158751,9433.0
2020-09-14,22:04:00,,81,Senegal,16829846,14306,26.0,297,,10563,43.0,3446,32.0,850.0,18.0,159603,9483.0
