scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,65,Serbia,8734143,26193,,590,,14047,,11556,146,2999,68.0,686488,78598
2020-08-08,20:00:00,,65,Serbia,8733569,27863,1670.0,632,42.0,14047,0.0,13184,121,3190,72.0,741073,84853
2020-08-12,20:00:00,,65,Serbia,8733186,28497,634.0,652,20.0,18965,4918.0,8880,91,3263,75.0,762229,87280
2020-08-16,20:00:00,,65,Serbia,8732803,29471,974.0,670,18.0,26440,7475.0,2361,75,3375,77.0,798009,91381
2020-08-17,20:00:00,,65,Serbia,8732708,29782,311.0,677,7.0,27208,768.0,1897,68,3410,78.0,811920,92975
2020-08-18,20:00:00,,65,Serbia,8732612,29890,108.0,681,4.0,27597,389.0,1612,64,3423,78.0,821106,94028
2020-08-19,20:00:00,,65,Serbia,8732516,29890,0.0,681,0.0,27597,0.0,1612,64,3423,78.0,821106,94029
2020-08-20,17:53:00,,65,Serbia,8732421,30209,319.0,689,8.0,27908,311.0,1612,52,3459,79.0,842441,96473
2020-08-23,21:09:00,,65,Serbia,8732134,30657,448.0,698,9.0,28275,367.0,1684,46,3511,80.0,869668,99594
2020-08-24,17:10:00,,65,Serbia,8732038,30714,57.0,701,3.0,29028,753.0,985,44,3517,80.0,876929,100427
2020-08-25,23:00:00,,65,Serbia,8731942,30820,106.0,705,4.0,29132,104.0,983,36,3530,81.0,885575,101418
2020-08-26,22:59:00,,65,Serbia,8731846,30974,154.0,707,2.0,29343,211.0,924,37,3547,81.0,895507,102556
2020-08-27,23:00:00,,65,Serbia,8731751,31099,125.0,707,0.0,29533,190.0,859,36,3562,81.0,904343,103569
2020-08-28,23:01:00,,65,Serbia,8731655,31207,108.0,709,2.0,29802,269.0,696,36,3574,81.0,913856,104660
2020-08-29,12:29:00,,65,Serbia,8731559,31207,0.0,709,0.0,29802,0.0,696,36,3574,81.0,913856,104661
2020-08-30,23:00:00,,65,Serbia,8731464,31365,158.0,711,2.0,29931,129.0,723,48,3592,81.0,925208,105963
2020-08-31,18:58:00,,65,Serbia,8731368,31406,41.0,713,2.0,30028,97.0,665,47,3597,82.0,931037,106631
2020-09-01,23:00:00,,65,Serbia,8731272,31482,76.0,715,2.0,30053,25.0,714,48,3606,82.0,938546,107492
2020-09-02,23:01:00,,65,Serbia,8731176,31581,99.0,716,1.0,30188,135.0,677,39,3617,82.0,947298,108496
2020-09-03,23:01:00,,65,Serbia,8731081,31676,95.0,718,2.0,30188,0.0,770,41,3628,82.0,955730,109463
2020-09-04,07:01:00,,65,Serbia,8730985,31676,0.0,718,0.0,30188,0.0,770,41,3628,82.0,955730,109464
2020-09-05,23:31:00,,65,Serbia,8730889,31849,173.0,723,5.0,30529,341.0,597,38,3648,83.0,974411,111605
2020-09-06,18:30:00,,65,Serbia,8730794,31905,56.0,724,1.0,30637,108.0,544,35,3654,83.0,978600,112086
2020-09-07,23:39:00,,65,Serbia,8730698,31941,36.0,725,1.0,30637,0.0,579,33,3658,83.0,984798,112797
2020-09-08,22:10:00,,65,Serbia,8730602,31994,53.0,727,2.0,30637,0.0,630,38,3665,83.0,993140,113754
2020-09-09,22:01:00,,65,Serbia,8730506,32078,84.0,728,1.0,30780,143.0,570,35,3674,83.0,1001425,114704
2020-09-10,22:01:00,,65,Serbia,8730411,32136,58.0,729,1.0,30943,163.0,464,35,3681,84.0,1009401,115619
