Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,117,Slovakia,5459879,2344,,29,,1742,,573,1,429,5.0,265031,48542
2020-08-08 20:00:00,,2020-08-08,117,Slovakia,5459922,2566,222.0,31,2.0,1861,119.0,674,8,470,6.0,277894,50897
2020-08-12 20:00:00,,2020-08-12,117,Slovakia,5459951,2690,124.0,31,0.0,1884,23.0,775,4,493,6.0,284111,52035
2020-08-16 20:00:00,,2020-08-16,117,Slovakia,5459980,2902,212.0,31,0.0,1969,85.0,902,6,532,6.0,294838,54000
2020-08-17 20:00:00,,2020-08-17,117,Slovakia,5459987,2907,5.0,31,0.0,1969,0.0,907,6,532,6.0,295319,54088
2020-08-18 20:00:00,,2020-08-18,117,Slovakia,5459994,2922,15.0,31,0.0,1980,11.0,911,6,535,6.0,296902,54378
2020-08-19 20:00:00,,2020-08-19,117,Slovakia,5460001,3022,100.0,33,2.0,1997,17.0,992,8,553,6.0,300586,55052
2020-08-20 17:53:00,,2020-08-20,117,Slovakia,5460009,3102,80.0,33,0.0,2014,17.0,1055,8,568,6.0,304021,55681
2020-08-23 21:09:00,,2020-08-23,117,Slovakia,5460030,3356,254.0,33,0.0,2148,134.0,1175,7,615,6.0,312822,57293
2020-08-24 17:10:00,,2020-08-24,117,Slovakia,5460037,3424,68.0,33,0.0,2153,5.0,1238,7,627,6.0,312822,57293
2020-08-25 23:00:00,,2020-08-25,117,Slovakia,5460045,3452,28.0,33,0.0,2167,14.0,1252,10,632,6.0,312822,57293
2020-08-26 22:59:00,,2020-08-26,117,Slovakia,5460052,3536,84.0,33,0.0,2192,25.0,1311,10,648,6.0,319944,58597
2020-08-27 23:00:00,,2020-08-27,117,Slovakia,5460059,3626,90.0,33,0.0,2206,14.0,1387,11,664,6.0,323580,59263
2020-08-28 23:01:00,,2020-08-28,117,Slovakia,5460066,3728,102.0,33,0.0,2225,19.0,1470,11,683,6.0,327940,60062
2020-08-29 12:29:00,,2020-08-29,117,Slovakia,5460073,3842,114.0,33,0.0,2254,29.0,1555,11,704,6.0,332393,60877
2020-08-30 23:00:00,,2020-08-30,117,Slovakia,5460081,3876,34.0,33,0.0,2278,24.0,1565,11,710,6.0,334344,61234
2020-08-31 18:58:00,,2020-08-31,117,Slovakia,5460088,3917,41.0,33,0.0,2377,99.0,1507,11,717,6.0,334932,61342
2020-09-01 23:00:00,,2020-09-01,117,Slovakia,5460095,3989,72.0,33,0.0,2478,101.0,1478,18,731,6.0,337695,61848
2020-09-02 23:01:00,,2020-09-02,117,Slovakia,5460102,4042,53.0,33,0.0,2523,45.0,1486,18,740,6.0,340123,62292
2020-09-03 23:01:00,,2020-09-03,117,Slovakia,5460109,4163,121.0,37,4.0,2617,94.0,1509,16,762,7.0,343642,62937
2020-09-04 07:01:00,,2020-09-04,117,Slovakia,5460117,4163,0.0,37,0.0,2617,0.0,1509,16,762,7.0,343642,62937
2020-09-05 23:31:00,,2020-09-05,117,Slovakia,5460124,4526,363.0,37,0.0,2797,180.0,1692,15,829,7.0,354361,64900
2020-09-06 18:30:00,,2020-09-06,117,Slovakia,5460131,4614,88.0,37,0.0,2802,5.0,1775,18,845,7.0,356823,65351
