Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,126,Slovenia,2078964,2180,,120,,1826,,234,2.0,1049,58.0,132795,63876
2020-08-08 20:00:00,,2020-08-08,126,Slovenia,2078968,2247,67.0,126,6.0,1927,101.0,194,3.0,1081,61.0,136455,65636
2020-08-12 20:00:00,,2020-08-12,126,Slovenia,2078971,2272,25.0,129,3.0,1960,33.0,183,2.0,1093,62.0,137845,66304
2020-08-16 20:00:00,,2020-08-16,126,Slovenia,2078975,2416,144.0,129,0.0,2051,91.0,236,2.0,1162,62.0,143295,68926
2020-08-17 20:00:00,,2020-08-17,126,Slovenia,2078975,2429,13.0,129,0.0,2052,1.0,248,3.0,1168,62.0,143688,69115
2020-08-18 20:00:00,,2020-08-18,126,Slovenia,2078976,2456,27.0,129,0.0,2052,0.0,275,3.0,1181,62.0,144831,69665
2020-08-19 20:00:00,,2020-08-19,126,Slovenia,2078977,2493,37.0,129,0.0,2079,27.0,285,3.0,1199,62.0,145923,70190
2020-08-20 17:53:00,,2020-08-20,126,Slovenia,2078978,2536,43.0,129,0.0,2079,0.0,328,3.0,1220,62.0,147091,70752
2020-08-23 21:09:00,,2020-08-23,126,Slovenia,2078980,2651,115.0,131,2.0,2079,0.0,441,3.0,1275,63.0,147091,70752
2020-08-24 17:10:00,,2020-08-24,126,Slovenia,2078981,2665,14.0,133,2.0,2122,43.0,410,,1282,64.0,147634,71013
2020-08-25 23:00:00,,2020-08-25,126,Slovenia,2078982,2686,21.0,133,0.0,2139,17.0,414,,1292,64.0,152063,73143
2020-08-26 22:59:00,,2020-08-26,126,Slovenia,2078982,2722,36.0,133,0.0,2170,31.0,419,,1309,64.0,153502,73835
2020-08-27 23:00:00,,2020-08-27,126,Slovenia,2078983,2755,33.0,133,0.0,2199,29.0,423,,1325,64.0,154801,74460
2020-08-28 23:01:00,,2020-08-28,126,Slovenia,2078984,2797,42.0,133,0.0,2236,37.0,428,1.0,1345,64.0,156139,75104
2020-08-29 12:29:00,,2020-08-29,126,Slovenia,2078985,2797,0.0,133,0.0,2236,0.0,428,1.0,1345,64.0,156139,75103
2020-08-30 23:00:00,,2020-08-30,126,Slovenia,2078985,2865,68.0,133,0.0,2283,47.0,449,2.0,1378,64.0,158236,76112
2020-08-31 18:58:00,,2020-08-31,126,Slovenia,2078986,2883,18.0,133,0.0,2296,13.0,454,2.0,1387,64.0,158824,76395
2020-09-01 23:00:00,,2020-09-01,126,Slovenia,2078987,2924,41.0,133,0.0,2323,27.0,468,2.0,1406,64.0,160239,77076
2020-09-02 23:01:00,,2020-09-02,126,Slovenia,2078988,2979,55.0,134,1.0,2359,36.0,486,4.0,1433,64.0,161847,77849
2020-09-03 23:01:00,,2020-09-03,126,Slovenia,2078989,3032,53.0,134,0.0,2402,43.0,496,4.0,1458,64.0,163500,78644
2020-09-04 07:01:00,,2020-09-04,126,Slovenia,2078989,3032,0.0,134,0.0,2402,0.0,496,4.0,1458,64.0,163500,78644
2020-09-05 23:31:00,,2020-09-05,126,Slovenia,2078990,3122,90.0,135,1.0,2483,81.0,504,3.0,1502,65.0,166941,80299
2020-09-06 18:30:00,,2020-09-06,126,Slovenia,2078991,3165,43.0,135,0.0,2483,0.0,547,3.0,1522,65.0,168153,80882
2020-09-07 23:39:00,,2020-09-07,126,Slovenia,2078992,3190,25.0,135,0.0,2530,47.0,525,4.0,1534,65.0,168859,81222
2020-09-08 22:10:00,,2020-09-08,126,Slovenia,2078992,3190,0.0,135,0.0,2530,0.0,525,4.0,1534,65.0,168859,81222
2020-09-10 22:01:00,,2020-09-10,126,Slovenia,2078994,3389,199.0,135,0.0,2620,90.0,634,5.0,1630,65.0,175489,84411
2020-09-11 22:00:00,,2020-09-11,126,Slovenia,2078995,3497,108.0,135,0.0,2662,42.0,700,5.0,1682,65.0,178247,85737
2020-09-12 22:22:00,,2020-09-12,126,Slovenia,2078996,3603,106.0,135,0.0,2699,37.0,769,6.0,1733,65.0,181438,87272
2020-09-13 22:01:00,,2020-09-13,126,Slovenia,2078996,3702,99.0,135,0.0,2730,31.0,837,7.0,1781,65.0,183231,88134
2020-09-14 22:04:00,,2020-09-14,126,Slovenia,2078997,3749,47.0,135,0.0,2730,0.0,884,9.0,1803,65.0,184341,88668
2020-09-15 21:00:00,,2020-09-15,126,Slovenia,2078998,3831,82.0,135,0.0,2789,59.0,907,10.0,1843,65.0,186588,89749
2020-09-16 21:01:00,,2020-09-16,126,Slovenia,2078999,3954,123.0,135,0.0,2844,55.0,975,11.0,1902,65.0,189711,91251
2020-09-18 20:01:00,,2020-09-18,126,Slovenia,2079000,4195,241.0,140,5.0,2939,95.0,1116,11.0,2018,67.0,196338,94439
2020-09-19 21:00:00,,2020-09-19,126,Slovenia,2079001,4309,114.0,141,1.0,2981,42.0,1187,18.0,2073,68.0,199408,95915
2020-09-20 22:31:00,,2020-09-20,126,Slovenia,2079002,4420,111.0,142,1.0,3023,42.0,1255,25.0,2126,68.0,201696,97016
2020-09-21 21:01:00,,2020-09-21,126,Slovenia,2079003,4470,50.0,142,0.0,3048,25.0,1280,26.0,2150,68.0,202680,97489
2020-09-22 21:01:00,,2020-09-22,126,Slovenia,2079003,4558,88.0,142,0.0,3048,0.0,1368,26.0,2192,68.0,205015,98612
2020-09-23 19:58:00,,2020-09-23,126,Slovenia,2079004,4694,136.0,143,1.0,3168,120.0,1383,20.0,2258,69.0,207631,99870
2020-09-24 21:00:00,,2020-09-24,126,Slovenia,2079005,4816,122.0,145,2.0,3245,77.0,1426,23.0,2316,70.0,210479,101240
2020-09-25 21:00:00,,2020-09-25,126,Slovenia,2079006,5007,191.0,145,0.0,3353,108.0,1509,25.0,2408,70.0,214124,102993
2020-09-26 21:00:00,,2020-09-26,126,Slovenia,2079006,5191,184.0,146,1.0,3457,104.0,1588,30.0,2497,70.0,216899,104328
2020-09-27 22:45:00,,2020-09-27,126,Slovenia,2079007,5350,159.0,147,1.0,3555,98.0,1648,31.0,2573,71.0,218816,105250
2020-09-28 22:00:00,,2020-09-28,126,Slovenia,2079008,5388,38.0,149,2.0,3600,45.0,1639,27.0,2592,72.0,219725,105687
2020-09-29 21:35:00,,2020-09-29,126,Slovenia,2079009,5487,99.0,149,0.0,3682,82.0,1656,27.0,2639,72.0,222107,106833
2020-09-30 22:00:00,,2020-09-30,126,Slovenia,2079010,5690,203.0,150,1.0,3804,122.0,1736,25.0,2737,72.0,225498,108464
2020-10-01 21:31:00,,2020-10-01,126,Slovenia,2079010,5865,175.0,152,2.0,3906,102.0,1807,25.0,2821,73.0,228397,109859
2020-10-02 22:36:00,,2020-10-02,126,Slovenia,2079011,6103,238.0,154,2.0,4041,135.0,1908,24.0,2936,74.0,231678,111437
2020-10-03 22:24:00,,2020-10-03,126,Slovenia,2079012,6330,227.0,155,1.0,4041,0.0,2134,24.0,3045,75.0,234571,112828
