scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-10-03,22:24:00,1969-12-31 23:59:59.999999999,,Solomon Islands,691056,1,1.0,,,,,1,,1,,,
2020-10-04,21:01:00,1969-12-31 23:59:59.999999999,,Solomon Islands,691102,1,,,,,,1,,1,,,
2020-10-05,22:13:00,1969-12-31 23:59:59.999999999,,Solomon Islands,691148,1,,,,,,1,,1,,,
2020-10-06,23:01:00,1969-12-31 23:59:59.999999999,,Solomon Islands,691194,1,,,,,,1,,1,,,
2020-10-07,23:01:00,1969-12-31 23:59:59.999999999,,Solomon Islands,691241,1,,,,,,1,,1,,,
2020-10-08,23:59:00,1969-12-31 23:59:59.999999999,,Solomon Islands,691287,1,,,,,,1,,1,,,
2020-10-09,23:00:00,1969-12-31 23:59:59.999999999,,Solomon Islands,691333,1,,,,,,1,,1,,,
2020-10-10,23:00:00,1969-12-31 23:59:59.999999999,,Solomon Islands,691379,1,,,,,,1,,1,,,
2020-10-12,23:10:00,1969-12-31 23:59:59.999999999,,Solomon Islands,691471,2,,,,,,2,,3,,96.0,139.0
2020-10-13,23:01:00,1969-12-31 23:59:59.999999999,,Solomon Islands,691518,2,,,,,,2,,3,,96.0,139.0
2020-10-14,23:01:00,1969-12-31 23:59:59.999999999,,Solomon Islands,691564,2,,,,,,2,,3,,96.0,139.0
2020-10-15,14:09:00,2020-10-26 11:06:00.000000000,,Solomon Islands,691610,3,1.0,,,,,3,,4,,96.0,139.0
2020-10-16,22:08:00,2020-10-26 19:06:00.000000000,,Solomon Islands,691656,3,,,,,,3,,4,,96.0,139.0
2020-10-17,23:01:00,2020-10-26 19:58:00.000000000,,Solomon Islands,691702,3,,,,,,3,,4,,96.0,139.0
2020-10-18,22:05:00,2020-10-26 19:03:00.000000000,,Solomon Islands,691748,3,,,,,,3,,4,,96.0,139.0
2020-10-19,22:05:00,2020-10-26 18:59:00.000000000,,Solomon Islands,691795,3,,,,,,3,,4,,96.0,139.0
2020-10-20,22:05:00,2020-10-26 19:04:00.000000000,,Solomon Islands,691841,3,,,,,,3,,4,,96.0,139.0
2020-10-21,22:05:00,2020-10-26 19:03:00.000000000,,Solomon Islands,691887,3,,,,,,3,,4,,96.0,139.0
2020-10-22,22:05:00,2020-10-26 19:04:00.000000000,,Solomon Islands,691933,3,,,,,,3,,4,,96.0,139.0
2020-10-23,22:05:00,2020-10-26 19:02:00.000000000,,Solomon Islands,691979,4,,,,3.0,,1,,6,,96.0,139.0
2020-10-24,23:41:00,2020-10-26 20:40:00.000000000,,Solomon Islands,692025,4,,,,3.0,,1,,6,,96.0,139.0
2020-10-25,23:00:00,2020-10-26 20:58:00.000000000,,Solomon Islands,692071,4,,,,3.0,,1,,6,,96.0,139.0
2020-10-26,23:00:00,2020-10-26 20:56:00.000000000,,Solomon Islands,692118,4,,,,3.0,,1,,6,,96.0,139.0
