Date,Scrap_time,Update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,119,Somalia,15926932,3212,,93,,1562,,1557,2.0,202,6.0,,
2020-08-08,20:00:00,,119,Somalia,15934228,3227,15.0,93,0.0,1728,166.0,1406,2.0,203,6.0,,
2020-08-12,20:00:00,,119,Somalia,15939093,3227,0.0,93,0.0,1728,0.0,1406,2.0,202,6.0,,
2020-08-16,20:00:00,,119,Somalia,15943958,3250,23.0,93,0.0,2268,540.0,889,2.0,204,6.0,,
2020-08-17,20:00:00,,119,Somalia,15945174,3257,7.0,93,0.0,2374,106.0,790,2.0,204,6.0,,
2020-08-18,20:00:00,,119,Somalia,15946390,3257,0.0,93,0.0,2374,0.0,790,2.0,204,6.0,,
2020-08-19,20:00:00,,119,Somalia,15947606,3257,0.0,93,0.0,2374,0.0,790,2.0,204,6.0,,
2020-08-20,17:53:00,,119,Somalia,15948822,3265,8.0,93,0.0,2396,22.0,776,,205,6.0,,
2020-08-23,21:09:00,,119,Somalia,15952471,3269,4.0,93,0.0,2396,0.0,780,,205,6.0,,
2020-08-24,17:10:00,,119,Somalia,15953687,3269,0.0,93,0.0,2396,0.0,780,,205,6.0,,
2020-08-25,23:00:00,,119,Somalia,15954903,3269,0.0,93,0.0,2443,47.0,733,,205,6.0,,
2020-08-26,22:59:00,,119,Somalia,15956119,3275,6.0,95,2.0,2443,0.0,737,,205,6.0,,
2020-08-27,23:00:00,,119,Somalia,15957335,3275,0.0,95,0.0,2443,0.0,737,,205,6.0,,
2020-08-28,23:01:00,,119,Somalia,15958551,3275,0.0,95,0.0,2443,0.0,737,,205,6.0,,
2020-08-29,12:29:00,,119,Somalia,15959768,3275,0.0,95,0.0,2481,38.0,699,,205,6.0,,
2020-08-30,23:00:00,,119,Somalia,15960984,3310,35.0,98,3.0,2481,0.0,731,,207,6.0,,
2020-08-31,18:58:00,,119,Somalia,15962200,3310,0.0,98,0.0,2481,0.0,731,,207,6.0,,
2020-09-01,23:00:00,,119,Somalia,15963416,3310,0.0,98,0.0,2481,0.0,731,,207,6.0,,
2020-09-02,23:01:00,,119,Somalia,15964632,3310,0.0,98,0.0,2481,0.0,731,,207,6.0,,
2020-09-03,23:01:00,,119,Somalia,15965848,3310,0.0,98,0.0,2481,0.0,731,,207,6.0,,
2020-09-04,07:01:00,,119,Somalia,15967064,3310,0.0,98,0.0,2481,0.0,731,,207,6.0,,
2020-09-05,23:31:00,,119,Somalia,15968281,3332,22.0,97,,2696,215.0,539,,209,6.0,,
2020-09-06,18:30:00,,119,Somalia,15969497,3362,30.0,97,0.0,2696,0.0,569,,211,6.0,,
2020-09-07,23:39:00,,119,Somalia,15970713,3362,0.0,97,0.0,2696,0.0,569,,211,6.0,,
