Date,Scrap_time,Update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,5,South Africa,59371352,503290,,8153,,342461,,152676,539,8477,137.0,3001985,50563
2020-08-08,20:00:00,,5,South Africa,59383609,545476,42186.0,9909,1756.0,394759,52298.0,140808,539,9186,167.0,3183658,53612
2020-08-12,20:00:00,,5,South Africa,59391781,566109,20633.0,10751,842.0,426125,31366.0,129233,539,9532,181.0,3278977,55209
2020-08-16,20:00:00,,5,South Africa,59399953,583653,17544.0,11677,926.0,466941,40816.0,105035,539,9826,197.0,3378029,56869
2020-08-17,20:00:00,,5,South Africa,59401996,587345,3692.0,11839,162.0,472377,5436.0,103129,539,9888,199.0,3400638,57248
2020-08-18,20:00:00,,5,South Africa,59404038,589886,2541.0,11982,143.0,477671,5294.0,100233,539,9930,202.0,3415670,57499
2020-08-19,20:00:00,,5,South Africa,59406081,592144,2258.0,12264,282.0,485468,7797.0,94412,539,9968,206.0,3430347,57744
2020-08-20,17:53:00,,5,South Africa,59408124,596060,3916.0,12423,159.0,491441,5973.0,92196,539,10033,209.0,3455671,58168
2020-08-23,21:09:00,,5,South Africa,59414253,607045,10985.0,12987,564.0,504127,12686.0,89931,539,10217,219.0,3535067,59499
2020-08-24,17:10:00,,5,South Africa,59416296,609773,2728.0,13059,72.0,506470,2343.0,90244,539,10263,220.0,3553425,59806
2020-08-25,23:00:00,,5,South Africa,59418339,611450,1677.0,13159,100.0,516494,10024.0,81797,539,10291,221.0,3564065,59983
2020-08-26,22:59:00,,5,South Africa,59420382,615701,4251.0,13502,343.0,525242,8748.0,76957,539,10362,227.0,3598973,60568
2020-08-27,23:00:00,,5,South Africa,59422425,618286,2585.0,13628,126.0,531338,6096.0,73320,539,10405,229.0,3617982,60886
2020-08-28,23:01:00,,5,South Africa,59424468,618286,0.0,13628,0.0,531338,0.0,73320,539,10405,229.0,3617982,60884
2020-08-29,12:29:00,,5,South Africa,59426511,620132,1846.0,13743,115.0,533935,2597.0,72454,539,10435,231.0,3632311,61123
2020-08-30,23:00:00,,5,South Africa,59428553,622551,2419.0,13981,238.0,536694,2759.0,71876,539,10476,235.0,3652970,61468
2020-08-31,18:58:00,,5,South Africa,59430596,625056,2505.0,14028,47.0,538604,1910.0,72424,539,10517,236.0,3674872,61835
2020-09-01,23:00:00,,5,South Africa,59432639,627041,1985.0,14149,121.0,540923,2319.0,71969,539,10550,238.0,3693721,62150
2020-09-02,23:01:00,,5,South Africa,59434682,630595,3554.0,14389,240.0,553456,12533.0,62750,539,10610,242.0,3726721,62703
2020-09-03,23:01:00,,5,South Africa,59436725,633015,2420.0,14563,174.0,554887,1431.0,63565,539,10650,245.0,3747101,63044
2020-09-04,07:01:00,,5,South Africa,59438768,633015,0.0,14563,0.0,554887,0.0,63565,539,10650,245.0,3747101,63041
2020-09-05,23:31:00,,5,South Africa,59440811,636884,3869.0,14779,216.0,561204,6317.0,60901,539,10715,249.0,3783823,63657
2020-09-06,18:30:00,,5,South Africa,59442854,636884,0.0,14779,0.0,561204,0.0,60901,539,10714,249.0,3783823,63655
2020-09-07,23:39:00,,5,South Africa,59444897,639362,2478.0,15004,225.0,566555,5351.0,57803,539,10756,252.0,3808949,64075
2020-09-08,22:10:00,,5,South Africa,59446940,639362,0.0,15004,0.0,566555,0.0,57803,539,10755,252.0,3808949,64073
2020-09-09,22:01:00,,5,South Africa,59448983,640441,1079.0,15086,82.0,567729,1174.0,57626,539,10773,254.0,3821162,64276
2020-09-10,22:01:00,,5,South Africa,59451026,642431,1990.0,15168,82.0,569935,2206.0,57328,539,10806,255.0,3842898,64640
2020-09-11,22:00:00,,5,South Africa,59453068,644438,2007.0,15265,97.0,573003,3068.0,56170,539,10839,257.0,3863453,64983
2020-09-12,22:22:00,,5,South Africa,59455111,646398,1960.0,15378,113.0,574587,1584.0,56433,539,10872,259.0,3884166,65329
2020-09-13,22:01:00,,5,South Africa,59457154,648214,1816.0,15427,49.0,576423,1836.0,56364,539,10902,259.0,3902786,65640
2020-09-14,22:04:00,,5,South Africa,59459197,649793,1579.0,15447,20.0,577906,1483.0,56440,539,10928,260.0,3918478,65902
2020-09-15,21:00:00,,5,South Africa,59461240,650749,956.0,15499,52.0,579289,1383.0,55961,539,10944,261.0,3928614,66070
2020-09-16,21:01:00,,5,South Africa,59463283,651521,772.0,15641,142.0,583126,3837.0,52754,539,10957,263.0,3940217,66263
2020-09-18,20:01:00,,5,South Africa,59467369,655572,4051.0,15772,131.0,585303,2177.0,54497,539,11024,265.0,3983533,66987
2020-09-19,21:00:00,,5,South Africa,59469412,657627,2055.0,15857,85.0,586844,1541.0,54926,539,11058,267.0,4003590,67322
2020-09-20,22:31:00,,5,South Africa,59471455,661211,3584.0,15953,96.0,590071,3227.0,55187,539,11118,268.0,4041453,67956
2020-09-21,21:01:00,,5,South Africa,59473498,661211,0.0,15953,0.0,590071,0.0,55187,539,11118,268.0,4041453,67954
2020-09-22,21:01:00,,5,South Africa,59475541,661936,725.0,15992,39.0,591208,1137.0,54736,539,11130,269.0,4047723,68057
2020-09-23,19:58:00,,5,South Africa,59477584,663282,1346.0,16118,126.0,592904,1696.0,54260,539,11152,271.0,4064117,68330
2020-09-24,21:00:00,,5,South Africa,59479626,665188,1906.0,16206,88.0,594229,1325.0,54753,539,11183,272.0,4083757,68658
2020-09-25,21:00:00,,5,South Africa,59481669,667049,1861.0,16283,77.0,595916,1687.0,54850,539,11214,274.0,4102162,68965
2020-09-26,21:00:00,,5,South Africa,59483712,668529,1480.0,16312,29.0,599149,3233.0,53068,539,11239,274.0,4117079,69214
2020-09-27,22:45:00,,5,South Africa,59485755,669498,969.0,16376,64.0,601818,2669.0,51304,539,11255,275.0,4128438,69402
2020-09-28,22:00:00,,5,South Africa,59487798,670766,1268.0,16398,22.0,603721,1903.0,50647,539,11276,276.0,4143466,69652
2020-09-29,21:35:00,,5,South Africa,59489841,671669,903.0,16586,188.0,604478,757.0,50605,539,11290,279.0,4152480,69801
2020-09-30,22:00:00,,5,South Africa,59491884,672572,903.0,16667,81.0,606520,2042.0,49385,539,11305,280.0,4164491,70001
2020-10-01,21:31:00,,5,South Africa,59493927,674339,1767.0,16734,67.0,608112,1592.0,49493,539,11335,281.0,4187917,70392
2020-10-02,22:36:00,,5,South Africa,59495970,676084,1745.0,16866,132.0,609584,1472.0,49634,539,11364,283.0,4209049,70745
2020-10-03,22:24:00,,5,South Africa,59498013,677833,1749.0,16909,43.0,611044,1460.0,49880,539,11393,284.0,4229709,71090
2020-10-04,21:01:00,,5,South Africa,59500056,679716,1883.0,16938,29.0,612763,1719.0,50015,539,11424,285.0,4251513,71454
2020-10-05,22:13:00,,5,South Africa,59502099,681289,1573.0,16976,38.0,614781,2018.0,49532,539,11450,285.0,4269626,71756
2020-10-06,23:01:00,,5,South Africa,59504141,682215,926.0,17016,40.0,615684,903.0,49515,539,11465,286.0,4280340,71933
2020-10-07,23:01:00,,5,South Africa,59506184,683242,1027.0,17103,87.0,616857,1173.0,49282,539,11482,287.0,4294931,72176
2020-10-08,23:59:00,,5,South Africa,59508227,685155,1913.0,17248,145.0,618127,1270.0,49780,539,11514,290.0,4318514,72570
2020-10-09,23:00:00,,5,South Africa,59510270,686891,1736.0,17408,160.0,618771,644.0,50712,546,11542,293.0,4339686,72923
2020-10-10,23:00:00,,5,South Africa,59512313,688352,1461.0,17547,139.0,620081,1310.0,50724,546,11567,295.0,4360105,73264
2020-10-12,23:10:00,,5,South Africa,59516399,693359,5007.0,17863,316.0,624659,4578.0,50837,546,11650,300.0,4418418,74239
2020-10-13,23:01:00,,5,South Africa,59518442,694537,1178.0,18028,165.0,625574,915.0,50935,546,11669,303.0,4433952,74497
2020-10-14,23:01:00,,5,South Africa,59520485,694537,0.0,18028,0.0,625574,0.0,50935,546,11669,303.0,4433952,74495
2020-10-15,14:09:00,11:06:00,5,South Africa,59522528,696414,1877.0,18151,123.0,626898,1324.0,51365,546,11700,305.0,4458745,74909
2020-10-16,22:08:00,19:06:00,5,South Africa,59524571,698184,1770.0,18309,158.0,628301,1403.0,51574,546,11729,308.0,4481354,75286
2020-10-17,23:01:00,19:58:00,5,South Africa,59526614,702131,3947.0,18408,99.0,630436,2135.0,53287,546,11795,309.0,4528141,76069
2020-10-18,22:05:00,19:03:00,5,South Africa,59528656,702131,0.0,18408,0.0,630436,0.0,53287,546,11795,309.0,4528141,76067
2020-10-19,22:05:00,18:59:00,5,South Africa,59530699,703793,1662.0,18471,63.0,634543,4107.0,50779,546,11822,310.0,4549478,76422
2020-10-20,22:05:00,19:04:00,5,South Africa,59532742,705254,1461.0,18492,21.0,635257,714.0,51505,546,11846,311.0,4565980,76697
2020-10-21,22:05:00,19:03:00,5,South Africa,59534785,706304,1050.0,18656,164.0,639568,4311.0,48080,546,11864,313.0,4581346,76952
2020-10-22,22:05:00,19:04:00,5,South Africa,59536828,708359,2055.0,18741,85.0,641706,2138.0,47912,546,11898,315.0,4607883,77396
2020-10-23,22:05:00,19:02:00,5,South Africa,59538871,710515,2156.0,18843,102.0,642560,854.0,49112,546,11934,316.0,4633671,77826
2020-10-24,23:41:00,20:40:00,5,South Africa,59540914,714246,3731.0,18944,101.0,644641,2081.0,50661,546,11996,318.0,4677942,78567
2020-10-25,23:00:00,20:58:00,5,South Africa,59542957,715868,1622.0,18968,24.0,646170,1529.0,50730,546,12023,319.0,4697939,78900
2020-10-26,23:00:00,20:56:00,5,South Africa,59545000,716759,891.0,19008,40.0,646721,551.0,51030,546,12037,319.0,4709403,79090
2020-10-27,23:00:00,20:58:00,5,South Africa,59547043,717851,1092.0,19053,45.0,647833,1112.0,50965,546,12055,320.0,4726875,79381
2020-10-28,23:00:00,20:58:00,5,South Africa,59549086,719714,1863.0,19111,58.0,648654,821.0,51949,546,12086,321.0,4752596,79810
2020-10-29,23:00:00,20:57:00,5,South Africa,59551129,721770,2056.0,19164,53.0,649935,1281.0,52671,546,12120,322.0,4777609,80227
2020-10-30,23:00:00,20:58:00,5,South Africa,59553172,723682,1912.0,19230,66.0,653052,3117.0,51400,546,12152,323.0,4800823,80614
2020-10-31,23:00:00,20:59:00,5,South Africa,59555214,725452,1770.0,19276,46.0,654182,1130.0,51994,546,12181,324.0,4822973,80983
2020-11-01,23:00:00,20:59:00,5,South Africa,59557257,726823,1371.0,19411,135.0,655330,1148.0,52082,546,12204,326.0,4842516,81309
2020-11-02,23:00:00,20:57:00,5,South Africa,59559300,727595,772.0,19465,54.0,657500,2170.0,50630,546,12216,327.0,4852918,81480
2020-11-03,23:00:00,20:59:00,5,South Africa,59561343,728836,1241.0,19539,74.0,659259,1759.0,50038,546,12237,328.0,4868610,81741
2020-11-04,23:00:00,20:57:00,5,South Africa,59563386,730548,1712.0,19585,46.0,660185,926.0,50778,546,12265,329.0,4893683,82159
2020-11-05,23:00:00,20:59:00,5,South Africa,59565429,732414,1866.0,19677,92.0,671579,11394.0,41158,546,12296,330.0,4917625,82558
2020-11-06,23:00:00,20:58:00,5,South Africa,59567472,734175,1761.0,19749,72.0,675593,4014.0,38833,546,12325,332.0,4940719,82943
2020-11-07,23:00:00,20:57:00,5,South Africa,59569515,735906,1731.0,19789,40.0,678738,3145.0,37379,546,12354,332.0,4963174,83317
2020-11-08,23:00:00,20:49:00,5,South Africa,59571558,737278,1372.0,19809,20.0,679688,950.0,37781,546,12376,333.0,4980440,83604
2020-11-09,23:00:00,20:59:00,5,South Africa,59573601,738525,1247.0,19845,36.0,680726,1038.0,37954,546,12397,333.0,4993081,83814
2020-11-10,23:00:00,20:59:00,5,South Africa,59575644,740254,1729.0,19951,106.0,683194,2468.0,37109,546,12425,335.0,5010350,84101
2020-11-11,23:00:00,20:56:00,5,South Africa,59577687,742394,2140.0,20011,60.0,686458,3264.0,35925,546,12461,336.0,5037782,84558
2020-11-12,23:00:00,20:59:00,5,South Africa,59579729,744732,2338.0,20076,65.0,690903,4445.0,33753,546,12500,337.0,5063457,84986
2020-11-13,23:00:00,20:58:00,5,South Africa,59581772,746945,2213.0,20153,77.0,692177,1274.0,34615,546,12536,338.0,5086887,85377
2020-11-14,23:00:00,20:57:00,5,South Africa,59583815,746945,0.0,20153,0.0,692177,0.0,34615,546,12536,338.0,5086887,85374
2020-11-15,23:00:00,20:53:00,5,South Africa,59585858,751024,4079.0,20241,88.0,693467,1290.0,37316,546,12604,340.0,5110384,85765
2020-11-16,23:00:00,20:59:00,5,South Africa,59587901,752269,1245.0,20314,73.0,695496,2029.0,36459,546,12625,341.0,5142947,86309
2020-11-17,23:00:00,20:58:00,5,South Africa,59589944,754256,1987.0,20432,118.0,696820,1324.0,37004,546,12657,343.0,5160877,86607
2020-11-18,23:00:00,20:57:00,5,South Africa,59591987,757144,2888.0,20556,124.0,701534,4714.0,35054,546,12705,345.0,5189580,87085
2020-11-19,23:00:00,20:59:00,5,South Africa,59594030,757144,0.0,20556,0.0,701534,0.0,35054,546,12705,345.0,5189580,87082
2020-11-20,23:00:00,20:59:00,5,South Africa,59596073,762763,5619.0,20759,203.0,707040,5506.0,34964,546,12799,348.0,5243055,87977
2020-11-21,23:00:00,20:58:00,5,South Africa,59598116,765409,2646.0,20845,86.0,707784,744.0,36780,546,12843,350.0,5269062,88410
2020-11-22,23:00:00,20:59:00,5,South Africa,59600159,767679,2270.0,20903,58.0,710099,2315.0,36677,546,12880,351.0,5290966,88774
2020-11-23,23:00:00,20:58:00,5,South Africa,59602202,769759,2080.0,20968,65.0,711195,1096.0,37596,546,12915,352.0,5305343,89013
2020-11-24,23:00:00,20:57:00,5,South Africa,59604244,772252,2493.0,21083,115.0,716444,5249.0,34725,546,12956,354.0,5325631,89350
2020-11-25,23:00:00,20:58:00,5,South Africa,59606287,772252,0.0,21083,0.0,716444,0.0,34725,546,12956,354.0,5325631,89347
2020-11-26,23:00:00,20:47:00,5,South Africa,59608330,775502,3250.0,21201,118.0,716444,0.0,37857,546,13010,356.0,5355068,89838
2020-11-27,23:00:00,20:59:00,5,South Africa,59610373,778571,3069.0,21289,88.0,716444,0.0,40838,546,13061,357.0,5383078,90304
2020-11-28,23:00:00,20:46:00,5,South Africa,59612416,785139,6568.0,21439,150.0,723347,6903.0,40353,546,13171,360.0,5383078,90301
2020-11-29,23:00:00,20:51:00,5,South Africa,59614459,787702,2563.0,21477,38.0,730633,7286.0,35592,546,13213,360.0,5383078,90298
2020-11-30,23:00:00,20:57:00,5,South Africa,59616502,790004,2302.0,21535,58.0,731242,609.0,37227,546,13251,361.0,5383078,90295
2020-12-01,23:00:00,20:55:00,5,South Africa,59618545,792299,2295.0,21644,109.0,732531,1289.0,38124,546,13289,363.0,5383078,90292
2020-12-02,23:00:00,20:58:00,5,South Africa,59620588,796472,4173.0,21709,65.0,734305,1774.0,40458,546,13359,364.0,5468670,91725
2020-12-03,23:00:00,20:59:00,5,South Africa,59622631,800872,4400.0,21803,94.0,739367,5062.0,39702,546,13432,366.0,5500669,92258
2020-12-04,23:00:00,20:57:00,5,South Africa,59624674,800872,0.0,21803,0.0,739367,0.0,39702,546,13432,366.0,5500669,92255
2020-12-05,23:00:00,20:58:00,5,South Africa,59626717,810449,9577.0,22067,264.0,744298,4931.0,44084,546,13592,370.0,5565928,93346
2020-12-06,23:00:00,20:51:00,5,South Africa,59628760,814565,4116.0,22206,139.0,744780,482.0,47579,546,13661,372.0,5592663,93791
2020-12-07,23:00:00,20:57:00,5,South Africa,59630802,817878,3313.0,22249,43.0,745750,970.0,49879,546,13716,373.0,5611915,94111
2020-12-08,23:00:00,20:59:00,5,South Africa,59632845,821889,4011.0,22432,183.0,753072,7322.0,46385,546,13782,376.0,5640042,94579
2020-12-09,23:00:00,20:59:00,5,South Africa,59634888,828598,6709.0,22574,142.0,754658,1586.0,51366,546,13895,379.0,5690263,95418
2020-12-10,23:00:00,20:59:00,5,South Africa,59636931,836764,8166.0,22747,173.0,756671,2013.0,57346,546,14031,381.0,5735470,96173
2020-12-11,23:00:00,20:59:00,5,South Africa,59638974,845083,8319.0,22952,205.0,758373,1702.0,63758,546,14170,385.0,5779544,96909
2020-12-12,23:00:00,20:58:00,5,South Africa,59641017,852965,7882.0,23106,154.0,760118,1745.0,69741,546,14302,387.0,5819755,97580
2020-12-13,23:00:00,20:59:00,5,South Africa,59643060,860964,7999.0,23276,170.0,761011,893.0,76677,546,14435,390.0,5859178,98237
2020-12-14,23:35:00,21:34:00,5,South Africa,59645103,866127,5163.0,23451,175.0,762746,1735.0,79930,546,14521,393.0,5884227,98654
2020-12-15,23:00:00,20:59:00,5,South Africa,59647146,866127,0.0,23451,0.0,762746,0.0,79930,546,14521,393.0,5884227,98651
