scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,205,St. Barth,9880,9,1.0,,,6,,3,,911.0,,1246,126113.0
2020-08-08,20:00:00,,205,St. Barth,9880,9,,,,6,,3,,911.0,,1246,126113.0
2020-08-12,20:00:00,,205,St. Barth,9880,13,,,,6,,7,,1316.0,,1612,163158.0
2020-08-16,20:00:00,,205,St. Barth,9881,13,,,,9,,4,,1316.0,,1699,171946.0
2020-08-17,20:00:00,,205,St. Barth,9881,13,,,,9,,4,,1316.0,,1699,171946.0
2020-08-18,20:00:00,,205,St. Barth,9881,16,,,,9,,7,,1619.0,,1699,171946.0
2020-08-19,20:00:00,,205,St. Barth,9881,16,,,,9,,7,,1619.0,,1699,171946.0
2020-08-20,17:53:00,,205,St. Barth,9881,16,,,,9,,7,,1619.0,,1699,171946.0
2020-08-23,21:09:00,,205,St. Barth,9881,16,,,,9,,7,,1619.0,,1699,171946.0
2020-08-24,17:10:00,,205,St. Barth,9881,16,,,,9,,7,,1619.0,,1699,171946.0
2020-08-25,23:00:00,,205,St. Barth,9882,16,,,,9,,7,,1619.0,,1699,171929.0
2020-08-26,22:59:00,,205,St. Barth,9882,17,,,,9,,8,,1720.0,,2075,209978.0
2020-08-27,23:00:00,,205,St. Barth,9882,17,,,,9,,8,,1720.0,,2075,209978.0
2020-08-28,23:01:00,,205,St. Barth,9882,17,,,,9,,8,,1720.0,,2075,209978.0
2020-08-29,12:29:00,,205,St. Barth,9882,18,,,,13,,5,,1821.0,,2075,209978.0
2020-08-30,23:00:00,,205,St. Barth,9882,18,,,,13,,5,,1821.0,,2075,209978.0
2020-08-31,18:58:00,,205,St. Barth,9882,18,,,,13,,5,,1821.0,,2075,209978.0
2020-09-01,23:00:00,,205,St. Barth,9882,18,,,,13,,5,,1821.0,,2075,209978.0
2020-09-02,23:01:00,,205,St. Barth,9882,18,,,,13,,5,,1821.0,,2075,209978.0
2020-09-03,23:01:00,,205,St. Barth,9882,18,,,,13,,5,,1821.0,,2075,209978.0
2020-09-04,07:01:00,,205,St. Barth,9882,18,,,,13,,5,,1821.0,,2075,209978.0
2020-09-05,23:31:00,,205,St. Barth,9882,18,,,,13,,5,,1821.0,,2075,209978.0
2020-09-06,18:30:00,,205,St. Barth,9883,18,,,,13,,5,,1821.0,,2075,209956.0
2020-09-07,23:39:00,,205,St. Barth,9883,18,,,,13,,5,,1821.0,,2075,209956.0
