scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,110971,55,1.0,,,45,1.0,10,,496,,2190,19735
2020-08-08,20:00:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,110977,56,,,,49,,7,,505,,2448,22059
2020-08-12,20:00:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,110981,57,,,,52,,5,,514,,2529,22788
2020-08-16,20:00:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,110985,57,,,,55,,2,,514,,2649,23868
2020-08-17,20:00:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,110986,57,,,,55,,2,,514,,2880,25949
2020-08-18,20:00:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,110986,58,,,,55,,3,,523,,2880,25949
2020-08-19,20:00:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,110987,58,,,,55,,3,,523,,2954,26616
2020-08-20,17:53:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,110988,58,,,,56,,2,,523,,2954,26615
2020-08-23,21:09:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,110991,58,,,,56,,2,,523,,3039,27381
2020-08-24,17:10:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,110992,58,,,,56,,2,,523,,3039,27380
2020-08-25,23:00:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,110993,58,,,,56,,2,,523,,3039,27380
2020-08-26,22:59:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,110994,58,,,,57,,1,,523,,3214,28957
2020-08-27,23:00:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,110995,58,,,,57,,1,,523,,3214,28956
2020-08-28,23:01:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,110996,60,,,,57,,3,,541,,3315,29866
2020-08-29,12:29:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,110997,60,,,,57,,3,,541,,3315,29866
2020-08-30,23:00:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,110998,60,,,,57,,3,,541,,3315,29865
2020-08-31,18:58:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,110999,60,,,,57,,3,,541,,3472,31280
2020-09-01,23:00:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,111000,60,,,,57,,3,,541,,3472,31279
2020-09-02,23:01:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,111001,61,,,,57,,4,,550,,3805,34279
2020-09-03,23:01:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,111002,61,,,,57,,4,,550,,3805,34279
2020-09-04,07:01:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,111003,61,,,,57,,4,,550,,3897,35107
2020-09-05,23:31:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,111004,61,,,,57,,4,,550,,3918,35296
2020-09-06,18:30:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,111005,61,,,,58,1.0,3,,550,,3986,35908
2020-09-07,23:39:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,111006,61,,,,58,,3,,550,,4055,36530
2020-09-08,22:10:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,111007,62,1.0,,,58,,4,,559,,4055,36529
2020-09-10,22:01:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,111009,62,,,,58,,4,,559,,4171,37574
2020-09-11,22:00:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,111010,62,,,,58,,4,,559,,4171,37573
2020-09-12,22:22:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,111010,64,2.0,,,61,,3,,577,,4335,39051
2020-09-13,22:01:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,111011,64,,,,61,,3,,577,,4335,39050
2020-09-14,22:04:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,111012,64,,,,61,,3,,577,,4485,40401
2020-09-15,21:00:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,111013,64,,,,61,,3,,577,,4513,40653
2020-09-16,21:01:00,1969-12-31 23:59:59.999999999,193,St. Vincent Grenadines,111014,64,,,,62,,2,,577,,4530,40806
