scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,1969-12-31 23:59:59.999999999,82,Sudan,43929512,11738,,752,,6137,,4849,,267,17.0,401.0,9.0
2020-08-08,20:00:00,1969-12-31 23:59:59.999999999,82,Sudan,43946341,11894,,773,,6243,,4878,,271,18.0,401.0,9.0
2020-08-12,20:00:00,1969-12-31 23:59:59.999999999,82,Sudan,43957560,12033,,786,,6282,,4965,,274,18.0,401.0,9.0
2020-08-16,20:00:00,1969-12-31 23:59:59.999999999,82,Sudan,43968778,12314,103.0,798,2.0,6350,10.0,5166,,280,18.0,401.0,9.0
2020-08-17,20:00:00,1969-12-31 23:59:59.999999999,82,Sudan,43971583,12410,96.0,803,5.0,6385,35.0,5222,,282,18.0,401.0,9.0
2020-08-18,20:00:00,1969-12-31 23:59:59.999999999,82,Sudan,43974388,12485,75.0,805,2.0,6398,13.0,5282,,284,18.0,401.0,9.0
2020-08-19,20:00:00,1969-12-31 23:59:59.999999999,82,Sudan,43977192,12546,61.0,808,3.0,6429,31.0,5309,,285,18.0,401.0,9.0
2020-08-20,17:53:00,1969-12-31 23:59:59.999999999,82,Sudan,43979997,12582,36.0,812,4.0,6456,27.0,5314,,286,18.0,401.0,9.0
2020-08-23,21:09:00,1969-12-31 23:59:59.999999999,82,Sudan,43988411,12682,,815,,6492,,5375,,288,19.0,401.0,9.0
2020-08-24,17:10:00,1969-12-31 23:59:59.999999999,82,Sudan,43991216,12836,,815,,6497,,5524,,292,19.0,401.0,9.0
2020-08-25,23:00:00,1969-12-31 23:59:59.999999999,82,Sudan,43994021,12974,71.0,819,1.0,6557,19.0,5598,,295,19.0,401.0,9.0
2020-08-26,22:59:00,1969-12-31 23:59:59.999999999,82,Sudan,43996825,12974,,819,,6557,,5598,,295,19.0,401.0,9.0
2020-08-27,23:00:00,1969-12-31 23:59:59.999999999,82,Sudan,43999630,13045,71.0,823,4.0,6594,37.0,5628,,296,19.0,401.0,9.0
