scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,114,Suriname,587082,1760,,26,,1161,,573,12,2998,44.0,1818,3097
2020-08-08,20:00:00,,114,Suriname,587168,2203,443.0,29,3.0,1505,344.0,669,12,3752,49.0,3253,5540
2020-08-12,20:00:00,,114,Suriname,587225,2559,356.0,39,10.0,1712,207.0,808,14,4358,66.0,4060,6914
2020-08-16,20:00:00,,114,Suriname,587283,2961,402.0,42,3.0,1990,278.0,929,15,5042,72.0,4449,7576
2020-08-17,20:00:00,,114,Suriname,587297,3016,55.0,47,5.0,2036,46.0,933,11,5135,80.0,4639,7899
2020-08-18,20:00:00,,114,Suriname,587311,3077,61.0,48,1.0,2138,102.0,891,13,5239,82.0,4835,8232
2020-08-19,20:00:00,,114,Suriname,587326,3216,139.0,54,6.0,2196,58.0,966,13,5476,92.0,5284,8997
2020-08-20,17:53:00,,114,Suriname,587340,3295,79.0,54,0.0,2227,31.0,1014,16,5610,92.0,5568,9480
2020-08-23,21:09:00,,114,Suriname,587383,3569,274.0,57,3.0,2559,332.0,953,20,6076,97.0,6642,11308
2020-08-24,17:10:00,,114,Suriname,587397,3607,38.0,58,1.0,2688,129.0,861,20,6141,99.0,6796,11570
2020-08-25,23:00:00,,114,Suriname,587412,3632,25.0,60,2.0,2758,70.0,814,21,6183,102.0,6929,11796
2020-08-26,22:59:00,,114,Suriname,587426,3698,66.0,61,1.0,2818,60.0,819,20,6295,104.0,7186,12233
2020-08-27,23:00:00,,114,Suriname,587440,3724,26.0,62,1.0,2863,45.0,799,23,6339,106.0,7337,12490
2020-08-28,23:01:00,,114,Suriname,587455,3793,69.0,66,4.0,2893,30.0,834,23,6457,112.0,7613,12959
2020-08-29,12:29:00,,114,Suriname,587469,3848,55.0,66,0.0,2971,78.0,811,24,6550,112.0,7837,13340
2020-08-30,23:00:00,,114,Suriname,587484,3954,106.0,67,1.0,2991,20.0,896,24,6730,114.0,8309,14143
2020-08-31,18:58:00,,114,Suriname,587498,4009,55.0,67,0.0,3073,82.0,869,23,6824,114.0,8546,14546
2020-09-01,23:00:00,,114,Suriname,587512,4034,25.0,71,4.0,3140,67.0,823,18,6866,121.0,8616,14665
2020-09-02,23:01:00,,114,Suriname,587527,4089,55.0,72,1.0,3171,31.0,846,19,6960,123.0,8881,15116
2020-09-03,23:01:00,,114,Suriname,587541,4149,60.0,72,0.0,3272,101.0,805,8,7062,123.0,9216,15686
2020-09-04,07:01:00,,114,Suriname,587555,4215,66.0,73,1.0,3318,46.0,824,17,7174,124.0,9580,16305
2020-09-05,23:31:00,,114,Suriname,587570,4252,37.0,75,2.0,3366,48.0,811,17,7237,128.0,9812,16699
2020-09-06,18:30:00,,114,Suriname,587584,4320,68.0,77,2.0,3426,60.0,817,14,7352,131.0,10210,17376
2020-09-07,23:39:00,,114,Suriname,587598,4346,26.0,85,8.0,3494,68.0,767,12,7396,145.0,10298,17526
2020-09-08,22:10:00,,114,Suriname,587613,4360,14.0,91,6.0,3544,50.0,725,8,7420,155.0,10372,17651
2020-09-10,22:01:00,,114,Suriname,587641,4447,87.0,92,1.0,3622,78.0,733,8,7568,157.0,10874,18504
2020-09-11,22:00:00,,114,Suriname,587656,4477,30.0,93,1.0,3706,84.0,678,9,7618,158.0,11137,18952
2020-09-12,22:22:00,,114,Suriname,587670,4529,52.0,93,0.0,3747,41.0,689,8,7707,158.0,11387,19377
2020-09-13,22:01:00,,114,Suriname,587684,4579,50.0,93,0.0,3788,41.0,698,7,7792,158.0,11729,19958
2020-09-14,22:04:00,,114,Suriname,587699,4582,3.0,93,0.0,3850,62.0,639,7,7797,158.0,11762,20014
2020-09-15,21:00:00,,114,Suriname,587713,4611,29.0,95,2.0,3935,85.0,581,9,7846,162.0,11918,20279
2020-09-16,21:01:00,,114,Suriname,587727,4625,14.0,95,0.0,3996,61.0,534,7,7869,162.0,12100,20588
2020-09-18,20:01:00,,114,Suriname,587756,4671,46.0,95,0.0,4160,164.0,416,7,7947,162.0,12462,21203
2020-09-19,21:00:00,,114,Suriname,587770,4691,20.0,96,1.0,4280,120.0,315,7,7981,163.0,12643,21510
2020-09-20,22:31:00,,114,Suriname,587785,4709,18.0,97,1.0,4383,103.0,229,7,8011,165.0,12811,21795
2020-09-21,21:01:00,,114,Suriname,587799,4723,14.0,97,0.0,4488,105.0,138,6,8035,165.0,12865,21887
2020-09-22,21:01:00,,114,Suriname,587814,4740,17.0,97,0.0,4525,37.0,118,4,8064,165.0,12963,22053
