Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,132,Syria,17533776,780,,43,,237,,500,,44,2.0,,
2020-08-08 20:00:00,,2020-08-08,132,Syria,17540765,1125,345.0,50,7.0,331,94.0,744,,64,3.0,,
2020-08-12 20:00:00,,2020-08-12,132,Syria,17545425,1327,202.0,53,3.0,385,54.0,889,,76,3.0,,
2020-08-16 20:00:00,,2020-08-16,132,Syria,17550085,1593,266.0,60,7.0,408,23.0,1125,,91,3.0,,
2020-08-17 20:00:00,,2020-08-17,132,Syria,17551249,1677,84.0,64,4.0,417,9.0,1196,,96,4.0,,
2020-08-18 20:00:00,,2020-08-18,132,Syria,17552414,1764,87.0,68,4.0,425,8.0,1271,,100,4.0,,
2020-08-19 20:00:00,,2020-08-19,132,Syria,17553579,1844,80.0,73,5.0,425,0.0,1346,,105,4.0,,
2020-08-20 17:53:00,,2020-08-20,132,Syria,17554744,1927,83.0,78,5.0,445,20.0,1404,,110,4.0,,
2020-08-23 21:09:00,,2020-08-23,132,Syria,17558239,2143,216.0,85,7.0,490,45.0,1568,,122,5.0,,
2020-08-24 17:10:00,,2020-08-24,132,Syria,17559404,2217,74.0,89,4.0,505,15.0,1623,,126,5.0,,
2020-08-25 23:00:00,,2020-08-25,132,Syria,17560569,2293,76.0,92,3.0,519,14.0,1682,,131,5.0,,
2020-08-26 22:59:00,,2020-08-26,132,Syria,17561734,2365,72.0,95,3.0,533,14.0,1737,,135,5.0,,
2020-08-27 23:00:00,,2020-08-27,132,Syria,17562899,2504,139.0,100,5.0,569,36.0,1835,,143,6.0,,
2020-08-28 23:01:00,,2020-08-28,132,Syria,17564064,2563,59.0,103,3.0,584,15.0,1876,,146,6.0,,
2020-08-29 12:29:00,,2020-08-29,132,Syria,17565229,2563,0.0,103,0.0,584,0.0,1876,,146,6.0,,
2020-08-30 23:00:00,,2020-08-30,132,Syria,17566394,2703,140.0,109,6.0,614,30.0,1980,,154,6.0,,
2020-08-31 18:58:00,,2020-08-31,132,Syria,17567558,2703,0.0,109,0.0,614,0.0,1980,,154,6.0,,
2020-09-01 23:00:00,,2020-09-01,132,Syria,17568723,2765,62.0,112,3.0,629,15.0,2024,,157,6.0,,
2020-09-02 23:01:00,,2020-09-02,132,Syria,17569888,2898,133.0,120,8.0,661,32.0,2117,,165,7.0,,
2020-09-03 23:01:00,,2020-09-03,132,Syria,17571053,2973,75.0,124,4.0,681,20.0,2168,,169,7.0,,
2020-09-04 07:01:00,,2020-09-04,132,Syria,17572218,2973,0.0,124,0.0,681,0.0,2168,,169,7.0,,
2020-09-05 23:31:00,,2020-09-05,132,Syria,17573383,3104,131.0,130,6.0,715,34.0,2259,,177,7.0,,
2020-09-06 18:30:00,,2020-09-06,132,Syria,17574548,3104,0.0,130,0.0,715,0.0,2259,,177,7.0,,
2020-09-07 23:39:00,,2020-09-07,132,Syria,17575713,3171,67.0,134,4.0,730,15.0,2307,,180,8.0,,
2020-09-08 22:10:00,,2020-09-08,132,Syria,17576878,3229,58.0,137,3.0,744,14.0,2348,,184,8.0,,
2020-09-10 22:01:00,,2020-09-10,132,Syria,17579208,3351,122.0,143,6.0,780,36.0,2428,,191,8.0,,
2020-09-11 22:00:00,,2020-09-11,132,Syria,17580373,3416,65.0,147,4.0,797,17.0,2472,,194,8.0,,
2020-09-12 22:22:00,,2020-09-12,132,Syria,17581538,3476,60.0,150,3.0,812,15.0,2514,,198,9.0,,
2020-09-13 22:01:00,,2020-09-13,132,Syria,17582702,3506,30.0,152,2.0,827,15.0,2527,,199,9.0,,
2020-09-14 22:04:00,,2020-09-14,132,Syria,17583867,3540,34.0,155,3.0,842,15.0,2543,,201,9.0,,
2020-09-15 21:00:00,,2020-09-15,132,Syria,17585032,3576,36.0,157,2.0,858,16.0,2561,,203,9.0,,
2020-09-16 21:01:00,,2020-09-16,132,Syria,17586197,3614,38.0,160,3.0,871,13.0,2583,,206,9.0,,
2020-09-18 20:01:00,,2020-09-18,132,Syria,17588527,3691,77.0,165,5.0,903,32.0,2623,,210,9.0,,
2020-09-19 21:00:00,,2020-09-19,132,Syria,17589692,3731,40.0,168,3.0,918,15.0,2645,,212,10.0,,
2020-09-20 22:31:00,,2020-09-20,132,Syria,17590857,3800,69.0,172,4.0,946,28.0,2682,,216,10.0,,
2020-09-21 21:01:00,,2020-09-21,132,Syria,17592022,3800,0.0,172,0.0,946,0.0,2682,,216,10.0,,
2020-09-22 21:01:00,,2020-09-22,132,Syria,17593187,3833,33.0,175,3.0,963,17.0,2695,,218,10.0,,
2020-09-23 19:58:00,,2020-09-23,132,Syria,17594352,3877,44.0,178,3.0,983,20.0,2716,,220,10.0,,
2020-09-24 21:00:00,,2020-09-24,132,Syria,17595517,3924,47.0,181,3.0,998,15.0,2745,,223,10.0,,
2020-09-25 21:00:00,,2020-09-25,132,Syria,17596682,3966,42.0,183,2.0,1013,15.0,2770,,225,10.0,,
2020-09-26 21:00:00,,2020-09-26,132,Syria,17597847,4001,35.0,185,2.0,1028,15.0,2788,,227,11.0,,
2020-09-27 22:45:00,,2020-09-27,132,Syria,17599011,4072,71.0,192,7.0,1062,34.0,2818,,231,11.0,,
2020-09-28 22:00:00,,2020-09-28,132,Syria,17600176,4072,0.0,192,0.0,1062,0.0,2818,,231,11.0,,
2020-09-29 21:35:00,,2020-09-29,132,Syria,17601341,4102,30.0,194,2.0,1074,12.0,2834,,233,11.0,,
2020-09-30 22:00:00,,2020-09-30,132,Syria,17602506,4148,46.0,197,3.0,1088,14.0,2863,,236,11.0,,
2020-10-01 21:31:00,,2020-10-01,132,Syria,17603671,4200,52.0,200,3.0,1103,15.0,2897,,239,11.0,,
2020-10-02 22:36:00,,2020-10-02,132,Syria,17604836,4247,47.0,202,2.0,1117,14.0,2928,,241,11.0,,
