Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,93,Tajikistan,9554535,7495,,61,,6276,,1158,,784,6.0,,
2020-08-08 20:00:00,,2020-08-08,93,Tajikistan,9558055,7706,211.0,62,1.0,6484,208.0,1160,,806,6.0,,
2020-08-12 20:00:00,,2020-08-12,93,Tajikistan,9560402,7871,165.0,63,1.0,6653,169.0,1155,,823,7.0,,
2020-08-16 20:00:00,,2020-08-16,93,Tajikistan,9562749,8029,158.0,64,1.0,6815,162.0,1150,,840,7.0,,
2020-08-17 20:00:00,,2020-08-17,93,Tajikistan,9563336,8065,36.0,64,0.0,6855,40.0,1146,,843,7.0,,
2020-08-18 20:00:00,,2020-08-18,93,Tajikistan,9563922,8131,66.0,65,1.0,6935,80.0,1131,,850,7.0,,
2020-08-19 20:00:00,,2020-08-19,93,Tajikistan,9564509,8131,0.0,65,0.0,6935,0.0,1131,,850,7.0,,
2020-08-20 17:53:00,,2020-08-20,93,Tajikistan,9565096,8203,72.0,66,1.0,7006,71.0,1131,,858,7.0,,
2020-08-23 21:09:00,,2020-08-23,93,Tajikistan,9566856,8311,108.0,66,0.0,7108,102.0,1137,,869,7.0,,
2020-08-24 17:10:00,,2020-08-24,93,Tajikistan,9567443,8346,35.0,67,1.0,7142,34.0,1137,,872,7.0,,
2020-08-25 23:00:00,,2020-08-25,93,Tajikistan,9568029,8379,33.0,67,0.0,7179,37.0,1133,,876,7.0,,
2020-08-26 22:59:00,,2020-08-26,93,Tajikistan,9568616,8413,34.0,67,0.0,7214,35.0,1132,,879,7.0,,
2020-08-27 23:00:00,,2020-08-27,93,Tajikistan,9569203,8449,36.0,68,1.0,7246,32.0,1135,,883,7.0,,
2020-08-28 23:01:00,,2020-08-28,93,Tajikistan,9569790,8481,32.0,68,0.0,7276,30.0,1137,,886,7.0,,
