scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,166,Tanzania,59863047,509,,21,,183,,305,7,9,0.4,,
2020-08-08,20:00:00,,166,Tanzania,59891050,509,0.0,21,0.0,183,0.0,305,7,8,0.4,,
2020-08-12,20:00:00,,166,Tanzania,59909720,509,0.0,21,0.0,183,0.0,305,7,8,0.4,,
2020-08-16,20:00:00,,166,Tanzania,59928389,509,0.0,21,0.0,183,0.0,305,7,8,0.4,,
2020-08-17,20:00:00,,166,Tanzania,59933056,509,0.0,21,0.0,183,0.0,305,7,8,0.4,,
2020-08-18,20:00:00,,166,Tanzania,59937723,509,0.0,21,0.0,183,0.0,305,7,8,0.4,,
2020-08-19,20:00:00,,166,Tanzania,59942391,509,0.0,21,0.0,183,0.0,305,7,8,0.4,,
2020-08-20,17:53:00,,166,Tanzania,59947058,509,0.0,21,0.0,183,0.0,305,7,8,0.4,,
2020-08-23,21:09:00,,166,Tanzania,59961060,509,0.0,21,0.0,183,0.0,305,7,8,0.4,,
2020-08-24,17:10:00,,166,Tanzania,59965727,509,0.0,21,0.0,183,0.0,305,7,8,0.4,,
2020-08-25,23:00:00,,166,Tanzania,59970394,509,0.0,21,0.0,183,0.0,305,7,8,0.4,,
2020-08-26,22:59:00,,166,Tanzania,59975062,509,0.0,21,0.0,183,0.0,305,7,8,0.4,,
2020-08-27,23:00:00,,166,Tanzania,59979729,509,0.0,21,0.0,183,0.0,305,7,8,0.4,,
2020-08-28,23:01:00,,166,Tanzania,59984396,509,0.0,21,0.0,183,0.0,305,7,8,0.4,,
2020-08-29,12:29:00,,166,Tanzania,59989064,509,0.0,21,0.0,183,0.0,305,7,8,0.4,,
2020-08-30,23:00:00,,166,Tanzania,59993731,509,0.0,21,0.0,183,0.0,305,7,8,0.4,,
2020-08-31,18:58:00,,166,Tanzania,59998398,509,0.0,21,0.0,183,0.0,305,7,8,0.4,,
2020-09-01,23:00:00,,166,Tanzania,60003066,509,0.0,21,0.0,183,0.0,305,7,8,0.3,,
2020-09-02,23:01:00,,166,Tanzania,60007733,509,0.0,21,0.0,183,0.0,305,7,8,0.3,,
2020-09-03,23:01:00,,166,Tanzania,60012400,509,0.0,21,0.0,183,0.0,305,7,8,0.3,,
2020-09-04,07:01:00,,166,Tanzania,60017067,509,0.0,21,0.0,183,0.0,305,7,8,0.3,,
2020-09-05,23:31:00,,166,Tanzania,60021735,509,0.0,21,0.0,183,0.0,305,7,8,0.3,,
2020-09-06,18:30:00,,166,Tanzania,60026402,509,0.0,21,0.0,183,0.0,305,7,8,0.3,,
2020-09-07,23:39:00,,166,Tanzania,60031069,509,0.0,21,0.0,183,0.0,305,7,8,0.3,,
2020-09-08,22:10:00,,166,Tanzania,60035737,509,0.0,21,0.0,183,0.0,305,7,8,0.3,,
2020-09-10,22:01:00,,166,Tanzania,60045071,509,0.0,21,0.0,183,0.0,305,7,8,0.3,,
2020-09-11,22:00:00,,166,Tanzania,60049738,509,0.0,21,0.0,183,0.0,305,7,8,0.3,,
2020-09-12,22:22:00,,166,Tanzania,60054406,509,0.0,21,0.0,183,0.0,305,7,8,0.3,,
2020-09-13,22:01:00,,166,Tanzania,60059073,509,0.0,21,0.0,183,0.0,305,7,8,0.3,,
2020-09-14,22:04:00,,166,Tanzania,60063740,509,0.0,21,0.0,183,0.0,305,7,8,0.3,,
