scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-02,20:00:00,2020-08-02,,158,Trinidad and Tobago,1399888,180,7.0,8,,132,,40,,129,6.0,8282,5916,1
2020-08-08,20:00:00,2020-08-08,,158,Trinidad and Tobago,1399962,243,18.0,8,,135,,100,,174,6.0,10399,7428,1
2020-08-12,20:00:00,2020-08-12,,158,Trinidad and Tobago,1400012,300,,8,,139,,153,,214,6.0,11387,8134,1
2020-08-16,20:00:00,2020-08-16,,158,Trinidad and Tobago,1400061,497,,10,,139,,348,3.0,355,7.0,13398,9570,1
2020-08-17,20:00:00,2020-08-17,,158,Trinidad and Tobago,1400074,565,13.0,12,1.0,140,,413,3.0,404,9.0,14655,10467,1
2020-08-18,20:00:00,2020-08-18,,158,Trinidad and Tobago,1400086,600,12.0,12,,140,,448,3.0,429,9.0,16051,11464,1
2020-08-19,20:00:00,2020-08-19,,158,Trinidad and Tobago,1400098,629,,12,,140,,477,3.0,449,9.0,16453,11751,1
2020-08-20,17:53:00,2020-08-20,,158,Trinidad and Tobago,1400111,730,44.0,12,,140,,578,3.0,521,9.0,17761,12685,1
2020-08-23,21:09:00,2020-08-23,,158,Trinidad and Tobago,1400148,963,33.0,14,1.0,165,,784,6.0,688,10.0,19123,13658,1
2020-08-24,17:10:00,2020-08-24,,158,Trinidad and Tobago,1400160,1007,,14,,165,,828,6.0,719,10.0,19461,13899,1
2020-08-25,23:00:00,2020-08-25,,158,Trinidad and Tobago,1400172,1184,85.0,15,,178,13.0,991,6.0,846,11.0,20101,14356,1
2020-08-26,22:59:00,2020-08-26,,158,Trinidad and Tobago,1400185,1384,132.0,15,,192,14.0,1177,6.0,988,11.0,20756,14824,1
2020-08-27,23:00:00,2020-08-27,,158,Trinidad and Tobago,1400197,1429,18.0,15,,192,,1222,6.0,1021,11.0,22375,15980,1
2020-08-28,23:01:00,2020-08-28,,158,Trinidad and Tobago,1400209,1512,36.0,17,2.0,594,,901,6.0,1080,12.0,22792,16278,1
2020-08-29,12:29:00,2020-08-29,,158,Trinidad and Tobago,1400222,1554,,19,,628,,907,5.0,1110,14.0,22937,16381,1
2020-08-30,23:00:00,2020-08-30,,158,Trinidad and Tobago,1400234,1683,38.0,21,2.0,672,,990,5.0,1202,15.0,23429,16732,1
2020-08-31,18:58:00,2020-08-31,,158,Trinidad and Tobago,1400246,1683,,21,,672,,990,5.0,1202,15.0,23429,16732,1
2020-09-01,23:00:00,2020-09-01,,158,Trinidad and Tobago,1400259,1773,14.0,25,3.0,685,9.0,1063,6.0,1266,18.0,23651,16890,1
2020-09-02,23:01:00,2020-09-02,,158,Trinidad and Tobago,1400271,1839,42.0,28,1.0,691,6.0,1120,6.0,1313,20.0,23934,17092,1
2020-09-03,23:01:00,2020-09-03,,158,Trinidad and Tobago,1400283,1941,21.0,28,,700,9.0,1213,6.0,1386,20.0,24209,17289,1
2020-09-04,07:01:00,2020-09-04,,158,Trinidad and Tobago,1400296,1984,,29,,700,,1255,6.0,1417,21.0,24449,17460,1
2020-09-05,23:31:00,2020-09-05,,158,Trinidad and Tobago,1400308,2142,102.0,32,1.0,717,10.0,1393,16.0,1530,23.0,24692,17633,1
2020-09-06,18:30:00,2020-09-06,,158,Trinidad and Tobago,1400321,2234,4.0,33,,724,7.0,1477,16.0,1595,24.0,24884,17770,1
