scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-02,20:00:00,2020-08-02,,13,UK,67917167,303952,,46193,,,,,86,4475,680.0,16280223,239707,4
2020-08-08,20:00:00,2020-08-08,,13,UK,67923001,309763,758.0,46566,55.0,,,,67,4561,686.0,17801559,262084,4
2020-08-12,20:00:00,2020-08-12,,13,UK,67926890,312789,,46628,,,,,67,4605,686.0,18868566,277778,4
2020-08-16,20:00:00,2020-08-16,,13,UK,67930780,317379,,41361,,,,,73,4672,609.0,14320621,210812,4
2020-08-17,20:00:00,2020-08-17,,13,UK,67931752,319197,713.0,41369,3.0,,,,73,4699,609.0,14674841,216023,4
2020-08-18,20:00:00,2020-08-18,,13,UK,67932724,320286,1089.0,41381,12.0,,,,73,4715,609.0,14825051,218231,4
2020-08-19,20:00:00,2020-08-19,,13,UK,67933697,320286,,41381,,,,,73,4715,609.0,14825051,218228,4
2020-08-20,17:53:00,2020-08-20,,13,UK,67934669,321098,,41397,,,,,73,4727,609.0,14988134,220626,4
2020-08-23,21:09:00,2020-08-23,,13,UK,67937586,325642,1041.0,41429,6.0,,,,72,4793,610.0,15177265,223400,4
2020-08-24,17:10:00,2020-08-24,,13,UK,67938559,325642,,41429,,,,,72,4793,610.0,15177265,223397,4
2020-08-25,23:00:00,2020-08-25,,13,UK,67939531,327798,1184.0,41449,16.0,,,,72,4825,610.0,15177265,223394,4
2020-08-26,22:59:00,2020-08-26,,13,UK,67940503,328846,1048.0,41465,16.0,,,,68,4840,610.0,15177265,223391,4
2020-08-27,23:00:00,2020-08-27,,13,UK,67941476,330368,1522.0,41477,12.0,,,,64,4863,610.0,16273209,239518,4
2020-08-28,23:01:00,2020-08-28,,13,UK,67942448,331644,1276.0,41486,9.0,,,,71,4881,611.0,16273209,239515,4
2020-08-29,12:29:00,2020-08-29,,13,UK,67943420,331644,,41486,,,,,71,4881,611.0,16273209,239511,4
2020-08-30,23:00:00,2020-08-30,,13,UK,67944393,334467,1715.0,41499,1.0,,,,60,4923,611.0,16273209,239508,4
2020-08-31,18:58:00,2020-08-31,,13,UK,67945365,335873,1406.0,41501,2.0,,,,60,4943,611.0,16273209,239504,4
2020-09-01,23:00:00,2020-09-01,,13,UK,67946337,337168,1295.0,41504,3.0,,,,60,4962,611.0,16273209,239501,4
2020-09-02,23:01:00,2020-09-02,,13,UK,67947310,338676,1508.0,41514,10.0,,,,60,4984,611.0,16273209,239497,4
2020-09-03,23:01:00,2020-09-03,,13,UK,67948282,340411,1735.0,41527,13.0,,,,80,5010,611.0,17619897,259313,4
2020-09-04,07:01:00,2020-09-04,,13,UK,67949254,340411,,41527,,,,,80,5010,611.0,17619897,259310,4
2020-09-05,23:31:00,2020-09-05,,13,UK,67950227,344164,1813.0,41549,12.0,,,,69,5065,611.0,17619897,259306,4
2020-09-06,18:30:00,2020-09-06,,13,UK,67951199,347152,2988.0,41551,2.0,,,,69,5109,611.0,17619897,259302,4
2020-09-07,23:39:00,2020-09-07,,13,UK,67952171,350100,2948.0,41554,3.0,,,,69,5152,612.0,17619897,259299,4
2020-09-08,22:10:00,2020-09-08,,13,UK,67953144,352560,2460.0,41586,32.0,,,,77,5188,612.0,17619897,259295,4
2020-09-09,22:01:00,2020-09-09,,13,UK,67954116,355219,2659.0,41594,8.0,,,,80,5227,612.0,17619897,259291,4
2020-09-10,22:01:00,2020-09-10,,13,UK,67955088,358138,2919.0,41608,14.0,,,,80,5270,612.0,17619897,259287,4
2020-09-11,22:00:00,2020-09-11,,13,UK,67956061,361677,3539.0,41614,6.0,,,,78,5322,612.0,19293329,283909,4
2020-09-12,22:22:00,2020-09-12,,13,UK,67957033,365174,3497.0,41623,9.0,,,,79,5374,612.0,19293329,283905,4
2020-09-13,22:01:00,2020-09-13,,13,UK,67958005,368504,3330.0,41628,5.0,,,,79,5423,613.0,19293329,283901,4
2020-09-14,22:04:00,2020-09-14,,13,UK,67958978,371125,2621.0,41637,9.0,,,,79,5461,613.0,19293329,283897,4
2020-09-15,21:00:00,2020-09-15,,13,UK,67959950,374228,3105.0,41664,27.0,,,,106,5507,613.0,20292025,298588,4
2020-09-16,21:01:00,2020-09-16,,13,UK,67960923,378219,3991.0,41684,20.0,,,,115,5565,613.0,20521243,301957,4
2020-09-18,20:01:00,2020-09-18,,13,UK,67962867,385936,4322.0,41732,27.0,,,,127,5679,614.0,20521243,301948,4
2020-09-19,21:00:00,2020-09-19,,13,UK,67963840,390358,4422.0,41759,27.0,,,,138,5744,614.0,21368297,314407,4
2020-09-20,22:31:00,2020-09-20,,13,UK,67964812,394257,3899.0,41777,18.0,,,,138,5801,615.0,21368297,314402,4
2020-09-21,21:01:00,2020-09-21,,13,UK,67965784,398625,4368.0,41788,11.0,,,,138,5865,615.0,22171979,326223,4
