scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,13,UK,67917167,303952,,46193,,,,,86,4475,680.0,16280223,239707
2020-08-08,20:00:00,,13,UK,67923001,309763,5811.0,46566,373.0,,,,67,4561,686.0,17801559,262084
2020-08-12,20:00:00,,13,UK,67926890,312789,3026.0,46628,62.0,,,,67,4605,686.0,18868566,277778
2020-08-16,20:00:00,,13,UK,67930780,317379,4590.0,41361,-5267.0,,,,73,4672,609.0,14320621,210812
2020-08-17,20:00:00,,13,UK,67931752,319197,1818.0,41369,8.0,,,,73,4699,609.0,14674841,216023
2020-08-18,20:00:00,,13,UK,67932724,320286,1089.0,41381,12.0,,,,73,4715,609.0,14825051,218231
2020-08-19,20:00:00,,13,UK,67933697,320286,0.0,41381,0.0,,,,73,4715,609.0,14825051,218228
2020-08-20,17:53:00,,13,UK,67934669,321098,812.0,41397,16.0,,,,73,4727,609.0,14988134,220626
2020-08-23,21:09:00,,13,UK,67937586,325642,4544.0,41429,32.0,,,,72,4793,610.0,15177265,223400
2020-08-24,17:10:00,,13,UK,67938559,325642,0.0,41429,0.0,,,,72,4793,610.0,15177265,223397
2020-08-25,23:00:00,,13,UK,67939531,327798,2156.0,41449,20.0,,,,72,4825,610.0,15177265,223394
2020-08-26,22:59:00,,13,UK,67940503,328846,1048.0,41465,16.0,,,,68,4840,610.0,15177265,223391
2020-08-27,23:00:00,,13,UK,67941476,330368,1522.0,41477,12.0,,,,64,4863,610.0,16273209,239518
2020-08-28,23:01:00,,13,UK,67942448,331644,1276.0,41486,9.0,,,,71,4881,611.0,16273209,239515
2020-08-29,12:29:00,,13,UK,67943420,331644,0.0,41486,0.0,,,,71,4881,611.0,16273209,239511
2020-08-30,23:00:00,,13,UK,67944393,334467,2823.0,41499,13.0,,,,60,4923,611.0,16273209,239508
