scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-02,20:00:00,2020-08-02,,1,USA,331171664,4778177,13859.0,158039,141.0,2363229,326.0,2256909,18720,14428,477.0,59259593,178939,1
2020-08-08,20:00:00,2020-08-08,,1,USA,331203424,5120955,25431.0,164577,483.0,2620147,3180.0,2336231,18038,15462,497.0,64096129,193525,1
2020-08-12,20:00:00,2020-08-12,,1,USA,331224597,5306851,894.0,167761,12.0,2756107,759.0,2382983,17339,16022,506.0,66944595,202112,1
2020-08-16,20:00:00,2020-08-16,,1,USA,331245770,5530028,239.0,172608,2.0,2904130,,2453290,17186,16695,521.0,70228171,212012,1
2020-08-17,20:00:00,2020-08-17,,1,USA,331251064,5579686,13054.0,173258,130.0,2928179,5455.0,2478249,17237,16844,523.0,71149490,214790,1
2020-08-18,20:00:00,2020-08-18,,1,USA,331256357,5625057,13030.0,174191,475.0,2975698,2111.0,2475168,17291,16981,526.0,71796772,216741,1
2020-08-19,20:00:00,2020-08-19,,1,USA,331261650,5656204,230.0,175092,18.0,3011577,479.0,2469535,16966,17075,529.0,72370168,218468,1
2020-08-20,17:53:00,2020-08-20,,1,USA,331266944,5703617,2686.0,176407,70.0,3063410,1079.0,2463800,16875,17218,533.0,73165789,220867,1
2020-08-23,21:09:00,2020-08-23,,1,USA,331282824,5856346,14918.0,180386,212.0,3152100,4020.0,2523860,16729,17678,545.0,75775350,228733,1
2020-08-24,17:10:00,2020-08-24,,1,USA,331288117,5875939,1793.0,180618,14.0,3167260,197.0,2528061,16717,17737,545.0,76174718,229935,1
2020-08-25,23:00:00,2020-08-25,,1,USA,331293410,5935231,19601.0,181822,708.0,3228785,10804.0,2524624,16452,17915,549.0,77367087,233530,1
2020-08-26,22:59:00,2020-08-26,,1,USA,331298704,5982635,26907.0,183195,791.0,3267225,12943.0,2532215,16511,18058,553.0,78452879,236804,1
2020-08-27,23:00:00,2020-08-27,,1,USA,331303997,6032032,31667.0,184362,709.0,3327938,14077.0,2519732,16380,18207,556.0,79199891,239055,1
2020-08-28,23:01:00,2020-08-28,,1,USA,331309290,6079839,33205.0,185486,690.0,3358729,10789.0,2535624,16224,18351,560.0,80039829,241586,1
2020-08-29,12:29:00,2020-08-29,,1,USA,331314584,6096756,521.0,185965,64.0,3376530,692.0,2534261,16184,18402,561.0,80302806,242376,1
2020-08-30,23:00:00,2020-08-30,,1,USA,331319877,6162709,23325.0,187087,232.0,3415932,7133.0,2559690,16021,18600,565.0,81557187,246158,1
2020-08-31,18:58:00,2020-08-31,,1,USA,331325170,6181394,8158.0,187367,143.0,3425938,215.0,2568089,15996,18657,566.0,81887081,247150,1
2020-09-01,23:00:00,2020-09-01,,1,USA,331330464,6242713,27121.0,188487,751.0,3470145,13882.0,2584081,15880,18841,569.0,83162430,250995,1
2020-09-02,23:01:00,2020-09-02,,1,USA,331335757,6284053,26482.0,189575,675.0,3527920,31007.0,2566558,15090,18966,572.0,83889426,253186,1
2020-09-03,23:01:00,2020-09-03,,1,USA,331341050,6317610,26873.0,190597,633.0,3558094,11062.0,2568919,15096,19067,575.0,84611278,255360,1
2020-09-04,07:01:00,2020-09-04,,1,USA,331346344,6335244,,191058,,3575096,,2569090,15042,19120,577.0,84881529,256172,1
2020-09-05,23:31:00,2020-09-05,,1,USA,331351637,6419342,30285.0,192544,433.0,3686553,9984.0,2540245,15060,19373,581.0,86504018,261064,1
2020-09-06,18:30:00,2020-09-06,,1,USA,331356930,6434850,3698.0,192887,69.0,3707191,191.0,2534772,14938,19420,582.0,86803211,261963,1
2020-09-07,23:39:00,2020-09-07,,1,USA,331362224,6479721,19471.0,193437,189.0,3740250,14280.0,2546034,14699,19555,584.0,88016315,265620,1
2020-09-08,22:10:00,2020-09-08,,1,USA,331367517,6498406,12831.0,193773,239.0,3775602,16973.0,2529031,14567,19611,585.0,88306353,266491,1
2020-09-09,22:01:00,2020-09-09,,1,USA,331372810,6529429,15198.0,194629,599.0,3817407,20647.0,2517393,14453,19704,587.0,89001488,268584,1
2020-09-10,22:01:00,2020-09-10,,1,USA,331378104,6560843,11368.0,195785,547.0,3857443,11348.0,2507615,14575,19799,591.0,89480953,270027,1
2020-09-11,22:00:00,2020-09-11,,1,USA,331383397,6610026,21866.0,196816,489.0,3885709,5749.0,2527501,14502,19947,594.0,90401886,272801,1
2020-09-12,22:22:00,2020-09-12,,1,USA,331388690,6658405,22158.0,197762,341.0,3928107,10145.0,2532536,14347,20092,597.0,91269119,275414,1
2020-09-13,22:01:00,2020-09-13,,1,USA,331393984,6696902,20301.0,198294,166.0,3960963,10609.0,2537645,14366,20208,598.0,92121691,277982,1
2020-09-14,22:04:00,2020-09-14,,1,USA,331399277,6725904,17446.0,198725,205.0,4001853,26904.0,2525326,14113,20295,600.0,92727545,279806,1
2020-09-15,21:00:00,2020-09-15,,1,USA,331404570,6762334,13045.0,199474,474.0,4040923,13097.0,2521937,14107,20405,602.0,93082266,280872,1
2020-09-16,21:01:00,2020-09-16,,1,USA,331409864,6802097,13950.0,200770,573.0,4087090,19004.0,2514237,14165,20525,606.0,93939856,283455,1
2020-09-18,20:01:00,2020-09-18,,1,USA,331420450,6893538,18942.0,202601,388.0,4169816,14777.0,2521121,14226,20800,611.0,95573882,288377,1
2020-09-19,21:00:00,2020-09-19,,1,USA,331425744,6948843,22902.0,203482,315.0,4202422,10528.0,2542939,14156,20967,614.0,96660894,291652,1
2020-09-20,22:31:00,2020-09-20,,1,USA,331431037,6988618,21215.0,204012,188.0,4237481,13788.0,2547125,14077,21086,616.0,97977315,295619,1
2020-09-21,21:01:00,2020-09-21,,1,USA,331436330,7018365,13597.0,204238,120.0,4271427,21287.0,2542700,14031,21176,616.0,98415232,296936,1
2020-09-22,21:01:00,2020-09-22,,1,USA,331441624,7059688,13472.0,204913,411.0,4312988,13463.0,2541787,14071,21300,618.0,99200534,299300,1
2020-09-23,19:58:00,2020-09-23,,1,USA,331446917,7109920,11983.0,205914,443.0,4365548,19438.0,2538458,14073,21451,621.0,99834939,301209,1
2020-09-24,21:00:00,2020-09-24,,1,USA,331452210,7157204,17651.0,207020,427.0,4412768,13861.0,2537416,14090,21593,625.0,101024093,304792,1
2020-09-25,21:00:00,2020-09-25,,1,USA,331457504,7204980,19509.0,207893,355.0,4458218,20643.0,2538869,14149,21737,627.0,101945771,307568,1
2020-09-26,21:00:00,2020-09-26,,1,USA,331462797,7261552,17368.0,208760,320.0,4502156,21437.0,2550636,14135,21908,630.0,102916529,310492,1
2020-09-27,22:45:00,2020-09-27,,1,USA,331468090,7311051,23490.0,209361,184.0,4537803,13695.0,2563887,14093,22057,632.0,104073744,313978,1
2020-09-28,22:00:00,2020-09-28,,1,USA,331473384,7334830,13487.0,209567,114.0,4580119,19663.0,2545144,14120,22128,632.0,104623449,315632,1
2020-09-29,21:35:00,2020-09-29,,1,USA,331478677,7378201,16590.0,210216,408.0,4630674,21038.0,2537311,14072,22258,634.0,105623211,318643,1
2020-09-30,22:00:00,2020-09-30,,1,USA,331483970,7428210,22064.0,211332,547.0,4674218,25535.0,2542660,14205,22409,638.0,106593177,321564,1
2020-10-01,21:31:00,2020-10-01,,1,USA,331489264,7471839,24557.0,212184,444.0,4716143,16437.0,2543512,14192,22540,640.0,107928169,325586,1
2020-10-02,22:36:00,2020-10-02,,1,USA,331494557,7527541,32870.0,213240,580.0,4759937,23316.0,2554364,14199,22708,643.0,109173361,329337,1
2020-10-03,22:24:00,2020-10-03,,1,USA,331499850,7578436,29113.0,213936,412.0,4803394,26570.0,2561106,14177,22861,645.0,109956179,331693,1
2020-10-04,21:01:00,2020-10-04,,1,USA,331505144,7617110,15333.0,214424,147.0,4832989,14480.0,2569697,14185,22977,647.0,111016917,334887,1
2020-10-05,22:13:00,2020-10-05,,1,USA,331510437,7662630,25718.0,214843,232.0,4870862,21824.0,2576925,14176,23114,648.0,112032797,337947,1
2020-10-06,23:01:00,2020-10-06,,1,USA,331515730,7706318,26674.0,215506,474.0,4919162,24084.0,2571650,14317,23246,650.0,113109068,341188,1
2020-10-07,23:01:00,2020-10-07,,1,USA,331521024,7756318,31010.0,216411,559.0,4963750,28205.0,2576157,14524,23396,653.0,113968676,343775,1
